Rank	Bigram	Frequency	Frequency per million	Zipf value
1	e$	67637	36741.4475	7.5652
2	ie	48429	26307.3696	7.4201
3	n$	43480	23618.9975	7.3733
4	t$	41843	22729.7542	7.3566
5	s$	41335	22453.8009	7.3513
6	^d	40707	22112.6617	7.3446
7	er	32696	17760.9647	7.2495
8	r$	30865	16766.3376	7.2244
9	di	29391	15965.6384	7.2032
10	^h	29315	15924.354	7.2021
11	aa	27635	15011.7525	7.1764
12	k$	26936	14632.045	7.1653
13	an	26624	14462.5619	7.1602
14	^s	26163	14212.1397	7.1527
15	^m	25430	13813.9629	7.1403
16	^n	25095	13631.9858	7.1346
17	y$	24312	13206.6483	7.1208
18	^e	23482	12755.7797	7.1057
19	^w	22177	12046.8838	7.0809
20	en	21788	11835.5731	7.0732
21	et	21106	11465.1003	7.0594
22	^v	20680	11233.6906	7.0505
23	ek	19591	10642.1293	7.027
24	^g	19437	10558.4741	7.0236
25	^o	19161	10408.5467	7.0174
26	ee	18954	10296.1012	7.0127
27	^j	17817	9678.4655	6.9858
28	is	17770	9652.9344	6.9847
29	^i	17029	9250.4119	6.9662
30	ge	16904	9182.51	6.963
31	ni	16532	8980.4339	6.9533
32	te	16298	8853.3216	6.9471
33	ar	15364	8345.9586	6.9215
34	g$	14722	7997.2144	6.9029
35	in	14520	7887.4849	6.8969
36	oe	13732	7459.4313	6.8727
37	l$	13723	7454.5424	6.8724
38	he	13498	7332.319	6.8652
39	el	13266	7206.293	6.8577
40	on	12947	7033.0074	6.8471
41	oo	12928	7022.6863	6.8465
42	^k	12682	6889.0554	6.8382
43	^a	12630	6860.8082	6.8364
44	^b	12581	6834.1906	6.8347
45	d$	12375	6722.2883	6.8275
46	at	12319	6691.8682	6.8255
47	u$	12112	6579.4227	6.8182
48	it	12039	6539.768	6.8156
49	wa	11578	6289.3458	6.7986
50	ou	11448	6218.7278	6.7937
51	de	11193	6080.2079	6.7839
52	m$	10991	5970.4784	6.776
53	^t	10897	5919.4162	6.7723
54	es	10858	5898.2308	6.7707
55	da	10780	5855.86	6.7676
56	ma	10575	5744.5009	6.7593
57	om	10208	5545.1409	6.7439
58	we	10200	5540.7952	6.7436
59	le	10155	5516.3505	6.7417
60	al	9928	5393.0407	6.7318
61	ns	9118	4953.0363	6.6949
62	nd	9052	4917.1841	6.6917
63	st	8835	4799.3064	6.6812
64	jy	8732	4743.3553	6.6761
65	or	8611	4677.6262	6.67
66	me	8530	4633.6258	6.6659
67	re	7656	4158.8557	6.619
68	^l	7614	4136.0406	6.6166
69	ve	7594	4125.1763	6.6154
70	^'	7453	4048.583	6.6073
71	'n	7442	4042.6076	6.6067
72	a$	7419	4030.1137	6.6053
73	as	7343	3988.8293	6.6008
74	li	7337	3985.57	6.6005
75	se	7234	3929.6189	6.5944
76	va	7109	3861.717	6.5868
77	be	7104	3859.0009	6.5865
78	ne	6753	3668.3323	6.5645
79	ko	6446	3501.5653	6.5443
80	so	6377	3464.0834	6.5396
81	ho	6374	3462.4538	6.5394
82	my	6085	3305.4646	6.5192
83	si	6038	3279.9335	6.5159
84	ra	6034	3277.7606	6.5156
85	ro	6020	3270.1556	6.5146
86	ke	5943	3228.328	6.509
87	ng	5875	3191.3894	6.504
88	la	5836	3170.204	6.5011
89	ei	5670	3080.0303	6.4886
90	ll	5637	3062.1042	6.486
91	rd	5626	3056.1288	6.4852
92	ed	5500	2987.6837	6.4753
93	^p	5487	2980.6219	6.4743
94	ka	5438	2954.0043	6.4704
95	no	5280	2868.1763	6.4576
96	p$	5278	2867.0899	6.4574
97	jo	5110	2775.8297	6.4434
98	ig	5100	2770.3976	6.4425
99	mo	4939	2682.9399	6.4286
100	rs	4928	2676.9646	6.4276
101	op	4808	2611.7788	6.4169
102	ui	4729	2568.8648	6.4097
103	ik	4709	2558.0004	6.4079
104	sa	4581	2488.4689	6.3959
105	na	4551	2472.1724	6.3931
106	ag	4522	2456.4192	6.3903
107	f$	4490	2439.0363	6.3872
108	to	4468	2427.0856	6.3851
109	ri	4395	2387.4309	6.3779
110	eg	4332	2353.2083	6.3717
111	nt	4288	2329.3068	6.3672
112	ga	4227	2296.1707	6.361
113	^r	4223	2293.9979	6.3606
114	vi	4207	2285.3064	6.3589
115	ul	4143	2250.5406	6.3523
116	sk	4092	2222.8367	6.3469
117	ha	4084	2218.4909	6.3461
118	do	3982	2163.083	6.3351
119	^u	3899	2117.9961	6.3259
120	o$	3859	2096.2675	6.3214
121	il	3665	1990.8838	6.299
122	ir	3525	1914.8336	6.2821
123	nk	3463	1881.1543	6.2744
124	lo	3425	1860.5121	6.2696
125	hi	3397	1845.3021	6.2661
126	am	3354	1821.9438	6.2605
127	ur	3349	1819.2278	6.2599
128	ak	3331	1809.4499	6.2575
129	hu	3287	1785.5484	6.2518
130	hy	3241	1760.5605	6.2457
131	em	3208	1742.6344	6.2412
132	sy	3187	1731.2269	6.2384
133	wi	3147	1709.4983	6.2329
134	ja	3140	1705.6958	6.2319
135	vo	3008	1633.9914	6.2132
136	ki	2921	1586.7316	6.2005
137	ta	2902	1576.4106	6.1977
138	rt	2901	1575.8673	6.1975
139	go	2893	1571.5216	6.1963
140	wo	2840	1542.7312	6.1883
141	og	2817	1530.2373	6.1848
142	eu	2671	1450.9278	6.1616
143	ti	2641	1434.6314	6.1567
144	ew	2597	1410.7299	6.1494
145	os	2567	1394.4335	6.1444
146	ba	2443	1327.0748	6.1229
147	pr	2366	1285.2472	6.109
148	ad	2330	1265.6915	6.1023
149	tr	2293	1245.5925	6.0954
150	rk	2281	1239.0739	6.0931
151	ry	2261	1228.2096	6.0893
152	pe	2260	1227.6664	6.0891
153	id	2250	1222.2342	6.0872
154	vr	2246	1220.0614	6.0864
155	pa	2186	1187.4685	6.0746
156	ol	2167	1177.1474	6.0708
157	ot	2157	1171.7152	6.0688
158	ru	2143	1164.1102	6.066
159	mi	2136	1160.3077	6.0646
160	ts	2059	1118.4801	6.0486
161	ef	2042	1109.2455	6.045
162	kr	2021	1097.8379	6.0405
163	od	2004	1088.6033	6.0369
164	of	2000	1086.4304	6.036
165	ê$	1978	1074.4797	6.0312
166	i$	1973	1071.7636	6.0301
166	ok	1973	1071.7636	6.0301
167	bl	1852	1006.0346	6.0026
168	gr	1809	982.6763	5.9924
169	us	1799	977.2442	5.99
170	rl	1786	970.1824	5.9869
171	ev	1781	967.4663	5.9856
172	gt	1765	958.7749	5.9817
173	br	1736	943.0216	5.9745
174	^f	1716	932.1573	5.9695
175	lu	1707	927.2684	5.9672
176	dr	1645	893.589	5.9511
177	sp	1642	891.9594	5.9503
178	kl	1631	885.984	5.9474
179	eb	1628	884.3544	5.9466
180	sl	1608	873.4901	5.9413
181	bo	1585	860.9961	5.935
182	ld	1571	853.3911	5.9311
183	ly	1541	837.0946	5.9228
184	nn	1527	829.4896	5.9188
185	ss	1511	820.7982	5.9142
186	rg	1500	814.8228	5.9111
187	ai	1471	799.0696	5.9026
188	ap	1463	794.7239	5.9002
189	tu	1434	778.9706	5.8915
190	oi	1432	777.8842	5.8909
191	ks	1428	775.7113	5.8897
192	af	1418	770.2792	5.8866
193	by	1407	764.3038	5.8833
194	gi	1367	742.5752	5.8707
195	yk	1358	737.6863	5.8679
196	sê	1302	707.2662	5.8496
197	rm	1283	696.9451	5.8432
198	uu	1235	670.8708	5.8266
199	ug	1211	657.8336	5.8181
200	kk	1176	638.8211	5.8054
201	pl	1168	634.4754	5.8024
202	eh	1134	616.0061	5.7896
203	ty	1126	611.6603	5.7865
204	ju	1099	596.9935	5.776
205	lf	1087	590.4749	5.7712
206	mm	1073	582.8699	5.7656
207	uk	1052	571.4624	5.757
208	yd	1049	569.8328	5.7557
209	^c	1043	566.5735	5.7533
210	bi	1032	560.5981	5.7487
211	ch	1013	550.277	5.7406
212	po	982	533.4373	5.7271
213	ep	975	529.6348	5.724
214	ji	971	527.462	5.7222
215	lk	926	503.0173	5.7016
216	un	925	502.4741	5.7011
217	ku	923	501.3876	5.7002
218	th	918	498.6716	5.6978
219	du	906	492.153	5.6921
220	's	901	489.4369	5.6897
221	rv	891	484.0048	5.6848
222	tj	862	468.2515	5.6705
223	ls	853	463.3626	5.6659
224	gs	843	457.9304	5.6608
225	tt	842	457.3872	5.6603
226	ky	808	438.9179	5.6424
227	lt	800	434.5722	5.6381
228	rb	789	428.5968	5.632
229	im	780	423.7079	5.6271
230	tw	778	422.6214	5.626
231	ds	765	415.5596	5.6186
232	lm	761	413.3868	5.6164
233	ud	742	403.0657	5.6054
234	fe	724	393.2878	5.5947
235	kt	718	390.0285	5.5911
235	yn	718	390.0285	5.5911
236	pi	693	376.4481	5.5757
237	wy	688	373.7321	5.5726
238	fi	687	373.1889	5.5719
239	ys	683	371.016	5.5694
240	rw	674	366.1271	5.5636
241	je	665	361.2381	5.5578
242	ut	660	358.522	5.5545
243	ue	636	345.4849	5.5384
244	su	631	342.7688	5.535
245	fr	622	337.8799	5.5288
246	gl	598	324.8427	5.5117
247	nu	584	317.2377	5.5014
248	vl	579	314.5216	5.4977
249	mp	576	312.892	5.4954
250	ab	570	309.6327	5.4908
251	pp	569	309.0895	5.4901
252	rn	567	308.003	5.4886
253	ia	544	295.5091	5.4706
254	lp	538	292.2498	5.4658
254	rh	538	292.2498	5.4658
255	ob	534	290.0769	5.4625
256	sw	528	286.8176	5.4576
257	yf	526	285.7312	5.456
258	rr	525	285.188	5.4551
259	fs	517	280.8423	5.4485
260	bu	510	277.0398	5.4425
261	gg	499	271.0644	5.4331
262	gh	491	266.7187	5.4261
263	fo	489	265.6322	5.4243
263	ms	489	265.6322	5.4243
264	fd	486	264.0026	5.4216
265	lg	484	262.9162	5.4198
266	uw	460	249.879	5.3977
267	hê	458	248.7926	5.3958
268	h$	454	246.6197	5.392
269	md	451	244.9901	5.3891
270	ae	449	243.9036	5.3872
271	ff	428	232.4961	5.3664
271	tl	428	232.4961	5.3664
272	aj	404	219.4589	5.3414
273	mu	397	215.6564	5.3338
274	nr	395	214.57	5.3316
275	au	386	209.6811	5.3216
276	bb	382	207.5082	5.317
276	y'	382	207.5082	5.317
