Rank	Bigram	Frequency	Frequency per million	Zipf value
1	t$	19366	33697.4054	7.5276
2	n$	12623	21964.3886	7.3417
3	a$	11227	19535.3078	7.2908
4	et	11083	19284.7436	7.2852
5	^a	11046	19220.3625	7.2838
6	^d	10522	18308.5872	7.2627
7	an	9286	16157.9111	7.2084
8	r$	9234	16067.4296	7.2059
9	^e	9195	15999.5685	7.2041
10	^'	8977	15620.2421	7.1937
11	e$	7994	13909.7934	7.1433
12	ar	7530	13102.4199	7.1174
13	o$	7395	12867.5159	7.1095
14	en	6814	11856.559	7.074
15	^k	6749	11743.4571	7.0698
16	ou	6461	11242.3286	7.0509
17	ez	6242	10861.2623	7.0359
18	'h	5968	10384.4943	7.0164
19	^p	5801	10093.9094	7.0041
20	re	5791	10076.5091	7.0033
21	c'	5751	10006.9079	7.0003
22	^g	5694	9907.7263	6.996
23	^m	5390	9378.7574	6.9721
24	ra	5260	9152.5536	6.9615
25	ma	5088	8853.2686	6.9471
26	s$	5055	8795.8476	6.9443
27	h$	4836	8414.7812	6.925
28	^s	4807	8364.3204	6.9224
29	eu	4748	8261.6586	6.9171
30	ke	4618	8035.4548	6.905
31	nt	4541	7901.4726	6.8977
32	ñ$	4494	7819.6912	6.8932
33	ha	4221	7344.6632	6.866
34	^b	4201	7309.8627	6.8639
35	zh	4144	7210.681	6.858
36	er	4135	7195.0207	6.857
37	ne	4044	7036.6781	6.8474
38	añ	3989	6940.9765	6.8414
39	^h	3964	6897.4757	6.8387
40	on	3954	6880.0754	6.8376
41	us	3925	6829.6146	6.8344
42	z$	3886	6761.7535	6.8301
43	^o	3871	6735.653	6.8284
44	^n	3834	6671.2719	6.8242
45	pe	3721	6474.6486	6.8112
46	eo	3628	6312.8259	6.8002
47	tr	3549	6175.3636	6.7907
48	di	3541	6161.4434	6.7897
49	l$	3533	6147.5232	6.7887
50	el	3487	6067.4818	6.783
51	ho	3486	6065.7418	6.7829
52	^t	3350	5829.0978	6.7656
53	de	3337	5806.4774	6.7639
54	da	3334	5801.2573	6.7635
55	it	3289	5722.956	6.7576
56	ur	3238	5634.2145	6.7508
57	be	3162	5501.9723	6.7405
58	ao	3133	5451.5115	6.7365
59	nn	3044	5296.6489	6.724
59	oa	3044	5296.6489	6.724
60	^c	2973	5173.1068	6.7138
61	ga	2946	5126.126	6.7098
62	le	2931	5100.0256	6.7076
63	^l	2830	4924.2826	6.6923
64	ve	2793	4859.9015	6.6866
65	ll	2761	4804.2206	6.6816
66	al	2732	4753.7598	6.677
67	in	2702	4701.5589	6.6722
68	^u	2672	4649.358	6.6674
69	se	2611	4543.2162	6.6574
70	me	2564	4461.4349	6.6495
71	te	2505	4358.7731	6.6394
72	^r	2451	4264.8116	6.6299
73	la	2407	4188.2503	6.622
74	he	2378	4137.7894	6.6168
75	om	2371	4125.6092	6.6155
76	d$	2329	4052.528	6.6077
77	ta	2293	3989.887	6.601
78	st	2232	3883.7452	6.5893
79	ka	2176	3786.3035	6.5782
80	^v	2092	3640.1411	6.5611
81	ut	2071	3603.6005	6.5567
82	p$	1998	3476.5783	6.5412
83	na	1976	3438.2977	6.5363
84	où	1956	3403.4971	6.5319
85	ri	1936	3368.6965	6.5275
86	mp	1875	3262.5547	6.5136
87	no	1828	3180.7734	6.5025
88	m$	1817	3161.6331	6.4999
89	ro	1807	3144.2328	6.4975
90	zo	1797	3126.8325	6.4951
91	ù$	1790	3114.6523	6.4934
92	am	1755	3053.7512	6.4848
93	ch	1745	3036.3509	6.4824
94	at	1733	3015.4706	6.4794
95	ze	1730	3010.2505	6.4786
96	k$	1713	2980.67	6.4743
97	'm	1708	2971.9699	6.473
98	em	1700	2958.0496	6.471
99	i$	1697	2952.8295	6.4702
100	ev	1644	2860.608	6.4565
101	un	1626	2829.2875	6.4517
102	to	1614	2808.4071	6.4485
103	as	1613	2806.6671	6.4482
104	ed	1587	2761.4263	6.4411
105	oc	1546	2690.0851	6.4298
106	uz	1533	2667.4648	6.4261
107	ad	1515	2636.1442	6.421
108	is	1512	2630.9241	6.4201
109	vi	1469	2556.1029	6.4076
110	^f	1434	2495.2019	6.3971
111	'o	1410	2453.4412	6.3898
112	v$	1400	2436.0409	6.3867
113	ni	1396	2429.0808	6.3854
114	pa	1393	2423.8607	6.3845
115	go	1383	2406.4604	6.3814
116	ko	1382	2404.7204	6.3811
117	sk	1374	2390.8001	6.3785
118	'v	1352	2352.5195	6.3715
119	li	1346	2342.0793	6.3696
120	lo	1344	2338.5992	6.369
121	^w	1334	2321.1989	6.3657
122	or	1308	2275.9582	6.3572
123	n'	1282	2230.7174	6.3484
124	wa	1279	2225.4973	6.3474
125	'r	1268	2206.357	6.3437
126	ae	1263	2197.6569	6.342
127	fe	1256	2185.4767	6.3395
128	do	1238	2154.1561	6.3333
129	gw	1234	2147.196	6.3319
130	az	1215	2114.1355	6.3251
131	we	1163	2023.654	6.3061
132	vo	1161	2020.1739	6.3054
133	hi	1141	1985.3733	6.2978
134	g$	1129	1964.493	6.2933
135	^z	1069	1860.0912	6.2695
136	u$	1066	1854.8711	6.2683
137	mo	1063	1849.651	6.2671
138	av	1056	1837.4708	6.2642
139	't	1023	1780.0499	6.2504
140	dr	1017	1769.6097	6.2479
141	ud	1011	1759.1695	6.2453
142	ak	995	1731.3291	6.2384
143	es	980	1705.2286	6.2318
144	ba	979	1703.4886	6.2313
145	ge	950	1653.0277	6.2183
146	so	949	1651.2877	6.2178
147	ue	945	1644.3276	6.216
148	ec	938	1632.1474	6.2128
149	iz	934	1625.1873	6.2109
150	ig	930	1618.2272	6.209
151	ac	918	1597.3468	6.2034
152	sa	916	1593.8667	6.2025
153	io	910	1583.4266	6.1996
154	ei	905	1574.7264	6.1972
155	br	901	1567.7663	6.1953
156	ie	894	1555.5861	6.1919
157	ol	883	1536.4458	6.1865
158	il	878	1527.7456	6.1841
159	ot	833	1449.4443	6.1612
160	va	828	1440.7442	6.1586
161	ul	826	1437.2641	6.1575
162	-s	821	1428.564	6.1549
163	iñ	818	1423.3439	6.1533
164	d'	795	1383.3232	6.1409
164	za	795	1383.3232	6.1409
165	^y	792	1378.1031	6.1393
166	ti	783	1362.4429	6.1343
167	'e	771	1341.5625	6.1276
