Rank	Bigram	Frequency	Frequency per million	Zipf value
1	e$	111090474	31641.8387	7.5003
2	o$	75825368	21597.2979	7.3344
3	^t	68412005	19485.7538	7.2897
4	^j	64852909	18472.0184	7.2665
5	^n	62411538	17776.6441	7.2498
6	^p	55412842	15783.2093	7.1982
7	^s	55138050	15704.9405	7.196
8	a$	51291050	14609.2016	7.1646
9	i$	47163919	13433.6731	7.1282
10	^m	44352760	12632.9723	7.1015
11	^v	41479662	11814.6293	7.0724
12	m$	41427372	11799.7356	7.0719
13	ne	39392713	11220.2048	7.05
14	u$	37400118	10652.6551	7.0275
15	to	36925749	10517.5408	7.0219
16	je	31538428	8983.0731	6.9534
17	^d	31311845	8918.5356	6.9503
18	se	31040120	8841.1403	6.9465
19	st	29686082	8455.4704	6.9271
20	y$	28799376	8202.9104	6.914
21	^a	28609825	8148.9207	6.9111
22	te	28136415	8014.0796	6.9039
23	t$	27897981	7946.1666	6.9002
24	í$	26458240	7536.086	6.8771
25	^z	25947581	7390.6352	6.8687
26	ch	25596678	7290.6877	6.8628
27	po	23933760	6817.0397	6.8336
28	le	23539897	6704.8559	6.8264
29	^b	23467791	6684.318	6.8251
30	em	23405654	6666.6196	6.8239
31	ta	23264583	6626.4384	6.8213
32	^k	22943233	6534.9084	6.8152
33	na	22398612	6379.7843	6.8048
34	en	21012508	5984.9811	6.7771
35	l$	20858933	5941.2384	6.7739
36	ro	20793178	5922.5095	6.7725
37	js	20056644	5712.7229	6.7568
38	^c	20004962	5698.0023	6.7557
39	do	19499724	5554.0957	6.7446
40	la	19490370	5551.4314	6.7444
41	al	19227374	5476.5224	6.7385
42	ak	19017575	5416.7654	6.7337
43	ě$	18823001	5361.345	6.7293
44	ho	18543719	5281.7973	6.7228
45	^o	18433076	5250.2829	6.7202
46	pr	18313681	5216.2757	6.7174
47	že	17260436	4916.2805	6.6916
48	ou	17259176	4915.9216	6.6916
49	k$	16183308	4609.4827	6.6637
50	no	15910138	4531.6759	6.6563
51	li	15692898	4469.7995	6.6503
52	á$	15094690	4299.4123	6.6334
53	ov	14989133	4269.3465	6.6304
54	ra	14976029	4265.6141	6.63
55	an	14630931	4167.32	6.6199
56	ko	14249730	4058.7428	6.6084
57	ní	13979988	3981.9123	6.6001
58	ně	13840539	3942.1931	6.5957
59	ře	13772607	3922.8441	6.5936
60	by	13649256	3887.7101	6.5897
61	de	13550331	3859.5333	6.5865
62	at	13299518	3788.0944	6.5784
63	me	13138561	3742.2491	6.5731
64	ím	13002050	3703.3668	6.5686
65	od	12996645	3701.8273	6.5684
66	si	12888658	3671.0694	6.5648
67	^ž	12663393	3606.9073	6.5571
68	^h	12181800	3469.7354	6.5403
69	s$	12156110	3462.4181	6.5394
70	el	11838058	3371.8276	6.5279
71	co	11696139	3331.4048	6.5226
72	lo	11620682	3309.9125	6.5198
73	ni	11567977	3294.9005	6.5178
74	š$	11215544	3194.5172	6.5044
75	za	11162601	3179.4375	6.5024
76	ej	11097818	3160.9854	6.4998
77	ed	11088342	3158.2864	6.4995
78	os	10960165	3121.7778	6.4944
79	př	10656724	3035.3488	6.4822
80	n$	10593148	3017.2405	6.4796
81	ěl	10485798	2986.6641	6.4752
82	mi	10473594	2983.188	6.4747
83	é$	10428452	2970.3303	6.4728
84	ám	10346058	2946.862	6.4694
85	^u	10234396	2915.0574	6.4646
86	dě	10232792	2914.6005	6.4646
87	il	10198430	2904.8132	6.4631
88	va	9966234	2838.677	6.4531
89	om	9919082	2825.2467	6.4511
90	ka	9827817	2799.2517	6.447
91	ob	9639686	2745.6665	6.4386
92	ti	9470483	2697.4725	6.431
93	ce	9414614	2681.5593	6.4284
94	mo	9314562	2653.0616	6.4237
95	ná	9311094	2652.0738	6.4236
96	it	9254778	2636.0333	6.421
