Rank	Bigram	Frequency	Frequency per million	Zipf value
1	r$	27729692	34527.0321	7.5382
2	e$	26797273	33366.0506	7.5233
3	er	23083804	28742.3042	7.4585
4	de	20946573	26081.1768	7.4163
5	^d	20929693	26060.159	7.416
6	t$	20904166	26028.3746	7.4154
7	n$	17010465	21180.2162	7.3259
8	^h	15351730	19114.8778	7.2814
9	g$	15034167	18719.4711	7.2723
10	en	14769349	18389.7386	7.2646
11	^s	13942865	17360.6598	7.2396
12	et	12477610	15536.2289	7.1913
13	^e	11450058	14256.7945	7.154
14	^m	9885312	12308.4845	7.0902
15	^v	9199965	11455.1394	7.059
16	d$	9139999	11380.474	7.0562
17	^f	8222081	10237.5481	7.0102
18	^j	7949414	9898.0426	6.9955
19	re	7842389	9764.7827	6.9897
20	^i	7794770	9705.4909	6.987
21	an	7748488	9647.8639	6.9844
22	or	7684066	9567.6502	6.9808
23	ig	7473095	9304.9642	6.9687
24	ge	7434993	9257.5223	6.9665
25	je	7401731	9216.1068	6.9645
26	^a	7093333	8832.1117	6.9461
27	ke	7059742	8790.2866	6.944
28	eg	7007781	8725.5884	6.9408
29	^t	6597017	8214.1344	6.9146
30	ar	6422008	7996.2257	6.9029
31	te	6032150	7510.8024	6.8757
32	ha	6008393	7481.2219	6.874
33	^o	5970910	7434.5507	6.8713
34	in	5812890	7237.7955	6.8596
35	nd	5758037	7169.4965	6.8555
36	^k	5706787	7105.6836	6.8516
37	ve	5684904	7078.4365	6.8499
38	vi	5684306	7077.6919	6.8499
39	ed	5664074	7052.5004	6.8483
40	le	5616200	6992.8912	6.8447
41	me	5597344	6969.413	6.8432
42	u$	5523571	6877.5561	6.8374
43	l$	5426106	6756.1997	6.8297
44	^b	5310447	6612.1894	6.8203
45	il	5263931	6554.271	6.8165
46	ne	5244086	6529.5614	6.8149
47	i$	5199827	6474.4532	6.8112
48	st	4769748	5938.9496	6.7737
49	du	4768469	5937.3571	6.7736
50	å$	4768438	5937.3185	6.7736
51	s$	4638983	5776.1303	6.7616
52	ti	4564983	5683.9908	6.7547
53	^g	4485142	5584.5785	6.747
54	^n	4481172	5579.6353	6.7466
55	kk	4451713	5542.9551	6.7437
56	sk	4443247	5532.4138	6.7429
57	ik	4422858	5507.0269	6.7409
58	m$	4309810	5366.2676	6.7297
59	li	4112909	5121.1006	6.7094
60	^l	4068772	5066.1443	6.7047
61	fo	3967170	4939.6368	6.6937
62	al	3937490	4902.6813	6.6904
63	og	3930582	4894.08	6.6897
64	at	3923869	4885.7215	6.6889
65	el	3909080	4867.3072	6.6873
66	^p	3909053	4867.2736	6.6873
67	hv	3806006	4738.9669	6.6757
68	ka	3631527	4521.7181	6.6553
69	se	3531717	4397.4418	6.6432
70	he	3495544	4352.4018	6.6387
71	mi	3419833	4258.1318	6.6292
72	va	3364694	4189.4767	6.6222
73	ng	3341264	4160.3033	6.6191
74	di	3274679	4077.3964	6.6104
75	om	3258474	4057.2191	6.6082
76	ad	2958768	3684.0466	6.5663
77	ll	2865522	3567.9433	6.5524
78	es	2732534	3402.3562	6.5318
79	ag	2441894	3040.472	6.4829
80	ta	2435485	3032.492	6.4818
81	be	2403947	2993.2231	6.4761
82	la	2383277	2967.4863	6.4724
83	a$	2265931	2821.3755	6.4505
84	ør	2251736	2803.7009	6.4477
85	ri	2243599	2793.5692	6.4462
86	k$	2209383	2750.9659	6.4395
