Rank	Bigram	Frequency	Frequency per million	Zipf value
1	e$	449649697	36648.6032	7.5641
2	^t	317150840	25849.312	7.4124
3	t$	307816267	25088.4996	7.3995
4	s$	247412781	20165.3262	7.3046
5	th	243432378	19840.9043	7.2976
6	^i	220500317	17971.8316	7.2546
7	he	210421084	17150.3258	7.2343
8	^a	202667520	16518.3732	7.218
9	ou	189240403	15423.9989	7.1882
10	^w	180459113	14708.2817	7.1676
11	d$	166718168	13588.3289	7.1332
12	in	163868730	13356.0861	7.1257
13	^s	151830437	12374.9076	7.0925
14	n$	146083363	11906.4935	7.0758
15	y$	142510620	11615.2979	7.065
16	^y	140261324	11431.9695	7.0581
17	^h	137925078	11241.5542	7.0508
18	er	136086935	11091.7368	7.045
19	re	135956455	11081.102	7.0446
20	o$	134395483	10953.8753	7.0396
21	an	132779349	10822.1527	7.0343
22	r$	126304203	10294.3973	7.0126
23	yo	124540230	10150.625	7.0065
24	^m	117538938	9579.9862	6.9814
25	ha	116080091	9461.0832	6.9759
26	^o	114976997	9371.1758	6.9718
27	on	108163689	8815.8585	6.9453
28	at	107066014	8726.3928	6.9408
29	^b	101165039	8245.4351	6.9162
30	^d	94802517	7726.859	6.888
31	^c	94143372	7673.1356	6.885
32	ng	92165634	7511.9405	6.8758
33	it	91262091	7438.2974	6.8715
34	u$	90916976	7410.1688	6.8698
35	to	87418774	7125.0486	6.8528
36	g$	83351875	6793.5769	6.8321
37	^g	81132673	6612.7013	6.8204
38	me	80472455	6558.8904	6.8168
39	l$	79315228	6464.5708	6.8105
40	ll	77950178	6353.3127	6.803
41	is	76809526	6260.3441	6.7966
42	hi	76099726	6202.492	6.7926
43	ve	75365008	6142.609	6.7884
44	^f	74485913	6070.9585	6.7833
45	i$	74444686	6067.5983	6.783
46	a$	72262987	5889.7794	6.7701
47	or	71249275	5807.157	6.764
48	st	71193207	5802.5872	6.7636
49	nd	71167968	5800.5301	6.7635
50	en	70785588	5769.3643	6.7611
51	^l	70450433	5742.0476	6.7591
52	ar	69133151	5634.6828	6.7509
53	^n	68754443	5603.8163	6.7485
54	ea	67490231	5500.777	6.7404
55	no	66627612	5430.4694	6.7348
56	h$	61060191	4976.6979	6.6969
57	es	60563257	4936.1954	6.6934
58	al	59825082	4876.0306	6.6881
59	le	57911007	4720.0243	6.6739
60	se	57597968	4694.5102	6.6716
61	^p	57233245	4664.7835	6.6688
62	te	57191357	4661.3694	6.6685
63	ne	54818091	4467.9369	6.6501
64	wh	54472937	4439.8052	6.6474
65	m$	52684822	4294.0652	6.6329
66	ed	52208594	4255.2504	6.6289
67	as	51471271	4195.155	6.6227
68	's	50761838	4137.3328	6.6167
69	do	49327493	4020.4269	6.6043
70	ow	48411134	3945.7392	6.5961
71	ho	48209321	3929.2905	6.5943
72	f$	48051767	3916.4491	6.5929
73	^r	47462393	3868.4123	6.5875
74	we	47409105	3864.069	6.587
75	be	46145200	3761.0547	6.5753
76	wa	45527558	3710.714	6.5695
77	ur	45048808	3671.6935	6.5649
78	el	44851289	3655.5948	6.563
79	et	44699478	3643.2215	6.5615
80	om	44617966	3636.5779	6.5607
81	ot	44577019	3633.2405	6.5603
82	li	44374747	3616.7543	6.5583
83	ut	44249109	3606.5142	6.5571
84	k$	43958865	3582.858	6.5542
85	nt	43263462	3526.1793	6.5473
86	ti	43027088	3506.9137	6.5449
87	ri	42972054	3502.4281	6.5444
88	go	42957350	3501.2297	6.5442
89	us	41641123	3393.9509	6.5307
90	co	41363029	3371.2849	6.5278
91	w$	41133959	3352.6146	6.5254
92	ca	40616925	3310.4739	6.5199
93	so	38465558	3135.1271	6.4963
94	ro	38131825	3107.9263	6.4925
