Rank	Bigram	Frequency	Frequency per million	Zipf value
1	n$	55453972	39378.5479	7.5953
2	a$	39024859	27712.0326	7.4427
3	ä$	28844924	20483.1355	7.3114
4	in	26897270	19100.0824	7.281
5	i$	24220952	17199.5961	7.2355
6	ta	22742272	16149.5672	7.2082
7	en	21801661	15481.6278	7.1898
8	^t	21694841	15405.7736	7.1877
9	si	20917176	14853.5441	7.1718
10	^s	20393879	14481.9444	7.1608
11	tä	20200242	14344.4404	7.1567
12	^o	19623676	13935.0138	7.1441
13	^k	19544820	13879.0172	7.1424
14	^m	19268676	13682.924	7.1362
15	e$	17942171	12740.9564	7.1052
16	it	17391680	12350.046	7.0917
17	an	17267699	12262.0056	7.0886
18	t$	15898129	11289.457	7.0527
19	is	15472179	10986.9847	7.0409
20	^h	15102562	10724.5151	7.0304
21	tt	14864224	10555.2684	7.0235
22	aa	14386872	10216.2949	7.0093
23	ll	14254854	10122.5472	7.0053
24	^e	13703432	9730.9757	6.9882
25	mi	13538645	9613.9584	6.9829
26	st	13402471	9517.2596	6.9785
27	ka	13381740	9502.5383	6.9778
28	le	12924203	9177.6356	6.9627
29	^p	12261487	8707.0328	6.9399
30	än	12234839	8688.1097	6.9389
31	et	12119303	8606.0662	6.9348
32	on	12014422	8531.5889	6.931
33	^v	11792812	8374.2209	6.9229
34	ol	11761370	8351.8936	6.9218
35	te	11759887	8350.8405	6.9217
36	ai	11733144	8331.8499	6.9207
37	se	11654294	8275.8576	6.9178
38	va	10671199	7577.7497	6.8795
39	^j	10362112	7358.2632	6.8668
40	ei	9812967	6968.3086	6.8431
41	oi	9468707	6723.8454	6.8276
42	el	9403831	6677.7761	6.8246
43	ti	9248999	6567.828	6.8174
44	sa	9148150	6496.2139	6.8127
45	ne	8988104	6382.5633	6.805
46	la	8947404	6353.6617	6.803
47	li	8758593	6219.5847	6.7938
48	ää	8718121	6190.845	6.7917
49	ko	8572517	6087.4498	6.7844
50	ut	8358321	5935.3466	6.7734
51	tu	8193923	5818.6056	6.7648
52	al	8037275	5707.3679	6.7564
53	me	7933718	5633.8308	6.7508
54	ik	7906136	5614.2445	6.7493
55	^a	7721512	5483.1407	6.739
56	ku	7612208	5405.5226	6.7328
57	ii	7552269	5362.9592	6.7294
58	as	7549423	5360.9382	6.7292
59	at	7493339	5321.1122	6.726
60	^n	7335830	5209.2632	6.7168
61	ni	7147785	5075.7301	6.7055
62	ki	7038940	4998.4379	6.6988
63	ja	6888958	4891.9339	6.6895
64	^l	6793506	4824.1522	6.6834
65	nu	6607939	4692.3788	6.6714
66	ma	6504206	4618.7167	6.6645
67	o$	6328817	4494.1708	6.6526
68	il	6307583	4479.0923	6.6512
69	un	6140577	4360.4993	6.6395
70	ke	6077045	4315.3844	6.635
71	ss	6068545	4309.3485	6.6344
72	to	6044546	4292.3065	6.6327
73	ul	5923857	4206.6038	6.6239
74	hä	5920073	4203.9167	6.6237
75	ie	5767764	4095.7602	6.6123
76	nn	5675705	4030.388	6.6053
77	lä	5638345	4003.8582	6.6025
78	pa	5491543	3899.6123	6.591
79	s$	5436498	3860.5241	6.5866
80	nä	5417728	3847.1953	6.5851
81	ar	5406032	3838.8899	6.5842
82	os	5376590	3817.9827	6.5818
83	uu	5362218	3807.777	6.5807
84	jo	5330295	3785.1081	6.5781
85	ee	5326621	3782.4991	6.5778
86	ks	5176369	3675.8033	6.5654
87	er	5145686	3654.015	6.5628
88	lu	5070697	3600.7643	6.5564
89	es	5025300	3568.5274	6.5525
90	he	5010868	3558.279	6.5512
91	ha	4899626	3479.2847	6.5415
92	ri	4861722	3452.3686	6.5381
93	ot	4811151	3416.4575	6.5336
94	uo	4775310	3391.0064	6.5303
95	mm	4657468	3307.3253	6.5195
96	vi	4578267	3251.0837	6.512
97	yt	4376150	3107.558	6.4924
98	vä	4314368	3063.6858	6.4862
99	nt	4295129	3050.024	6.4843
100	us	4143431	2942.3013	6.4687
101	na	4109470	2918.1852	6.4651
102	ra	4092039	2905.8073	6.4633
103	kä	4040979	2869.5489	6.4578
104	ia	3978801	2825.3956	6.4511
105	ak	3875443	2751.9998	6.4396
106	mu	3832557	2721.5459	6.4348
107	kk	3634428	2580.852	6.4118
108	pi	3623165	2572.8541	6.4104
109	sä	3467171	2462.0808	6.3913
110	ua	3457064	2454.9037	6.39
111	ät	3388607	2406.2915	6.3813
112	nk	3378837	2399.3537	6.3801
113	^r	3345997	2376.0336	6.3759
114	mä	3305804	2347.4921	6.3706
115	no	3301987	2344.7816	6.3701
116	uk	3282986	2331.2888	6.3676
117	^i	3272107	2323.5634	6.3662
118	au	3209307	2278.9684	6.3577
119	im	3204422	2275.4995	6.3571
120	dä	3196487	2269.8648	6.356
121	em	3191478	2266.3078	6.3553
122	tk	3155345	2240.6493	6.3504
