Rank	Bigram	Frequency	Frequency per million	Zipf value
1	a$	348376	34331.4988	7.5357
2	e$	347965	34290.9959	7.5352
3	o$	321856	31718.0256	7.5013
4	s$	285593	28144.4064	7.4494
5	n$	207457	20444.318	7.3106
6	^a	181941	17929.7863	7.2536
7	^d	164631	16223.9333	7.2102
8	^e	161328	15898.4317	7.2014
9	es	152476	15026.0914	7.1768
10	^p	148069	14591.7936	7.1641
11	^c	144843	14273.8802	7.1545
12	de	143002	14092.4547	7.149
13	os	129486	12760.49	7.1059
14	^s	124848	12303.4278	7.09
15	en	121941	12016.9509	7.0798
16	ar	117184	11548.1616	7.0625
17	qu	116915	11521.6524	7.0615
18	er	116080	11439.3655	7.0584
19	^n	113529	11187.9714	7.0488
20	ra	111476	10985.6539	7.0408
21	on	111002	10938.9425	7.039
22	ue	109922	10832.5114	7.0347
23	^m	105743	10420.6825	7.0179
24	te	105133	10360.5686	7.0154
25	r$	103304	10180.3257	7.0078
26	as	101003	9953.5685	6.998
27	^o	99868	9841.7173	6.9931
28	no	97089	9567.8545	6.9808
29	^q	95100	9371.844	6.9718
30	^t	91422	9009.3872	6.9547
31	do	90588	8927.1988	6.9507
32	re	87714	8643.974	6.9367
33	co	86903	8564.0522	6.9327
34	ta	84120	8289.7952	6.9185
35	se	82367	8117.0418	6.9094
36	st	81170	7999.0808	6.903
37	an	80755	7958.1836	6.9008
38	or	79103	7795.3836	6.8918
39	nt	76615	7550.198	6.878
40	to	74628	7354.3846	6.8665
41	me	74469	7338.7156	6.8656
42	da	72030	7098.3588	6.8512
43	ca	66149	6518.8024	6.8142
44	mo	65906	6494.8554	6.8126
45	po	65840	6488.3513	6.8121
46	un	65726	6477.1169	6.8114
47	ro	62295	6139.0013	6.7881
48	al	61366	6047.4509	6.7816
49	^v	59938	5906.7254	6.7713
50	^f	57749	5691.0055	6.7552
51	ad	56131	5531.556	6.7428
52	is	52728	5196.1997	6.7157
53	pa	52698	5193.2433	6.7154
54	ma	51215	5047.0977	6.703
55	i$	50472	4973.8771	6.6967
56	in	47096	4641.1816	6.6666
57	sa	46744	4606.4929	6.6634
58	ci	44566	4391.857	6.6426
59	nd	43621	4298.7298	6.6333
60	u$	43446	4281.4841	6.6316
61	le	43312	4268.2787	6.6303
62	^u	42979	4235.4625	6.6269
63	la	42921	4229.7468	6.6263
64	so	41457	4085.4736	6.6112
65	am	41041	4044.4779	6.6069
66	pe	39548	3897.3469	6.5908
67	ha	38487	3792.7882	6.579
68	ou	38120	3756.6214	6.5748
69	ll	37810	3726.0717	6.5713
70	na	37755	3720.6516	6.5706
71	lo	37577	3703.1102	6.5686
72	tr	37407	3686.3572	6.5666
73	ir	37282	3674.0388	6.5651
74	^i	37274	3673.2504	6.5651
75	om	36769	3623.484	6.5591
76	ei	36519	3598.8472	6.5562
77	el	36110	3558.5414	6.5513
78	ri	35543	3502.6651	6.5444
79	ti	34506	3400.4716	6.5315
80	^b	34493	3399.1905	6.5314
81	ve	33938	3344.4968	6.5243
82	^r	33513	3302.6142	6.5189
83	ac	33430	3294.4348	6.5178
84	di	32838	3236.0948	6.51
85	ab	32307	3183.7662	6.5029
86	em	32198	3173.0245	6.5015
87	ol	31587	3112.8122	6.4932
88	pr	31261	3080.6858	6.4886
89	eu	30940	3049.0521	6.4842
90	^l	30842	3039.3945	6.4828
91	é$	30790	3034.27	6.4821
92	it	30659	3021.3603	6.4802
93	ai	29794	2936.1169	6.4678
94	ba	29340	2891.3765	6.4611
95	od	29282	2885.6607	6.4602
96	ic	29215	2879.0581	6.4593
97	id	29143	2871.9627	6.4582
98	be	28839	2842.0043	6.4536
99	^é	28723	2830.5728	6.4519
100	ch	28666	2824.9556	6.451
101	ce	28665	2824.8571	6.451
102	mi	27924	2751.8336	6.4396
103	si	27837	2743.26	6.4383
104	ec	27172	2677.726	6.4278
105	ia	25847	2547.1509	6.4061
106	ón	25108	2474.3245	6.3935
107	ía	24653	2429.4855	6.3855
108	l$	24598	2424.0654	6.3845
109	ns	24387	2403.2719	6.3808
110	oi	24269	2391.6434	6.3787
111	vo	24080	2373.0179	6.3753
112	at	23791	2344.5378	6.3701
113	á$	23150	2281.369	6.3582
114	fa	23021	2268.6564	6.3558
115	ga	22923	2258.9987	6.3539
116	^h	22906	2257.3234	6.3536
117	go	22580	2225.197	6.3474
118	rt	22533	2220.5653	6.3465
119	vi	22082	2176.1205	6.3377
120	us	21902	2158.382	6.3341
121	xe	21825	2150.7939	6.3326
122	va	21305	2099.5493	6.3221
123	li	20868	2056.4841	6.3131
124	nh	20777	2047.5163	6.3112
125	gu	20644	2034.4095	6.3084
126	nc	19403	1912.1124	6.2815
127	io	19081	1880.3802	6.2742
128	il	18821	1854.7579	6.2683
128	im	18821	1854.7579	6.2683
129	^x	18759	1848.648	6.2669
130	^g	18500	1823.1242	6.2608
131	ni	18255	1798.9802	6.255
132	mp	18013	1775.1317	6.2492
133	he	17695	1743.7937	6.2415
