Rank	Bigram	Frequency	Frequency per million	Zipf value
1	n$	43768858	34799.5053	7.5416
2	ch	35749718	28423.6911	7.4537
3	en	32838091	26108.7306	7.4168
4	e$	31819869	25299.1682	7.4031
5	t$	30698783	24407.8212	7.3875
6	er	28578922	22722.3737	7.3565
7	^d	28217308	22434.8636	7.3509
8	r$	27201596	21627.2968	7.335
9	^s	21673641	17232.1605	7.2363
10	s$	21195401	16851.924	7.2266
11	ei	20004056	15904.7159	7.2015
12	in	19755211	15706.8656	7.1961
13	ic	19718714	15677.8478	7.1953
14	^w	19065159	15158.2228	7.1806
15	^i	18995160	15102.5684	7.1791
16	ie	18892294	15020.7822	7.1767
17	h$	18011885	14320.7915	7.156
18	^e	14713458	11698.2961	7.0681
19	st	14532926	11554.7597	7.0628
20	de	13869532	11027.312	7.0425
21	te	13482850	10719.871	7.0302
22	^m	13428395	10676.5752	7.0284
23	ge	13159906	10463.1064	7.0197
24	^a	11980678	9525.5322	6.9789
25	as	11129347	8848.6606	6.9469
26	^h	11080206	8809.5899	6.945
27	ne	10943534	8700.9254	6.9396
28	es	10487411	8338.2736	6.9211
29	be	10469738	8324.2223	6.9203
30	^n	10258901	8156.5911	6.9115
31	an	9864412	7842.943	6.8945
32	^g	9790259	7783.9858	6.8912
33	da	9530933	7577.8023	6.8795
34	si	9256321	7359.4653	6.8668
35	nd	9238324	7345.1563	6.866
36	un	8965557	7128.2862	6.853
37	he	8922039	7093.6862	6.8509
38	ht	8690865	6909.8856	6.8395
39	^b	8143206	6474.4559	6.8112
40	is	7802245	6203.3665	6.7926
41	se	7768418	6176.4715	6.7907
42	re	7764035	6172.9867	6.7905
43	d$	7523512	5981.753	6.7768
44	ha	7452795	5925.5277	6.7727
45	di	7437685	5913.5141	6.7718
46	au	7371141	5860.6067	6.7679
47	le	7232498	5750.3751	6.7597
48	wi	7128686	5667.8368	6.7534
49	^k	7097866	5643.3327	6.7515
50	sc	6926117	5506.7794	6.7409
51	u$	6877232	5467.9122	6.7378
52	ir	6514131	5179.2198	6.7143
53	ni	6098269	4848.5785	6.6856
54	^u	6059526	4817.7749	6.6828
55	wa	6048880	4809.3106	6.6821
56	ll	5941363	4723.8265	6.6743
57	^v	5906876	4696.4068	6.6718
58	m$	5903403	4693.6455	6.6715
59	al	5843943	4646.3704	6.6671
60	me	5797054	4609.0901	6.6636
61	we	5671903	4509.5858	6.6541
62	mi	5617325	4466.1922	6.6499
63	ss	5611566	4461.6133	6.6495
64	ar	5461248	4342.0993	6.6377
65	nn	5374804	4273.3699	6.6308
66	it	5133810	4081.7617	6.6108
67	^f	5130730	4079.3129	6.6106
68	el	4943837	3930.719	6.5945
69	ab	4842075	3849.8106	6.5854
70	eh	4803707	3819.3052	6.582
71	du	4737743	3766.8589	6.576
72	^z	4710803	3745.4396	6.5735
73	ng	4691610	3730.1797	6.5717
74	ma	4614873	3669.1681	6.5646
75	l$	4558351	3624.2289	6.5592
76	^l	4506884	3583.3088	6.5543
77	li	4183496	3326.1912	6.5219
78	ra	4145451	3295.9426	6.518
79	hr	4086971	3249.4466	6.5118
80	g$	3989912	3172.2775	6.5014
81	on	3942195	3134.3389	6.4961
82	^j	3832745	3047.318	6.4839
83	et	3786046	3010.1888	6.4786
84	zu	3746798	2978.9838	6.4741
85	a$	3705740	2946.3396	6.4693
86	^t	3652491	2904.0027	6.463
87	us	3604432	2865.7922	6.4572
88	ac	3568079	2836.8888	6.4528
89	so	3560247	2830.6618	6.4519
90	la	3472891	2761.2073	6.4411
91	nt	3387998	2693.711	6.4304
92	or	3365020	2675.4418	6.4274
93	at	3363488	2674.2237	6.4272
94	ke	3330701	2648.1556	6.4229
95	ns	3307251	2629.5111	6.4199
96	rt	3242459	2577.9966	6.4113
97	ve	3157962	2510.8152	6.3998
98	ri	3117629	2478.7475	6.3942
99	o$	2999592	2384.8993	6.3775
100	^r	2976233	2366.3271	6.3741
101	em	2960340	2353.691	6.3717
102	ih	2959863	2353.3118	6.3717
103	mm	2956214	2350.4105	6.3711
104	rd	2930578	2330.028	6.3674
105	hi	2880685	2290.3593	6.3599
106	ut	2851491	2267.1479	6.3555
107	ig	2769966	2202.3295	6.3429
108	rs	2769778	2202.18	6.3429
109	ol	2745992	2183.2684	6.3391
110	ur	2678497	2129.6048	6.3283
111	uf	2657173	2112.6506	6.3248
112	na	2615865	2079.8077	6.318
113	ag	2544068	2022.7237	6.3059
114	tt	2509574	1995.2984	6.3
115	bi	2508762	1994.6528	6.2999
116	fe	2504298	1991.1036	6.2991
117	lt	2498234	1986.2823	6.298
118	^p	2429067	1931.2894	6.2858
119	ti	2415044	1920.14	6.2833
120	^o	2405991	1912.9422	6.2817
121	vo	2403608	1911.0476	6.2813
122	il	2370872	1885.02	6.2753
123	sa	2320792	1845.2027	6.266
124	um	2219248	1764.4676	6.2466
125	ka	2186347	1738.3089	6.2401
126	hn	2175190	1729.4382	6.2379
127	f$	2162606	1719.433	6.2354
128	am	2158383	1716.0754	6.2345
129	uc	2146861	1706.9146	6.2322
130	eu	2118176	1684.1078	6.2264
131	ko	2043026	1624.358	6.2107
132	om	2038776	1620.9789	6.2098
133	ür	2031949	1615.5509	6.2083
134	ck	2026045	1610.8568	6.2071
135	ta	2008169	1596.6441	6.2032
136	ja	2003563	1592.982	6.2022
137	eg	1999428	1589.6943	6.2013
138	oc	1995925	1586.9092	6.2006
139	wo	1955537	1554.7977	6.1917
140	im	1935829	1539.1284	6.1873
141	ze	1930806	1535.1347	6.1861
142	eb	1913112	1521.0667	6.1821
143	tz	1860793	1479.4692	6.1701
144	ru	1841687	1464.2785	6.1656
145	hl	1830938	1455.7322	6.1631
146	ls	1809372	1438.5856	6.1579
147	ed	1742727	1385.5979	6.1416
148	nu	1696039	1348.4775	6.1298
149	tr	1652773	1314.0778	6.1186
150	ro	1649243	1311.2711	6.1177
151	fü	1644098	1307.1805	6.1163
152	nk	1596430	1269.2809	6.1036
153	y$	1593583	1267.0173	6.1028
154	ho	1575319	1252.4961	6.0978
155	k$	1570102	1248.3481	6.0963
156	fa	1560870	1241.008	6.0938
157	i$	1547573	1230.4359	6.0901
158	fr	1497112	1190.3157	6.0757
159	lo	1465625	1165.2811	6.0664
160	ah	1420872	1129.6992	6.053
161	ts	1418555	1127.857	6.0523
162	rn	1387051	1102.809	6.0425
163	br	1386541	1102.4035	6.0423
164	je	1363886	1084.3911	6.0352
165	to	1344529	1069.0008	6.029
166	sp	1337561	1063.4607	6.0267
167	no	1295269	1029.8354	6.0128
168	tu	1295240	1029.8124	6.0128
169	oh	1286077	1022.5271	6.0097
170	gt	1280117	1017.7885	6.0077
171	kl	1263090	1004.2507	6.0018
172	rg	1259231	1001.1825	6.0005
173	ec	1228831	977.0123	5.9899
174	gu	1225982	974.7471	5.9889
175	ga	1208255	960.6528	5.9826
176	pa	1191723	947.5086	5.9766
177	mu	1168464	929.016	5.968
178	b$	1167836	928.5167	5.9678
179	^c	1155757	918.913	5.9633
180	vi	1125937	895.2039	5.9519
181	ff	1113148	885.0357	5.947
182	ef	1094354	870.093	5.9396
183	iß	1088612	865.5277	5.9373
184	rl	1080617	859.1711	5.9341
