Rank	Bigram	Frequency	Frequency per million	Zipf value
1	α$	114756236	30783.5572	7.4883
2	ι$	96156812	25794.2298	7.4115
3	ς$	85208808	22857.4089	7.359
4	^τ	78823107	21144.4337	7.3252
5	ν$	61232535	16425.7326	7.2155
6	^π	59917877	16073.0733	7.2061
7	^μ	56194799	15074.3512	7.1782
8	να	55460247	14877.3064	7.1725
9	ε$	55368231	14852.6229	7.1718
10	ου	55312382	14837.6414	7.1714
11	ο$	54807391	14702.1767	7.1674
12	^ε	52969938	14209.2767	7.1526
13	^σ	51262640	13751.2911	7.1383
14	το	50637879	13583.6979	7.133
15	^κ	50231873	13474.7861	7.1295
16	^α	48965594	13135.1046	7.1184
17	ει	45451935	12192.5595	7.0861
18	αι	45067733	12089.4967	7.0824
19	εί	37547550	10072.1947	7.0031
20	^ν	33683583	9035.6789	6.956
21	κα	32417416	8696.0275	6.9393
22	τα	31442033	8434.3793	6.9261
23	υ$	31393019	8421.2312	6.9254
24	στ	30889419	8286.1396	6.9184
25	πο	30568763	8200.1231	6.9138
26	^δ	29977656	8041.5576	6.9053
27	αν	27293505	7321.5295	6.8646
28	η$	26155909	7016.3675	6.8461
29	με	25947438	6960.4448	6.8426
30	ια	25642110	6878.54	6.8375
31	τι	25005204	6707.6889	6.8266
32	μα	24764411	6643.0957	6.8224
33	τη	23504742	6305.1874	6.7997
34	τε	22711992	6092.5308	6.7848
35	ω$	21727258	5828.3742	6.7655
36	^έ	21712453	5824.4028	6.7653
37	εν	21269690	5705.6308	6.7563
38	^γ	20898649	5606.0984	6.7487
39	σε	20465199	5489.8247	6.7396
40	ά$	19975579	5358.4833	6.729
41	ίν	19732839	5293.3679	6.7237
42	δε	19569152	5249.4586	6.7201
43	^θ	19350952	5190.9261	6.7152
44	ό$	18966407	5087.7712	6.7065
45	ρα	18339995	4919.7351	6.6919
46	^ό	16167598	4336.9859	6.6372
47	ις	16113171	4322.3858	6.6357
48	ατ	15905267	4266.6152	6.6301
49	νε	15530928	4166.1981	6.6197
50	ντ	15521810	4163.7522	6.6195
51	μο	15421424	4136.8234	6.6167
52	αλ	15056692	4038.9835	6.6063
53	σα	14909464	3999.4893	6.602
54	ον	14824465	3976.6882	6.5995
