Rank	Bigram	Frequency	Frequency per million	Zipf value
1	а$	9248829	44876.2668	7.652
2	е$	8287141	40210.058	7.6043
3	о$	5444925	26419.3345	7.4219
4	и$	5076378	24631.1067	7.3915
5	^с	4427874	21484.4987	7.3321
6	^н	3972970	19277.2579	7.285
7	^д	3676688	17839.6672	7.2514
8	на	2956204	14343.805	7.1567
9	^п	2665215	12931.8965	7.1117
10	то	2588077	12557.615	7.0989
11	^т	2538917	12319.0857	7.0906
12	не	2476361	12015.5575	7.0797
13	^м	2475240	12010.1183	7.0795
14	да	2464607	11958.5259	7.0777
15	ка	2396981	11630.3976	7.0656
16	ам	2164696	10503.327	7.0213
17	ра	2084185	10112.6794	7.0049
18	те	1968862	9553.1203	6.9801
19	^в	1898203	9210.2756	6.9643
20	ат	1877242	9108.5707	6.9595
21	та	1869470	9070.8602	6.9576
22	м$	1817479	8818.5945	6.9454
23	^о	1776873	8621.57	6.9356
24	ко	1756550	8522.9607	6.9306
25	^з	1724912	8369.4499	6.9227
26	^и	1718084	8336.3198	6.921
27	^к	1685999	8180.6401	6.9128
28	ва	1661731	8062.8892	6.9065
29	се	1643773	7975.7552	6.9018
30	де	1617789	7849.6781	6.8949
31	^г	1598167	7754.4702	6.8896
32	т$	1538961	7467.1966	6.8732
33	во	1526423	7406.3609	6.8696
34	от	1459689	7082.5607	6.8502
35	ме	1451868	7044.6124	6.8479
36	ре	1423244	6905.7258	6.8392
37	^е	1373891	6666.26	6.8239
38	ни	1343493	6518.7658	6.8142
39	по	1334506	6475.16	6.8113
40	го	1299594	6305.7634	6.7997
41	ст	1288250	6250.7211	6.7959
42	ја	1285624	6237.9795	6.795
43	ти	1274648	6184.7228	6.7913
44	мо	1233689	5985.9855	6.7771
45	од	1233542	5985.2723	6.7771
46	пр	1230461	5970.323	6.776
47	ен	1203941	5841.6452	6.7665
48	ов	1198728	5816.3512	6.7647
49	но	1197059	5808.253	6.764
50	^б	1191611	5781.8188	6.7621
51	шт	1180528	5728.0429	6.758
52	ш$	1148589	5573.0716	6.7461
53	за	1143033	5546.1133	6.744
54	ак	1128799	5477.0485	6.7385
55	ма	1125776	5462.3806	6.7374
56	до	1124620	5456.7716	6.7369
57	ав	1120820	5438.3336	6.7355
58	ек	1117659	5422.9961	6.7342
59	ви	1097947	5327.3514	6.7265
60	ли	1023325	4965.2778	6.6959
61	ед	953967	4628.7457	6.6655
62	ој	942948	4575.2804	6.6604
63	ле	930779	4516.2352	6.6548
64	ми	920079	4464.3177	6.6498
65	ет	891109	4323.7523	6.6359
66	аш	887919	4308.274	6.6343
67	ри	867924	4211.2563	6.6244
68	ор	863676	4190.6445	6.6223
69	ро	841231	4081.7391	6.6108
70	ве	835200	4052.4761	6.6077
71	ин	831577	4034.8969	6.6058
72	ла	819777	3977.6421	6.5996
73	ј$	811489	3937.4278	6.5952
74	н$	810911	3934.6233	6.5949
75	ем	793456	3849.9299	6.5855
76	ит	791127	3838.6293	6.5842
77	^ш	775531	3762.9559	6.5755
78	би	768011	3726.4681	6.5713
79	ол	755931	3667.8547	6.5644
80	ув	733718	3560.075	6.5515
81	ал	731275	3548.2213	6.55
82	ај	728957	3536.9741	6.5486
83	ќе	725130	3518.4051	6.5463
84	ис	719206	3489.6613	6.5428
85	д$	714565	3467.1427	6.54
86	^р	708376	3437.113	6.5362
87	си	706318	3427.1274	6.5349
88	ан	700823	3400.4651	6.5315
89	им	699639	3394.7202	6.5308
90	еш	698714	3390.232	6.5302
