Rank	Bigram	Frequency	Frequency per million	Zipf value
1	a$	156159176	36218.4014	7.5589
2	e$	151247732	35079.2775	7.5451
3	o$	119537183	27724.5679	7.4429
4	i$	117560368	27266.0801	7.4356
5	^s	94210214	21850.4185	7.3395
6	je	70495876	16350.2908	7.2135
7	^n	68655870	15923.5334	7.202
8	^d	67060090	15553.42	7.1918
9	u$	56390740	13078.8501	7.1166
10	^p	55501913	12872.7022	7.1097
11	da	55129621	12786.3555	7.1067
12	m$	51283374	11894.2855	7.0753
13	^m	48482447	11244.6593	7.0509
14	^j	47931386	11116.8503	7.046
15	^t	47239514	10956.3826	7.0397
16	na	43590558	10110.0708	7.0048
17	^o	43161384	10010.5314	7.0005
18	ne	40116589	9304.3442	6.9687
19	mo	39472186	9154.8861	6.9617
20	ra	39381067	9133.7527	6.9606
21	^i	39091177	9066.5177	6.9574
22	li	39068797	9061.3271	6.9572
23	am	37312268	8653.9308	6.9372
24	ti	35056259	8130.6888	6.9101
25	^k	33053074	7666.0849	6.8846
26	ta	32888636	7627.9464	6.8824
27	ni	31881516	7394.3624	6.8689
28	to	31551708	7317.8692	6.8644
29	ko	31038964	7198.9472	6.8573
30	st	30712094	7123.1354	6.8527
31	sa	30005991	6959.3671	6.8426
32	re	29559156	6855.7315	6.8361
33	^z	29475783	6836.3946	6.8348
34	^u	29142292	6759.0471	6.8299
35	^b	28124687	6523.0314	6.8144
36	te	27177200	6303.2783	6.7996
37	ka	26716119	6196.3385	6.7921
38	po	26676653	6187.1851	6.7915
39	va	26332748	6107.4223	6.7859
40	im	25874990	6001.2533	6.7782
41	^v	25728527	5967.2838	6.7758
42	ov	25081958	5817.3234	6.7647
43	pr	24162834	5604.1486	6.7485
44	vo	23997653	5565.8377	6.7455
45	la	23829885	5526.9268	6.7425
46	ma	23489258	5447.9243	6.7362
47	no	23180622	5376.3416	6.7305
48	an	23108613	5359.6404	6.7291
49	se	21702236	5033.4557	6.7019
50	ja	21440049	4972.646	6.6966
51	al	21372359	4956.9465	6.6952
52	za	20796612	4823.412	6.6834
53	vi	20496054	4753.7028	6.677
54	ri	19951460	4627.3937	6.6653
55	en	19427031	4505.7615	6.6538
56	bi	19363707	4491.0746	6.6524
57	em	19205173	4454.3054	6.6488
58	š$	19064137	4421.5946	6.6456
59	ak	18855385	4373.1782	6.6408
60	ve	18703931	4338.0511	6.6373
61	št	18391473	4265.5819	6.63
62	de	18219322	4225.6545	6.6259
63	od	18096058	4197.0655	6.6229
64	ij	17871446	4144.9707	6.6175
65	di	17871196	4144.9127	6.6175
66	at	17808002	4130.2559	6.616
67	oj	17746571	4116.0081	6.6145
68	is	17518525	4063.1168	6.6089
69	ad	17421044	4040.5078	6.6064
70	^r	17413592	4038.7794	6.6063
71	av	17298757	4012.1454	6.6034
72	ro	17219739	3993.8186	6.6014
73	mi	16799766	3896.4132	6.5907
74	do	16645492	3860.632	6.5867
75	^g	16567569	3842.5591	6.5846
76	it	16300705	3780.6647	6.5776
77	ed	16101703	3734.5096	6.5722
78	aj	16028631	3717.5618	6.5703
79	ar	15987368	3707.9916	6.5691
80	me	15796119	3663.6347	6.5639
81	or	15652857	3630.4076	6.56
82	in	15469290	3587.8324	6.5548
83	os	15469093	3587.7867	6.5548
84	og	15260798	3539.4763	6.5489
