Rank	Bigram	Frequency	Frequency per million	Zipf value
1	o$	222096268	35913.3007	7.5553
2	e$	197896088	32000.0952	7.5052
3	a$	196351877	31750.394	7.5017
4	s$	166391560	26905.7656	7.4298
5	^e	134307074	21717.656	7.3368
6	es	124077674	20063.5466	7.3024
7	en	103727192	16772.843	7.2246
8	n$	94130887	15221.1061	7.1824
9	^d	90686921	14664.2116	7.1663
10	^a	86956473	14060.9925	7.148
11	^s	85542178	13832.2989	7.1409
12	er	84835254	13717.9882	7.1373
13	^p	83848652	13558.4532	7.1322
14	de	81415787	13165.0553	7.1194
15	ue	78473986	12689.3616	7.1034
16	^l	76913191	12436.9787	7.0947
17	^c	75145795	12151.1881	7.0846
18	qu	74270332	12009.6244	7.0795
19	os	68993423	11156.3403	7.0475
20	^m	66260447	10714.414	7.03
21	ar	65021276	10514.0382	7.0218
22	^t	63396081	10251.2417	7.0108
23	ra	62176424	10054.0213	7.0023
24	^q	62097014	10041.1806	7.0018
25	r$	61530193	9949.5248	6.9978
26	te	60763032	9825.4737	6.9924
27	st	58807736	9509.2994	6.9781
28	^n	57127160	9237.5477	6.9656
29	la	56328456	9108.3961	6.9594
30	no	56302122	9104.1379	6.9592
31	as	56161776	9081.4437	6.9582
32	re	52181275	8437.7907	6.9262
33	do	51706513	8361.021	6.9223
34	ta	49204880	7956.5031	6.9007
35	nt	46275866	7482.8772	6.8741
36	an	44921658	7263.8997	6.8612
37	ie	44592757	7210.7159	6.858
38	lo	44393685	7178.5257	6.856
39	or	44168828	7142.166	6.8538
40	to	43862615	7092.6509	6.8508
41	co	43403479	7018.4079	6.8462
42	^h	43285519	6999.3336	6.8451
43	l$	43107030	6970.4716	6.8433
44	el	41545541	6717.9765	6.8272
45	on	41386400	6692.2432	6.8256
46	un	38068913	6155.8005	6.7893
47	y$	37413893	6049.8828	6.7817
48	al	36958850	5976.3017	6.7764
49	ro	36799581	5950.5476	6.7746
50	ad	34839434	5633.5889	6.7508
51	se	33855376	5474.4652	6.7383
52	me	33768240	5460.3752	6.7372
53	^v	33437019	5406.8163	6.7329
54	mo	32576246	5267.628	6.7216
55	na	32194616	5205.9179	6.7165
56	^u	31603860	5110.3917	6.7085
57	da	30749501	4972.2406	6.6966
58	po	30399020	4915.5673	6.6916
59	ha	29817575	4821.5467	6.6832
60	ci	29771079	4814.0283	6.6825
61	ca	29634037	4791.8684	6.6805
62	ma	27890374	4509.9154	6.6542
63	^y	27561017	4456.6579	6.649
64	sa	27396969	4430.1311	6.6464
65	pa	27348098	4422.2286	6.6456
66	am	26790299	4332.0317	6.6367
67	le	26715490	4319.9349	6.6355
68	si	26146245	4227.8872	6.6261
69	nd	25480259	4120.1962	6.6149
70	so	25102028	4059.0357	6.6084
71	tr	24561550	3971.6396	6.599
72	pe	24461183	3955.4101	6.5972
73	di	24363513	3939.6167	6.5955
74	mi	24353380	3937.9782	6.5953
75	in	23546756	3807.5459	6.5806
76	ab	23281792	3764.7008	6.5757
77	ti	23072538	3730.8641	6.5718
78	^b	23058385	3728.5756	6.5715
79	ac	22891406	3701.5748	6.5684
80	ce	21707839	3510.1902	6.5453
81	ne	21609177	3494.2364	6.5434
82	é$	20793908	3362.4062	6.5267
83	ve	19635799	3175.1382	6.5018
84	ri	19456731	3146.1827	6.4978
85	i$	18877132	3052.4607	6.4847
86	ec	18773648	3035.7271	6.4823
87	^r	18325225	2963.2165	6.4718
88	í$	18083251	2924.0889	6.466
89	id	17875826	2890.548	6.461
90	ic	17745681	2869.5033	6.4578
91	em	17605393	2846.8185	6.4544
92	ll	17432437	2818.8513	6.4501
93	cu	17379205	2810.2436	6.4487
94	om	17201618	2781.5275	6.4443
95	is	17153549	2773.7547	6.4431
96	ui	16728165	2704.9695	6.4322
97	^f	16541259	2674.7465	6.4273
98	ia	16467838	2662.8742	6.4254
99	ía	16080203	2600.193	6.415
100	ba	15460682	2500.0155	6.3979
101	ir	15455760	2499.2196	6.3978
102	^i	15262195	2467.9199	6.3923
103	pr	15146815	2449.2628	6.389
104	^o	15069264	2436.7227	6.3868
105	ed	14973599	2421.2535	6.384
106	ch	14934680	2414.9602	6.3829
107	ho	14810635	2394.902	6.3793
108	vi	14215312	2298.6373	6.3615
109	io	14157098	2289.2241	6.3597
110	su	14066510	2274.5758	6.3569
111	go	13942887	2254.5858	6.3531
112	rt	13899521	2247.5735	6.3517
113	nc	13711047	2217.0969	6.3458
114	^g	13432366	2172.0338	6.3369
115	ué	13280882	2147.5386	6.3319
116	ol	13095443	2117.5528	6.3258
117	gu	13077151	2114.595	6.3252
118	va	13023127	2105.8592	6.3234
119	li	12918847	2088.997	6.3199
120	od	12887083	2083.8607	6.3189
121	á$	12444945	2012.3663	6.3037
122	bi	12428711	2009.7413	6.3031
123	ga	12342962	1995.8755	6.3001
124	ni	12055886	1949.4549	6.2899
125	pu	11927027	1928.6182	6.2852
126	tá	11597668	1875.3604	6.2731
127	at	11534391	1865.1284	6.2707
128	be	11166494	1805.6389	6.2566
129	us	11103369	1795.4315	6.2542
130	ón	11070680	1790.1456	6.2529
131	eg	11042178	1785.5368	6.2518
132	tu	10887428	1760.5135	6.2456
133	it	10863827	1756.6972	6.2447
134	oc	10700099	1730.2221	6.2381
135	mp	10682725	1727.4127	6.2374
136	u$	10611696	1715.9272	6.2345
137	mu	10465467	1692.2818	6.2285
138	br	10003189	1617.5307	6.2089
139	im	9921292	1604.2878	6.2053
140	d$	9781279	1581.6475	6.1991
141	he	9721095	1571.9157	6.1964
142	rd	9616807	1555.0522	6.1917
143	ás	9551046	1544.4185	6.1888
144	ió	9359565	1513.4557	6.18
145	sí	9192064	1486.3706	6.1721
146	ig	9185816	1485.3603	6.1718
