Rank	Bigram	Frequency	Frequency per million	Zipf value
1	и$	239709	22823.4293	7.3584
2	е$	235339	22407.3482	7.3504
3	о$	208833	19883.6306	7.2985
4	^в	170039	16189.9348	7.2092
5	^т	167729	15969.9926	7.2033
6	^н	160805	15310.7374	7.185
7	^п	156732	14922.9345	7.1739
8	а$	149396	14224.4515	7.153
9	я$	138815	13217.002	7.1211
10	і$	132460	12611.923	7.1008
11	ти	129289	12310.0023	7.0903
12	^з	124657	11868.9754	7.0744
13	^м	115862	11031.5765	7.0426
14	на	111904	10654.7231	7.0275
15	у$	103823	9885.3063	6.995
16	не	98131	9343.3536	6.9705
17	^д	98117	9342.0206	6.9704
18	^с	91948	8754.6512	6.9422
19	^я	90701	8635.9205	6.9363
20	ро	82383	7843.9382	6.8945
21	в$	72190	6873.4314	6.8372
22	по	72060	6861.0537	6.8364
23	та	70442	6706.9989	6.8265
24	^б	70310	6694.4308	6.8257
25	що	69288	6597.123	6.8194
26	^щ	68511	6523.1425	6.8145
27	ра	64078	6101.063	6.7854
28	ві	63470	6043.1734	6.7813
29	ні	63387	6035.2707	6.7807
30	пр	61751	5879.5021	6.7693
31	то	61491	5854.7468	6.7675
32	ви	61041	5811.9009	6.7643
33	й$	60763	5785.4316	6.7623
34	ва	60147	5726.7804	6.7579
35	мо	59875	5700.8824	6.7559
36	ст	56352	5365.4468	6.7296
37	за	55724	5305.653	6.7247
38	ли	55188	5254.6188	6.7205
39	^ц	54911	5228.2448	6.7184
40	об	54486	5187.7792	6.715
41	ов	54359	5175.6872	6.714
42	ен	53599	5103.3252	6.7079
43	ер	53314	5076.1895	6.7055
44	^к	52755	5022.9654	6.701
45	те	52468	4995.6392	6.6986
46	ю$	51653	4918.0406	6.6918
47	во	51412	4895.0942	6.6898
48	к$	50936	4849.7728	6.6857
49	го	50397	4798.453	6.6811
50	но	49713	4733.3272	6.6752
51	ал	49349	4698.6697	6.672
52	це	48440	4612.121	6.6639
53	ма	48369	4605.3609	6.6633
54	ав	47780	4549.2804	6.6579
55	м$	47387	4511.8616	6.6544
56	до	47028	4477.6802	6.6511
57	ко	46915	4466.9211	6.65
58	ка	46437	4421.4092	6.6456
59	ат	46368	4414.8395	6.6449
60	ог	43786	4168.9994	6.62
61	ри	43028	4096.8279	6.6124
62	ом	42791	4074.2624	6.61
63	^р	42532	4049.6022	6.6074
64	ся	41723	3972.5748	6.5991
65	ни	41516	3952.8657	6.5969
66	^а	41301	3932.3949	6.5947
67	ре	40711	3876.2192	6.5884
68	^і	40440	3850.4165	6.5855
69	ає	40311	3838.134	6.5841
70	ак	39698	3779.7684	6.5775
71	од	39049	3717.9751	6.5703
72	ан	38626	3677.7	6.5656
73	ла	38456	3661.5137	6.5637
74	ме	37534	3573.7273	6.5531
75	ит	37111	3533.4522	6.5482
76	ор	36749	3498.985	6.5439
77	як	35547	3384.5389	6.5295
78	ми	35212	3352.6425	6.5254
79	ід	34985	3331.0292	6.5226
80	є$	34708	3304.6552	6.5191
81	^ч	34677	3301.7036	6.5187
82	^о	34089	3245.7183	6.5113
83	ар	33811	3219.249	6.5078
84	ос	33271	3167.834	6.5008
85	бу	33220	3162.9781	6.5001
86	ін	33213	3162.3116	6.5
87	ло	33154	3156.694	6.4992
88	ив	32743	3117.5615	6.4938
89	ш$	32696	3113.0865	6.4932
90	ин	32468	3091.3779	6.4902
91	же	32046	3051.198	6.4845
92	ам	31637	3012.2558	6.4789
93	н$	31612	3009.8755	6.4785
94	ди	31469	2996.26	6.4766
95	он	31421	2991.6898	6.4759
96	^г	31349	2984.8345	6.4749
97	з$	31103	2961.412	6.4715
98	^у	30702	2923.2316	6.4659
99	ол	30532	2907.0454	6.4635
100	ас	30504	2904.3794	6.4631
101	ай	30141	2869.8171	6.4579
102	тр	29982	2854.6782	6.4556
103	да	29967	2853.25	6.4553
104	зн	29377	2797.0743	6.4467
105	^х	28805	2742.6124	6.4382
106	ий	28108	2676.2489	6.4275
107	ле	27480	2616.4551	6.4177
108	ї$	27112	2581.4167	6.4119
109	ба	26312	2505.2462	6.3989
110	мі	26051	2480.3956	6.3945
111	де	25955	2471.2552	6.3929
112	ку	25868	2462.9716	6.3915
113	им	25793	2455.8307	6.3902
114	от	25557	2433.3604	6.3862
115	рі	25261	2405.1773	6.3811
116	ки	25079	2387.8485	6.378
117	му	24945	2375.09	6.3757
118	аз	24673	2349.192	6.3709
119	ож	24132	2297.6818	6.3613
120	ду	24129	2297.3961	6.3612
121	пе	23672	2253.8837	6.3529
122	га	23541	2241.4108	6.3505
123	ув	23488	2236.3645	6.3495
124	би	23455	2233.2225	6.3489
125	ис	23450	2232.7464	6.3488
126	х$	23171	2206.182	6.3436
