Rank	Character	Frequency	Frequency per million	Zipf value
1	e	239178	163357.1061	8.2131
2	a	127611	87157.5298	7.9403
3	i	117736	80412.9654	7.9053
4	n	113552	77555.3191	7.8896
5	o	97577	66644.4921	7.8238
6	s	91385	62415.3941	7.7953
7	r	84835	57941.7843	7.763
8	t	80532	55002.8617	7.7404
9	d	72804	49724.6852	7.6966
10	l	57598	39339.0805	7.5948
11	k	57501	39272.8301	7.5941
12	m	47937	32740.6768	7.5151
13	g	47372	32354.7853	7.5099
14	h	35292	24104.2194	7.3821
15	u	34285	23416.4446	7.3695
16	y	30413	20771.8923	7.3175
17	w	28938	19764.4764	7.2959
18	v	25353	17315.9434	7.2384
19	j	19868	13569.7221	7.1326
20	b	18597	12701.6369	7.1039
21	p	17432	11905.949	7.0758
22	f	10113	6907.1169	6.8393
23	c	2833	1934.9216	6.2867
24	ê	2336	1595.4737	6.2029
25	z	968	661.1381	5.8203
26	ë	861	588.0577	5.7694
27	ô	275	187.8233	5.2737
28	é	231	157.7716	5.198
29	x	225	153.6736	5.1866
30	ö	102	69.6654	4.843
31	ï	87	59.4205	4.7739
32	q	70	47.8096	4.6795
33	è	62	42.3456	4.6268
34	ü	60	40.9796	4.6126
35	ä	20	13.6599	4.1354
35	ł	20	13.6599	4.1354
36	â	11	7.5129	3.8758
36	ó	11	7.5129	3.8758
37	ȇ	7	4.781	3.6795
38	à	6	4.098	3.6126
38	û	6	4.098	3.6126
38	ń	6	4.098	3.6126
39	á	5	3.415	3.5334
40	ව	4	2.732	3.4365
41	ś	3	2.049	3.3115
42	ç	2	1.366	3.1355
42	í	2	1.366	3.1355
42	ñ	2	1.366	3.1355
42	ę	2	1.366	3.1355
42	ż	2	1.366	3.1355
42	ය	2	1.366	3.1355
42	ා	2	1.366	3.1355
42	ේ	2	1.366	3.1355
43	ß	1	0.683	2.8344
43	î	1	0.683	2.8344
43	ź	1	0.683	2.8344
43	ආ	1	0.683	2.8344
43	ජ	1	0.683	2.8344
43	බ	1	0.683	2.8344
43	ි	1	0.683	2.8344
43	ෝ	1	0.683	2.8344
