Rank	Character	Frequency	Frequency per million	Zipf value
1	ë	7218569	93290.9574	7.9698
2	e	7148347	92383.4261	7.9656
3	t	6213186	80297.6422	7.9047
4	a	5581761	72137.2654	7.8582
5	i	5054893	65328.1568	7.8151
6	n	4861658	62830.8366	7.7982
7	r	4739052	61246.3077	7.7871
8	s	3956505	51132.8685	7.7087
9	h	3643605	47089.0282	7.6729
10	o	3612933	46692.631	7.6692
11	j	3409709	44066.2155	7.6441
12	m	3332903	43073.5942	7.6342
13	u	3246313	41954.527	7.6228
14	k	2986551	38597.4287	7.5866
15	d	2877826	37192.2943	7.5705
16	p	2045233	26432.0733	7.4221
17	l	1722843	22265.5866	7.3476
18	g	1062528	13731.8427	7.1377
19	b	880995	11385.7562	7.0564
20	v	814778	10529.9845	7.0224
21	f	748697	9675.9704	6.9857
22	q	679553	8782.3709	6.9436
23	z	458526	5925.8739	6.7728
24	y	412038	5325.0747	6.7263
25	ç	303954	3928.2245	6.5942
26	c	242419	3132.9618	6.496
27	x	89141	1152.0357	6.0615
28	w	23198	299.8051	5.4768
29	ą	2557	33.046	4.5191
30	é	810	10.4682	4.0199
31	š	626	8.0903	3.908
32	č	549	7.0951	3.851
33	í	359	4.6396	3.6665
34	ă	317	4.0968	3.6124
35	ě	296	3.8254	3.5827
36	ć	255	3.2956	3.5179
37	á	220	2.8432	3.4538
38	ž	214	2.7657	3.4418
39	ü	184	2.378	3.3762
40	ó	164	2.1195	3.3262
41	ň	163	2.1066	3.3236
42	î	117	1.5121	3.1796
43	ď	113	1.4604	3.1645
44	α	105	1.357	3.1326
45	â	104	1.3441	3.1284
46	đ	101	1.3053	3.1157
47	ô	96	1.2407	3.0937
48	ú	90	1.1631	3.0656
48	ţ	90	1.1631	3.0656
49	ş	79	1.021	3.009
49	ε	79	1.021	3.009
50	ń	77	0.9951	2.9979
51	η	74	0.9564	2.9806
52	ι	70	0.9047	2.9565
53	ο	68	0.8788	2.9439
54	ĺ	66	0.853	2.9309
54	τ	66	0.853	2.9309
55	β	59	0.7625	2.8822
55	ҫ	59	0.7625	2.8822
56	ˇ	51	0.6591	2.819
57	ά	49	0.6333	2.8016
58	ę	48	0.6203	2.7926
59	ν	47	0.6074	2.7835
60	μ	43	0.5557	2.7448
61	ő	42	0.5428	2.7346
62	ё	41	0.5299	2.7242
63	ä	37	0.4782	2.6796
64	κ	34	0.4394	2.6429
65	σ	33	0.4265	2.6299
65	υ	33	0.4265	2.6299
66	ί	32	0.4136	2.6166
67	ý	28	0.3619	2.5586
67	ŕ	28	0.3619	2.5586
67	π	28	0.3619	2.5586
68	ł	27	0.3489	2.5427
68	λ	27	0.3489	2.5427
69	ö	26	0.336	2.5263
70	ρ	25	0.3231	2.5093
71	ż	23	0.2972	2.473
71	ς	23	0.2972	2.473
72	ß	18	0.2326	2.3666
72	ť	18	0.2326	2.3666
73	δ	17	0.2197	2.3418
74	è	16	0.2068	2.3156
75	ľ	15	0.1939	2.2876
75	γ	15	0.1939	2.2876
76	έ	14	0.1809	2.2574
77	ñ	13	0.168	2.2253
77	ό	13	0.168	2.2253
78	ů	11	0.1422	2.1529
78	θ	11	0.1422	2.1529
79	ξ	9	0.1163	2.0656
79	ύ	9	0.1163	2.0656
80	µ	8	0.1034	2.0145
80	ř	8	0.1034	2.0145
80	ω	8	0.1034	2.0145
81	ė	7	0.0905	1.9566
81	ű	7	0.0905	1.9566
81	ή	7	0.0905	1.9566
81	φ	7	0.0905	1.9566
81	χ	7	0.0905	1.9566
82	ś	4	0.0517	1.7135
82	ź	4	0.0517	1.7135
82	є	4	0.0517	1.7135
83	ê	3	0.0388	1.5888
83	ώ	3	0.0388	1.5888
84	à	2	0.0258	1.4116
84	æ	2	0.0258	1.4116
84	ì	2	0.0258	1.4116
84	ɓ	2	0.0258	1.4116
84	ʀ	2	0.0258	1.4116
84	ζ	2	0.0258	1.4116
84	ψ	2	0.0258	1.4116
85	ã	1	0.0129	1.1106
85	ò	1	0.0129	1.1106
85	ŏ	1	0.0129	1.1106
85	ǹ	1	0.0129	1.1106
85	я	1	0.0129	1.1106
85	ј	1	0.0129	1.1106
