Rank	Bigram	Frequency	Frequency per million	Zipf value
1	^ا	58281892	30502.5661	7.4843
2	ال	56487732	29563.5698	7.4708
3	ا$	55031527	28801.4464	7.4594
4	^أ	39785782	20822.3928	7.3185
5	ن$	39212309	20522.2584	7.3122
6	^ل	33135325	17341.7919	7.2391
7	^م	30685252	16059.5152	7.2057
8	ي$	30269254	15841.7973	7.1998
9	ة$	26410481	13822.2596	7.1406
10	ل$	22105993	11569.4513	7.0633
11	ك$	18472829	9667.989	6.9853
12	^ب	18315685	9585.7457	6.9816
13	^ه	17901415	9368.9322	6.9717
14	^ت	17697652	9262.2903	6.9667
15	نا	17684191	9255.2453	6.9664
16	أن	16953933	8873.0555	6.9481
17	م$	16752215	8767.4838	6.9429
18	ت$	16239047	8498.9109	6.9294
19	لا	16100701	8426.5057	6.9256
20	^ي	15687933	8210.4784	6.9144
21	ه$	15095789	7900.5723	6.8977
22	ما	15090885	7898.0057	6.8975
23	د$	15016769	7859.2162	6.8954
24	^و	14764111	7726.9844	6.888
25	ان	14109309	7384.2855	6.8683
26	لم	13835957	7241.2233	6.8598
27	ى$	13757634	7200.2319	6.8573
28	ر$	13635302	7136.2079	6.8535
29	^ع	12627082	6608.5432	6.8201
30	^ك	12444141	6512.7988	6.8138
31	^ف	12274688	6424.1134	6.8078
32	لي	11309967	5919.2144	6.7723
33	ذا	11086121	5802.0618	6.7636
34	لك	11075861	5796.6921	6.7632
35	^س	10840121	5673.3146	6.7538
36	عل	10691749	5595.6622	6.7479
37	من	10214900	5346.0973	6.728
38	^إ	9762906	5109.5405	6.7084
39	ين	9401224	4920.2496	6.692
40	ً$	8779774	4595.0059	6.6623
41	ها	8451789	4423.3508	6.6458
42	اً	8451370	4423.1315	6.6457
43	ري	8206752	4295.1076	6.633
44	يا	8175796	4278.9064	6.6313
45	^ح	8134887	4257.4961	6.6292
46	نت	8096335	4237.3194	6.6271
47	ب$	8080157	4228.8525	6.6262
48	و$	7770336	4066.7037	6.6092
49	ني	7709512	4034.8707	6.6058
50	في	7707649	4033.8957	6.6057
51	هذ	7564678	3959.07	6.5976
52	وا	7473570	3911.3875	6.5923
53	^ن	7390265	3867.7888	6.5875
54	با	7310552	3826.07	6.5828
55	ون	7215902	3776.5337	6.5771
56	كن	6820191	3569.4333	6.5526
57	يد	6819662	3569.1565	6.5526
58	را	6738541	3526.7008	6.5474
59	ار	6608566	3458.6767	6.5389
60	لى	6379924	3339.014	6.5236
61	ول	6293048	3293.5464	6.5177
62	ف$	6226388	3258.659	6.513
63	ع$	6213513	3251.9207	6.5121
64	نه	6203928	3246.9043	6.5115
65	لت	6168606	3228.4181	6.509
66	دي	6122832	3204.4617	6.5058
67	ست	6061621	3172.4261	6.5014
68	لق	5891820	3083.5586	6.4891
69	ات	5840141	3056.5117	6.4852
70	لأ	5803383	3037.274	6.4825
71	قد	5659805	2962.1306	6.4716
72	ير	5634091	2948.6729	6.4696
73	^ق	5624657	2943.7355	6.4689
74	كا	5528763	2893.5481	6.4614
75	^ج	5490554	2873.551	6.4584
76	س$	5230185	2737.2835	6.4373
77	سي	5095000	2666.5328	6.4259
78	^ش	5057252	2646.7769	6.4227
79	^ر	4807723	2516.1827	6.4007
80	ء$	4764249	2493.43	6.3968
81	ام	4565823	2389.5813	6.3783
82	عن	4520798	2366.0169	6.374
83	مر	4387456	2296.2307	6.361
84	بي	4361174	2282.4756	6.3584
85	لن	4298279	2249.5587	6.3521
86	لو	4286372	2243.3271	6.3509
87	يك	4229664	2213.6482	6.3451
88	دا	4188593	2192.1532	6.3409
89	ية	4162152	2178.3149	6.3381
90	كل	4159589	2176.9736	6.3379
91	تي	4095596	2143.482	6.3311
92	قا	4050640	2119.9537	6.3263
93	يس	4023611	2105.8078	6.3234
94	مع	4020483	2104.1707	6.3231
95	مي	3966297	2075.8118	6.3172
96	لل	3950286	2067.4322	6.3154
97	اب	3889340	2035.5353	6.3087
98	ق$	3873079	2027.0249	6.3069
99	يل	3855173	2017.6536	6.3048
100	له	3839297	2009.3447	6.3031
101	تع	3824423	2001.5602	6.3014
102	هن	3700937	1936.9322	6.2871
103	تر	3681282	1926.6455	6.2848
104	مك	3662588	1916.8618	6.2826
105	سن	3658120	1914.5234	6.2821
106	اذ	3616443	1892.7112	6.2771
107	إن	3554921	1860.5129	6.2696
108	هم	3550416	1858.1552	6.2691
109	هل	3544105	1854.8522	6.2683
110	ذل	3542444	1853.9829	6.2681
111	يم	3537449	1851.3687	6.2675
112	عا	3496552	1829.9648	6.2624
113	لس	3470166	1816.1553	6.2592
114	أي	3445172	1803.0744	6.256
115	عم	3417994	1788.8504	6.2526
116	ذه	3398063	1778.4193	6.25
117	يت	3384376	1771.256	6.2483
118	رة	3384353	1771.244	6.2483
119	حد	3383148	1770.6133	6.2481
120	لد	3365644	1761.4524	6.2459
121	سا	3350161	1753.3492	6.2439
122	اء	3274348	1713.6715	6.2339
123	مل	3273137	1713.0377	6.2338
124	لع	3272361	1712.6316	6.2337
125	كو	3217029	1683.6729	6.2263
126	عد	3205152	1677.4569	6.2247
127	^ذ	3184371	1666.5809	6.2218
128	ور	3156747	1652.1235	6.218
129	يق	3156713	1652.1057	6.218
130	اع	3147382	1647.2222	6.2168
131	اس	3128724	1637.4573	6.2142
132	رف	3127002	1636.5561	6.2139
133	تك	3109654	1627.4768	6.2115
134	يه	3093547	1619.047	6.2093
135	^د	3073952	1608.7917	6.2065
136	تق	3066330	1604.8026	6.2054
137	اي	3065656	1604.4499	6.2053
138	لح	3057009	1599.9244	6.2041
139	اك	3047777	1595.0927	6.2028
140	يع	3044799	1593.5341	6.2024
141	عر	3043270	1592.7339	6.2021
142	ائ	3013143	1576.9665	6.1978
143	اد	2993373	1566.6197	6.195
144	أم	2987126	1563.3502	6.1941
145	جل	2985846	1562.6803	6.1939
146	تح	2984668	1562.0638	6.1937
147	تم	2981370	1560.3377	6.1932
148	نك	2966655	1552.6365	6.1911
149	أع	2932560	1534.7924	6.186
150	رج	2925529	1531.1126	6.185
151	وم	2872176	1503.1897	6.177
152	فع	2868324	1501.1737	6.1764
153	حي	2857870	1495.7024	6.1748
154	حس	2849558	1491.3523	6.1736
155	إل	2847745	1490.4034	6.1733
156	لب	2823466	1477.6967	6.1696
157	بع	2813020	1472.2296	6.168
158	شي	2796762	1463.7208	6.1655
159	ته	2749634	1439.0558	6.1581
160	ِ$	2736026	1431.9338	6.1559
161	اح	2714448	1420.6407	6.1525
162	بر	2699172	1412.6458	6.15
163	مو	2678385	1401.7667	6.1467
164	كي	2671179	1397.9954	6.1455
165	حا	2648156	1385.946	6.1417
166	قي	2621752	1372.1271	6.1374
167	دو	2607170	1364.4954	6.135
168	مت	2590735	1355.894	6.1322
169	كر	2575213	1347.7703	6.1296
170	يف	2554028	1336.6829	6.126
171	هو	2551778	1335.5053	6.1256
172	لة	2549200	1334.1561	6.1252
173	ح$	2532714	1325.5279	6.1224
174	تو	2532357	1325.3411	6.1223
175	تا	2523301	1320.6015	6.1208
176	هي	2500442	1308.638	6.1168
177	عي	2497011	1306.8423	6.1162
178	رو	2485170	1300.6452	6.1142
179	جا	2466807	1291.0347	6.1109
180	وق	2449002	1281.7162	6.1078
181	قو	2426590	1269.9866	6.1038
182	لذ	2415638	1264.2547	6.1018
183	أخ	2404060	1258.1952	6.0997
184	رب	2398060	1255.0551	6.0987
185	نن	2396730	1254.359	6.0984
186	أر	2381965	1246.6315	6.0957
187	دة	2380816	1246.0302	6.0955
188	رك	2365036	1237.7715	6.0926
189	جد	2353863	1231.924	6.0906
190	مس	2342050	1225.7415	6.0884
191	قت	2339544	1224.43	6.0879
192	يو	2319851	1214.1234	6.0843
193	كم	2306064	1206.9078	6.0817
194	تل	2299129	1203.2783	6.0804
195	أس	2276793	1191.5884	6.0761
196	^ص	2264778	1185.3002	6.0738
197	عت	2264213	1185.0045	6.0737
198	^خ	2254321	1179.8274	6.0718
199	بد	2219250	1161.4726	6.065
200	حت	2208182	1155.68	6.0628
201	لف	2159802	1130.3597	6.0532
202	يب	2155427	1128.07	6.0523
203	دم	2122741	1110.9634	6.0457
204	اج	2120165	1109.6152	6.0452
205	جي	2118544	1108.7668	6.0448
206	أت	2118465	1108.7255	6.0448
207	حق	2099903	1099.0108	6.041
208	نع	2089698	1093.6699	6.0389
209	خر	2081530	1089.3951	6.0372
210	تف	2074914	1085.9325	6.0358
211	بل	2072980	1084.9203	6.0354
212	أح	2060870	1078.5824	6.0329
213	أو	2056119	1076.0959	6.0319
214	فا	2044754	1070.1479	6.0294
215	ط$	2042212	1068.8175	6.0289
216	ث$	2016018	1055.1085	6.0233
217	لج	2008728	1051.2932	6.0217
218	وي	1980520	1036.5302	6.0156
219	رت	1978958	1035.7127	6.0152
220	به	1972318	1032.2376	6.0138
221	سم	1971095	1031.5975	6.0135
222	سو	1963435	1027.5886	6.0118
223	ود	1958405	1024.9561	6.0107
224	لر	1948861	1019.9611	6.0086
225	ند	1943784	1017.304	6.0075
226	ّ$	1940993	1015.8433	6.0068
227	اق	1928801	1009.4624	6.0041
228	وج	1900343	994.5686	5.9976
229	تن	1887728	987.9664	5.9947
230	فق	1883757	985.8881	5.9938
231	ج$	1871880	979.6721	5.9911
232	حب	1869965	978.6699	5.9906
233	اه	1864657	975.8919	5.9894
234	قل	1825331	955.3101	5.9801
235	طي	1822164	953.6526	5.9794
236	أك	1819275	952.1406	5.9787
237	اف	1804613	944.4671	5.9752
238	يّ	1798770	941.4091	5.9738
239	نو	1797358	940.6701	5.9734
240	^ط	1782264	932.7704	5.9698
241	لش	1760601	921.4328	5.9645
242	در	1757467	919.7926	5.9637
243	سب	1739552	910.4166	5.9592
244	تب	1718829	899.5709	5.954
245	ض$	1716233	898.2123	5.9534
246	بو	1715966	898.0725	5.9533
247	َ$	1712673	896.3491	5.9525
248	يج	1690723	884.8613	5.9469
249	جو	1690122	884.5467	5.9467
250	ُ$	1684773	881.7473	5.9453
251	شر	1683546	881.1051	5.945
252	أج	1674289	876.2603	5.9426
253	سأ	1671043	874.5615	5.9418
254	يح	1667106	872.501	5.9408
255	او	1646409	861.669	5.9353
256	فت	1644175	860.4998	5.9348
257	قط	1640397	858.5225	5.9338
258	ذي	1615968	845.7373	5.9272
259	قة	1608194	841.6687	5.9251
260	^آ	1607384	841.2448	5.9249
261	لط	1604809	839.8971	5.9242
262	أل	1593752	834.1103	5.9212
263	شا	1549656	811.0321	5.909
264	لآ	1526039	798.6718	5.9024
265	^غ	1523233	797.2033	5.9016
266	صل	1522637	796.8914	5.9014
267	وف	1513631	792.1779	5.8988
268	يء	1510835	790.7146	5.898
269	بت	1510255	790.4111	5.8979
270	جم	1506918	788.6646	5.8969
271	نف	1504124	787.2023	5.8961
272	نّ	1499995	785.0414	5.8949
273	بأ	1465269	766.8671	5.8847
274	تس	1463169	765.768	5.8841
275	بن	1444537	756.0167	5.8785
276	شك	1442748	755.0804	5.878
277	هب	1442303	754.8475	5.8779
278	دت	1432233	749.5773	5.8748
279	وس	1427107	746.8945	5.8733
280	مة	1424840	745.7081	5.8726
281	وت	1418576	742.4297	5.8707
282	جب	1417825	742.0367	5.8704
283	بح	1416754	741.4761	5.8701
284	نس	1412020	738.9985	5.8686
285	آن	1392507	728.7862	5.8626
286	جر	1391610	728.3167	5.8623
287	نح	1386312	725.5439	5.8607
288	كِ	1384636	724.6668	5.8601
289	لخ	1378867	721.6475	5.8583
290	عة	1376517	720.4176	5.8576
291	قب	1369779	716.8912	5.8555
292	خا	1361520	712.5687	5.8528
293	بة	1347348	705.1516	5.8483
294	لإ	1346602	704.7612	5.848
295	تى	1344152	703.479	5.8473
296	طا	1339708	701.1531	5.8458
297	فر	1322003	691.887	5.84
298	خي	1319378	690.5132	5.8392
299	رح	1319227	690.4342	5.8391
300	دث	1316512	689.0132	5.8382
301	ز$	1312750	687.0443	5.837
302	مح	1308067	684.5934	5.8354
303	إذ	1304929	682.9511	5.8344
304	خب	1302836	681.8557	5.8337
305	عو	1298993	679.8444	5.8324
306	وه	1278797	669.2746	5.8256
307	خل	1274139	666.8368	5.824
308	تط	1272763	666.1166	5.8236
309	مه	1270372	664.8653	5.8227
310	بم	1269241	664.2733	5.8223
311	ص$	1268563	663.9185	5.8221
312	وب	1259192	659.0141	5.8189
313	أب	1259149	658.9916	5.8189
314	ظر	1258954	658.8895	5.8188
315	وك	1255401	657.03	5.8176
316	بق	1253407	655.9864	5.8169
317	طر	1253160	655.8572	5.8168
