Rank	Character	Frequency	Frequency per million	Zipf value
1	ا	199793194	129063.9101	8.1108
2	ل	155479127	100437.5758	8.0019
3	ي	113689634	73442.0848	7.8659
4	ن	107395566	69376.1954	7.8412
5	م	84771438	54761.2911	7.7385
6	ت	72942866	47120.1812	7.6732
7	ر	61612878	39801.1503	7.5999
8	و	58797788	37982.6373	7.5796
9	ك	55129327	35612.8573	7.5516
10	أ	54183161	35001.6458	7.5441
11	ه	52737892	34068.0201	7.5323
12	ب	50626225	32703.9096	7.5146
13	ع	49271935	31829.0551	7.5028
14	د	45629029	29475.7833	7.4695
15	س	39235764	25345.8139	7.4039
16	ف	34317746	22168.8357	7.3457
17	ق	34098256	22027.0479	7.343
18	ح	30003501	19381.8872	7.2874
19	ة	27200644	17571.2766	7.2448
20	ذ	23270156	15032.2304	7.177
21	ج	22810812	14735.4999	7.1684
22	ى	14101241	9109.2257	6.9595
23	ش	13543414	8748.8764	6.942
24	خ	13119716	8475.1728	6.9281
25	ط	12796904	8266.6403	6.9173
26	إ	11927049	7704.7248	6.8868
27	ص	11483555	7418.2332	6.8703
28	ً	10061375	6499.5227	6.8129
29	ض	8138114	5257.1201	6.7207
30	ث	7530269	4864.4598	6.687
31	ّ	7334588	4738.0523	6.6756
32	ز	6984176	4511.6905	6.6543
33	ـ	5834909	3769.2784	6.5763
34	غ	5570445	3598.438	6.5561
35	ئ	5330699	3443.565	6.537
36	ء	5328190	3441.9442	6.5368
37	ُ	4466842	2885.5242	6.4602
38	ظ	4235020	2735.7701	6.4371
39	َ	4069469	2628.8262	6.4198
40	ِ	3673708	2373.1695	6.3753
41	آ	3382009	2184.7356	6.3394
42	f	1310603	846.6332	5.9277
43	ؤ	1277749	825.4099	5.9167
44	a	1146239	740.4561	5.8695
45	ْ	1062948	686.6511	5.8367
46	e	1003084	647.9797	5.8116
47	o	837288	540.8776	5.7331
48	s	788575	509.4096	5.7071
49	t	760326	491.1611	5.6912
50	c	754376	487.3175	5.6878
51	h	752253	485.9461	5.6866
52	n	686831	443.6843	5.6471
53	i	679695	439.0745	5.6425
54	r	630480	407.2822	5.6099
55	l	461308	297.9992	5.4742
56	ٌ	459649	296.9275	5.4727
57	b	449151	290.1459	5.4626
58	d	434002	280.3599	5.4477
59	ٍ	389809	251.8117	5.4011
60	u	340443	219.9219	5.3423
61	p	330070	213.2211	5.3288
62	y	304061	196.4196	5.2932
63	m	300738	194.273	5.2884
64	g	227892	147.2154	5.168
65	w	160308	103.557	5.0152
66	k	139680	90.2315	4.9554
67	v	76852	49.6454	4.6959
68	x	53313	34.4395	4.5371
