Rank	Character	Frequency	Frequency per million	Zipf value
1	ա	15230	131430.1987	8.1187
2	ն	10464	90301.0899	7.9557
3	ե	9526	82206.4395	7.9149
4	ո	8888	76700.6964	7.8848
5	ր	8259	71272.6206	7.8529
6	ի	7016	60545.9143	7.7821
7	մ	5453	47057.7067	7.6726
8	ւ	4600	39696.5801	7.5988
9	ս	3953	34113.1698	7.5329
10	կ	3557	30695.812	7.4871
11	տ	3289	28383.0547	7.4531
12	յ	2793	24102.7278	7.3821
13	լ	2680	23127.5727	7.3641
14	ք	2552	22022.9722	7.3429
15	վ	2499	21565.5986	7.3338
16	դ	2205	19028.4694	7.2794
17	հ	2174	18760.9489	7.2733
18	ց	1839	15870.0023	7.2006
19	է	1557	13436.4294	7.1283
20	չ	1531	13212.0574	7.121
21	թ	1445	12469.904	7.0959
22	պ	1431	12349.0883	7.0916
23	գ	1372	11839.9365	7.0733
24	ղ	1369	11814.0474	7.0724
25	բ	1200	10355.6296	7.0152
26	ը	1167	10070.8498	7.0031
27	խ	911	7861.6488	6.8955
27	ռ	911	7861.6488	6.8955
28	զ	896	7732.2034	6.8883
29	շ	858	7404.2751	6.8695
30	ծ	837	7223.0516	6.8587
31	ձ	663	5721.4853	6.7575
32	ջ	579	4996.5913	6.6987
33	և	558	4815.3678	6.6826
34	փ	435	3753.9157	6.5745
35	ժ	324	2796.02	6.4465
36	օ	294	2537.1292	6.4043
37	ճ	293	2528.4996	6.4029
38	ֆ	118	1018.3036	6.0079
39	t	18	155.3344	5.1913
40	e	17	146.7048	5.1664
40	i	17	146.7048	5.1664
41	n	15	129.4454	5.1121
42	a	12	103.5563	5.0152
43	r	11	94.9266	4.9774
44	s	10	86.2969	4.936
45	u	7	60.4078	4.7811
46	h	5	43.1485	4.635
46	l	5	43.1485	4.635
46	o	5	43.1485	4.635
47	b	4	34.5188	4.5381
47	c	4	34.5188	4.5381
47	g	4	34.5188	4.5381
47	p	4	34.5188	4.5381
47	y	4	34.5188	4.5381
48	f	3	25.8891	4.4131
48	v	3	25.8891	4.4131
49	d	2	17.2594	4.237
50	j	1	8.6297	3.936
50	m	1	8.6297	3.936
50	z	1	8.6297	3.936
