Rank	Character	Frequency	Frequency per million	Zipf value
1	a	3611728	154651.4719	8.1894
2	e	2785313	119265.0042	8.0765
3	i	2040395	87368.1767	7.9414
4	n	1779480	76195.9929	7.8819
5	r	1740231	74515.3803	7.8722
6	t	1640690	70253.1097	7.8467
7	u	1412646	60488.4374	7.7817
8	z	1379544	59071.0347	7.7714
9	o	1271821	54458.417	7.7361
10	k	1052800	45080.1028	7.654
11	d	930661	39850.2029	7.6004
12	g	698428	29906.1608	7.4758
13	b	675499	28924.3583	7.4613
14	l	570639	24434.3321	7.388
15	s	531928	22776.7562	7.3575
16	h	448412	19200.664	7.2833
17	m	268136	11481.3815	7.06
18	p	171133	7327.7861	6.865
19	j	109227	4677.0178	6.67
20	x	91766	3929.351	6.5943
21	f	46397	1986.6846	6.2981
22	c	34805	1490.3239	6.1733
23	y	29858	1278.4971	6.1067
24	v	13465	576.5612	5.7608
25	w	13115	561.5744	5.7494
26	ñ	1776	76.047	4.8811
27	q	1340	57.3778	4.7587
28	é	1244	53.2671	4.7265
29	ü	271	11.604	4.0646
30	ó	185	7.9216	3.8988
31	í	158	6.7654	3.8303
32	á	151	6.4657	3.8106
33	è	147	6.2944	3.799
34	ö	72	3.083	3.489
35	ä	57	2.4407	3.3875
36	ê	55	2.3551	3.372
37	ç	50	2.141	3.3306
38	ï	48	2.0553	3.3129
39	à	39	1.67	3.2227
40	ú	26	1.1133	3.0466
41	û	24	1.0277	3.0119
42	ù	23	0.9848	2.9933
43	î	21	0.8992	2.9539
43	ô	21	0.8992	2.9539
44	â	16	0.6851	2.8358
45	ŕ	14	0.5995	2.7778
46	ø	12	0.5138	2.7108
46	ā	12	0.5138	2.7108
47	º	11	0.471	2.673
47	å	11	0.471	2.673
47	ń	11	0.471	2.673
48	ë	10	0.4282	2.6316
48	õ	10	0.4282	2.6316
49	ì	8	0.3426	2.5348
50	ň	7	0.2997	2.4767
51	ý	6	0.2569	2.4098
52	ã	5	0.2141	2.3306
53	ò	3	0.1285	2.1089
53	š	3	0.1285	2.1089
53	ε	3	0.1285	2.1089
53	μ	3	0.1285	2.1089
54	ð	2	0.0856	1.9325
54	þ	2	0.0856	1.9325
54	ł	2	0.0856	1.9325
54	ō	2	0.0856	1.9325
55	ª	1	0.0428	1.6314
55	ß	1	0.0428	1.6314
55	廨	1	0.0428	1.6314
55	璯	1	0.0428	1.6314
55	酺	1	0.0428	1.6314
55	鎙	1	0.0428	1.6314
