Rank	Bigram	Frequency	Frequency per million	Zipf value
1	ে$	609600	39223.3468	7.5935
2	র$	376766	24242.1645	7.3846
3	া$	356779	22956.1458	7.3609
4	^ক	324636	20887.9764	7.3199
5	^আ	323768	20832.1269	7.3187
6	ি$	319448	20554.1662	7.3129
7	ার	285323	18358.4695	7.2638
8	^এ	193423	12445.3698	7.095
9	^ত	191444	12318.0355	7.0905
10	^স	172432	11094.7509	7.0451
11	মা	171699	11047.5876	7.0433
12	^ব	170522	10971.8562	7.0403
13	আম	167457	10774.6457	7.0324
14	ন$	157761	10150.7783	7.0065
15	^ন	148371	9546.5997	6.9798
16	^প	146148	9403.5658	6.9733
17	্য	135784	8736.7174	6.9413
18	মি	135042	8688.9751	6.939
19	না	134980	8684.9858	6.9388
20	কে	131786	8479.475	6.9284
21	ো$	126302	8126.6193	6.9099
22	^হ	123413	7940.7331	6.8999
23	ই$	122509	7882.5673	6.8967
24	ের	121011	7786.1818	6.8913
25	^দ	113425	7298.0776	6.8632
26	কর	111705	7187.4081	6.8566
27	^ম	111550	7177.4349	6.856
28	ান	111327	7163.0865	6.8551
29	রা	110240	7093.1459	6.8508
30	টা	110134	7086.3256	6.8504
31	যা	110101	7084.2023	6.8503
32	ন্	101876	6554.9831	6.8166
33	রে	99690	6414.3298	6.8072
34	বা	94878	6104.7124	6.7857
35	^য	93717	6030.0105	6.7803
36	ছে	93484	6015.0186	6.7792
37	বে	92223	5933.8824	6.7733
38	নি	91818	5907.8236	6.7714
39	তা	91666	5898.0435	6.7707
40	তে	89015	5727.4708	6.758
41	কি	86514	5566.5496	6.7456
42	াক	85425	5496.4803	6.7401
43	নে	84293	5423.6443	6.7343
44	দে	83812	5392.6954	6.7318
45	য়ে	80331	5168.7183	6.7134
46	^জ	78108	5025.6843	6.7012
47	্র	74086	4766.8978	6.6782
48	তো	73983	4760.2705	6.6776
49	ছি	73465	4726.9409	6.6746
50	কা	72545	4667.7456	6.6691
51	েছ	72012	4633.4509	6.6659
52	লে	71508	4601.0221	6.6629
53	পা	65775	4232.1451	6.6266
54	তু	65217	4196.2418	6.6229
55	্ত	62621	4029.208	6.6052
56	ক$	61178	3936.3614	6.5951
57	ল$	59752	3844.6086	6.5849
58	^চ	58925	3791.3972	6.5788
59	িন	56998	3667.4087	6.5644
60	সে	56920	3662.3899	6.5638
61	াই	56546	3638.3257	6.5609
62	েন	56394	3628.5456	6.5597
63	লা	55944	3599.5914	6.5563
64	ত$	55893	3596.3099	6.5559
65	য়$	55683	3582.7979	6.5542
66	ও$	54964	3536.5355	6.5486
67	^অ	54960	3536.2781	6.5485
68	স্	53412	3436.6755	6.5361
69	ু$	52959	3407.5283	6.5324
70	াম	52843	3400.0645	6.5315
71	র্	52654	3387.9037	6.5299
72	িয়	51322	3302.1992	6.5188
73	^ভ	50882	3273.8883	6.5151
74	এক	49685	3196.8701	6.5047
75	ুম	49675	3196.2266	6.5046
76	াল	49447	3181.5565	6.5026
77	দি	48594	3126.6721	6.4951
78	রি	48479	3119.2727	6.4941
79	াব	47471	3054.4152	6.4849
80	^শ	46515	2992.9035	6.4761
81	োম	46134	2968.3889	6.4725
82	িল	45402	2921.29	6.4656
83	সা	45251	2911.5743	6.4641
84	থা	44919	2890.2125	6.4609
85	ম$	44808	2883.0704	6.4599
86	ক্	44482	2862.0947	6.4567
87	লো	44356	2853.9875	6.4555
88	িক	44112	2838.2879	6.4531
89	াদ	44079	2836.1645	6.4527
90	ভা	42971	2764.8728	6.4417
91	^গ	42749	2750.5887	6.4394
92	প্	40313	2593.8497	6.4139
93	খা	39938	2569.7212	6.4099
94	^ও	39919	2568.4987	6.4097
95	েক	38974	2507.6948	6.3993
96	বল	38747	2493.0889	6.3967
97	জা	38719	2491.2873	6.3964
98	ায়	37986	2444.1241	6.3881
99	যে	37241	2396.1887	6.3795
100	^র	36486	2347.61	6.3706
101	জন	36319	2336.8647	6.3686
102	্ট	35897	2309.7121	6.3636
103	এট	35193	2264.4148	6.355
104	েই	34835	2241.3801	6.3505
105	আর	34546	2222.785	6.3469
106	েখ	34541	2222.4633	6.3468
107	বি	34420	2214.6778	6.3453
108	য়া	34368	2211.332	6.3447
109	াও	34128	2195.8897	6.3416
110	ব$	33785	2173.8202	6.3372
111	ত্	33660	2165.7773	6.3356
112	^খ	33620	2163.2036	6.3351
113	স$	33473	2153.7452	6.3332
114	চ্	32847	2113.4667	6.325
