Rank	Character	Frequency	Frequency per million	Zipf value
1	া	1449996	114304.0931	8.0581
2	ে	1143254	90123.4291	7.9548
3	র	889472	70117.635	7.8458
4	ি	744994	58728.3437	7.7688
5	ক	660379	52058.0903	7.7165
6	ন	659921	52021.9859	7.7162
7	্	541730	42704.9153	7.6305
8	ম	518100	40842.1476	7.6111
9	ত	472450	37243.5295	7.5711
10	ব	429950	33893.2279	7.5301
11	আ	326495	25737.8054	7.4106
12	স	322089	25390.4777	7.4047
13	ল	320523	25267.0289	7.4026
14	ো	285016	22467.9898	7.3516
15	ু	284322	22413.2814	7.3505
16	য	255895	20172.3632	7.3048
17	প	246151	19404.2375	7.2879
18	ছ	233601	18414.9132	7.2652
19	দ	230106	18139.4001	7.2586
20	ট	203834	16068.3619	7.206
21	এ	195812	15435.9826	7.1885
22	য়	194993	15371.4204	7.1867
23	হ	176251	13893.9767	7.1428
24	ই	173233	13656.0659	7.1353
25	জ	159796	12596.8188	7.1003
26	খ	133205	10500.6336	7.0212
27	চ	124628	9824.5033	6.9923
28	গ	107272	8456.319	6.9272
29	ও	103825	8184.5898	6.913
30	শ	102472	8077.932	6.9073
31	থ	92628	7301.9233	6.8634
32	ভ	83851	6610.0269	6.8202
33	ধ	60027	4731.966	6.675
34	ী	58308	4596.4562	6.6624
35	অ	55445	4370.7641	6.6406
36	ষ	50659	3993.4807	6.6014
37	ড	48180	3798.0596	6.5796
38	ড়	41577	3277.541	6.5155
39	ফ	39796	3137.1436	6.4965
40	উ	39144	3085.746	6.4894
41	ঁ	29402	2317.7781	6.3651
42	ঠ	27918	2200.7934	6.3426
43	ং	26630	2099.2596	6.3221
44	ণ	24192	1907.0705	6.2804
45	e	20820	1641.2536	6.2152
46	a	20365	1605.3857	6.2056
47	়	20180	1590.802	6.2016
48	ঘ	14964	1179.6215	6.0717
49	o	14268	1124.7554	6.0511
50	i	13543	1067.6032	6.0284
51	n	13154	1036.9381	6.0158
52	t	13094	1032.2082	6.0138
53	s	12829	1011.3181	6.0049
54	r	11889	937.2173	5.9718
55	ঝ	11866	935.4042	5.971
56	ৃ	11333	893.3875	5.951
57	ূ	10980	865.5603	5.9373
58	h	10946	862.88	5.936
59	l	10356	816.37	5.9119
60	ঙ	8956	706.0071	5.8488
61	m	7993	630.0932	5.7994
62	d	7516	592.491	5.7727
63	u	7123	561.5106	5.7494
64	ঃ	6980	550.2378	5.7406
65	y	6744	531.6337	5.7256
66	ঞ	6447	508.221	5.7061
67	c	5430	428.0503	5.6315
68	ৎ	5370	423.3205	5.6267
69	g	5123	403.8493	5.6062
70	ঐ	4602	362.7785	5.5596
71	ৌ	4474	352.6882	5.5474
72	b	4239	334.163	5.524
73	ৈ	4208	331.7193	5.5208
74	w	3866	304.7592	5.484
75	f	3260	256.9878	5.4099
76	p	3117	245.7151	5.3904
77	k	2813	221.7506	5.3459
78	ঢ	2072	163.3371	5.2131
79	v	2002	157.8189	5.1982
80	ঈ	1410	111.1512	5.0459
81	j	929	73.2337	4.8647
82	z	562	44.3028	4.6464
83	x	422	33.2665	4.522
84	ঋ	261	20.5748	4.3133
85	ঔ	247	19.4712	4.2894
86	ৗ	176	13.8742	4.1422
87	q	161	12.6917	4.1035
88	ঢ়	117	9.2232	3.9649
89	ঊ	107	8.4349	3.9261
90	ā	90	7.0948	3.8509
91	η	33	2.6014	3.4152
91	ṭ	33	2.6014	3.4152
92	ē	32	2.5226	3.4018
93	è	28	2.2073	3.3439
94	т	25	1.9708	3.2946
95	ō	21	1.6554	3.2189
96	á	19	1.4978	3.1755
97	æ	18	1.419	3.152
98	ī	16	1.2613	3.1008
98	ғ	16	1.2613	3.1008
99	α	15	1.1825	3.0728
100	г	14	1.1036	3.0428
101	é	13	1.0248	3.0106
102	̆	11	0.8671	2.9381
103	λ	9	0.7095	2.851
103	я	9	0.7095	2.851
103	ḍ	9	0.7095	2.851
103	ṇ	9	0.7095	2.851
104	ι	8	0.6306	2.7998
104	є	8	0.6306	2.7998
104	ৄ	8	0.6306	2.7998
105	ď	7	0.5518	2.7418
105	ğ	7	0.5518	2.7418
105	ļ	7	0.5518	2.7418
105	ť	7	0.5518	2.7418
105	σ	7	0.5518	2.7418
106	à	6	0.473	2.6749
106	ü	6	0.473	2.6749
106	ර	6	0.473	2.6749
106	්	6	0.473	2.6749
107	ú	4	0.3153	2.4987
107	ද	4	0.3153	2.4987
107	ප	4	0.3153	2.4987
107	ූ	4	0.3153	2.4987
107	ේ	4	0.3153	2.4987
107	ṣ	4	0.3153	2.4987
108	ǣ	3	0.2365	2.3738
108	్	3	0.2365	2.3738
108	ḷ	3	0.2365	2.3738
109	â	2	0.1577	2.1978
109	ä	2	0.1577	2.1978
109	ă	2	0.1577	2.1978
109	ū	2	0.1577	2.1978
109	ż	2	0.1577	2.1978
109	π	2	0.1577	2.1978
109	υ	2	0.1577	2.1978
109	ట	2	0.1577	2.1978
109	ా	2	0.1577	2.1978
109	ක	2	0.1577	2.1978
109	න	2	0.1577	2.1978
109	ම	2	0.1577	2.1978
109	ල	2	0.1577	2.1978
109	ව	2	0.1577	2.1978
109	ස	2	0.1577	2.1978
109	ි	2	0.1577	2.1978
109	ු	2	0.1577	2.1978
109	ෙ	2	0.1577	2.1978
109	ෝ	2	0.1577	2.1978
109	️	2	0.1577	2.1978
110	ç	1	0.0788	1.8965
110	í	1	0.0788	1.8965
110	î	1	0.0788	1.8965
110	ï	1	0.0788	1.8965
110	ó	1	0.0788	1.8965
110	ś	1	0.0788	1.8965
110	ѕ	1	0.0788	1.8965
110	ఎ	1	0.0788	1.8965
110	క	1	0.0788	1.8965
110	ర	1	0.0788	1.8965
110	హ	1	0.0788	1.8965
110	ṁ	1	0.0788	1.8965
110	ṛ	1	0.0788	1.8965
