Rank	Character	Frequency	Frequency per million	Zipf value
1	e	60080	134064.35	8.1273
2	a	53677	119776.4999	8.0784
3	o	34379	76714.3523	7.8849
4	n	32883	73376.1322	7.8656
5	t	31538	70374.858	7.8474
6	r	30013	66971.9264	7.8259
7	i	19511	43537.4423	7.6389
8	u	18669	41658.5777	7.6197
9	h	17024	37987.8744	7.5796
10	l	16865	37633.0769	7.5756
11	d	16487	36789.5962	7.5657
12	s	15056	33596.419	7.5263
13	m	14827	33085.4214	7.5196
14	z	13571	30282.7446	7.4812
15	k	11981	26734.7699	7.4271
16	p	9769	21798.8455	7.3384
17	g	9362	20890.6532	7.32
18	v	8353	18639.1397	7.2704
19	c	8089	18050.0421	7.2565
20	b	7351	16403.2463	7.2149
21	ñ	5697	12712.4601	7.1042
22	w	3255	7263.3066	6.8611
23	f	3027	6754.5404	6.8296
24	j	2043	4558.8127	6.6589
25	ù	1956	4364.6782	6.64
26	y	1636	3650.6204	6.5624
27	â	602	1343.3212	6.1282
28	û	197	439.5918	5.643
29	ê	113	252.1517	5.4017
30	x	48	107.1087	5.0298
31	ô	25	55.7858	4.7465
31	ü	25	55.7858	4.7465
32	q	20	44.6286	4.6496
33	é	12	26.7772	4.4278
34	ä	1	2.2314	3.3486
34	è	1	2.2314	3.3486
