Rank	Bigram	Frequency	Frequency per million	Zipf value
1	а$	108930765	43132.7019	7.6348
2	е$	96714779	38295.6066	7.5831
3	и$	69635456	27573.1595	7.4405
4	о$	55585223	22009.7679	7.3426
5	^с	55140047	21833.494	7.3391
6	^н	49160363	19465.7522	7.2893
7	^д	39487032	15635.4578	7.1941
8	на	36380259	14405.2864	7.1585
9	^т	35243284	13955.0848	7.1447
10	^п	33325909	13195.8726	7.1204
11	да	30141658	11935.0227	7.0768
12	ва	29449066	11660.7809	7.0667
13	то	28856437	11426.1209	7.0579
14	ка	28702984	11365.359	7.0556
15	^м	28426717	11255.9671	7.0514
16	^к	26956330	10673.7463	7.0283
17	та	25471194	10085.6853	7.0037
18	^в	25385361	10051.6985	7.0022
19	^и	24982865	9892.3244	6.9953
20	не	24794664	9817.8035	6.992
21	ра	24571427	9729.4096	6.9881
22	те	22929419	9079.233	6.958
23	ат	20175678	7988.8496	6.9025
24	^з	19720700	7808.6946	6.8926
25	ст	19603652	7762.3477	6.89
26	^о	18948339	7502.8671	6.8752
27	ко	18901488	7484.3158	6.8742
28	м$	18798729	7443.6269	6.8718
29	^е	18110827	7171.2422	6.8556
30	ни	17957061	7110.3564	6.8519
31	ли	17889463	7083.59	6.8503
32	пр	17789534	7044.0216	6.8478
33	за	17718074	7015.726	6.8461
34	т$	16890606	6688.0782	6.8253
35	но	16497388	6532.3779	6.8151
36	ре	16482305	6526.4055	6.8147
37	от	16478157	6524.7631	6.8146
38	ам	16394550	6491.6577	6.8124
39	се	16201105	6415.0604	6.8072
40	по	16114066	6380.596	6.8049
41	ов	15280360	6050.4781	6.7818
42	ен	14736569	5835.1563	6.7661
43	ак	14734543	5834.3541	6.766
44	я$	14428880	5713.3224	6.7569
45	ма	14139877	5598.8875	6.7481
46	ти	13745693	5442.8047	6.7358
47	ме	13645377	5403.0831	6.7326
48	ви	13384152	5299.6473	6.7242
49	си	13266633	5253.114	6.7204
50	^б	13255521	5248.714	6.7201
51	ри	12716911	5035.4437	6.702
52	го	12540073	4965.4221	6.696
53	^г	12463026	4934.9143	6.6933
54	во	12254741	4852.4408	6.686
55	ав	11984296	4745.3542	6.6763
56	че	11709189	4636.4217	6.6662
57	ет	11572239	4582.1943	6.6611
58	ми	11245301	4452.7385	6.6486
59	ит	11122702	4404.1937	6.6439
60	н$	11026465	4366.0873	6.6401
61	мо	10919732	4323.8248	6.6359
62	ан	10859257	4299.8789	6.6335
63	^ч	10640341	4213.1959	6.6246
64	ед	10574793	4187.2413	6.6219
