Rank	Character	Frequency	Frequency per million	Zipf value
1	а	264282585	128642.3736	8.1094
2	е	194267853	94561.9543	7.9757
3	о	176211010	85772.5929	7.9333
4	и	171059826	83265.199	7.9205
5	т	135555495	65983.0864	7.8194
6	н	123771381	60247.0429	7.7799
7	с	99308878	48339.658	7.6843
8	в	90021035	43818.7012	7.6417
9	р	89318991	43476.9737	7.6383
10	к	79332179	38615.7862	7.5868
11	д	78546619	38233.4065	7.5824
12	м	78477195	38199.6136	7.5821
13	л	63876210	31092.4281	7.4927
14	п	50761304	24708.6074	7.3928
15	з	47266836	23007.6377	7.3619
16	я	38746202	18860.128	7.2755
17	б	35983999	17515.5962	7.2434
18	ъ	33957782	16529.3134	7.2183
19	г	33741326	16423.9511	7.2155
20	ч	28358062	13803.5898	7.14
21	у	27464319	13368.5509	7.1261
22	ш	19891068	9682.19	6.986
23	щ	19297028	9393.0347	6.9728
24	ж	18708688	9106.6539	6.9594
25	й	17738754	8634.5281	6.9362
26	х	16171350	7871.5775	6.8961
27	ц	7453598	3628.1185	6.5597
28	ф	3717731	1809.6453	6.2576
29	ю	2078551	1011.7569	6.0051
30	a	1203329	585.7333	5.7677
31	e	927984	451.7061	5.6549
32	o	742285	361.3152	5.5579
33	t	548482	266.9795	5.4265
34	i	538897	262.3139	5.4188
35	n	475848	231.6241	5.3648
36	s	451524	219.7841	5.342
37	ь	446605	217.3898	5.3372
38	r	440836	214.5816	5.3316
39	l	339932	165.4655	5.2187
40	c	318768	155.1637	5.1908
41	h	299941	145.9995	5.1644
42	d	281652	137.0971	5.137
43	m	280206	136.3933	5.1348
44	u	265884	129.4219	5.112
45	p	216534	105.4002	5.0228
46	y	199762	97.2363	4.9878
47	b	196368	95.5842	4.9804
48	g	189770	92.3726	4.9655
49	k	159625	77.6992	4.8904
50	f	133210	64.8414	4.8119
51	w	111226	54.1404	4.7335
52	v	99826	48.5914	4.6866
53	x	42849	20.8572	4.3193
54	z	39056	19.0109	4.279
55	j	38884	18.9272	4.2771
56	q	15006	7.3043	3.8636
57	є	8985	4.3735	3.6408
58	ѝ	4700	2.2878	3.3594
59	і	3310	1.6112	3.2071
60	ы	1212	0.59	2.7709
61	э	1110	0.5403	2.7326
62	ї	1019	0.496	2.6955
63	ў	707	0.3441	2.5367
64	љ	543	0.2643	2.4221
65	ј	450	0.219	2.3404
66	ё	421	0.2049	2.3115
67	è	305	0.1485	2.1717
68	é	292	0.1421	2.1526
69	þ	239	0.1163	2.0656
70	ѓ	225	0.1095	2.0394
71	ћ	211	0.1027	2.0116
72	ã	198	0.0964	1.9841
73	ѕ	185	0.0901	1.9547
74	æ	183	0.0891	1.9499
75	ґ	174	0.0847	1.9279
76	ª	163	0.0793	1.8993
77	á	150	0.073	1.8633
78	ќ	146	0.0711	1.8519
79	š	133	0.0647	1.8109
80	í	126	0.0613	1.7875
81	º	123	0.0599	1.7774
82	â	116	0.0565	1.752
83	ü	102	0.0496	1.6955
84	ž	99	0.0482	1.683
85	ú	87	0.0423	1.6263
86	ђ	81	0.0394	1.5955
87	ø	72	0.035	1.5441
88	њ	71	0.0346	1.5391
89	î	70	0.0341	1.5328
89	ñ	70	0.0341	1.5328
90	à	66	0.0321	1.5065
91	ö	54	0.0263	1.42
92	ó	53	0.0258	1.4116
93	µ	49	0.0239	1.3784
93	ο	49	0.0239	1.3784
93	τ	49	0.0239	1.3784
93	џ	49	0.0239	1.3784
94	ｪ	38	0.0185	1.2672
95	ì	37	0.018	1.2553
95	ą	37	0.018	1.2553
96	笙	33	0.0161	1.2068
97	ć	28	0.0136	1.1335
98	ð	27	0.0131	1.1173
99	ê	25	0.0122	1.0864
99	ă	25	0.0122	1.0864
100	ä	23	0.0112	1.0492
100	å	23	0.0112	1.0492
101	ç	22	0.0107	1.0294
101	μ	22	0.0107	1.0294
102	ł	20	0.0097	0.9868
103	́	18	0.0088	0.9445
104	ō	17	0.0083	0.9191
105	ù	15	0.0073	0.8633
105	て	15	0.0073	0.8633
105	な	15	0.0073	0.8633
106	い	14	0.0068	0.8325
107	̀	13	0.0063	0.7993
107	α	13	0.0063	0.7993
107	ω	13	0.0063	0.7993
108	た	12	0.0058	0.7634
109	ę	11	0.0054	0.7324
109	ţ	11	0.0054	0.7324
109	ż	11	0.0054	0.7324
109	る	11	0.0054	0.7324
110	ý	10	0.0049	0.6902
111	ï	9	0.0044	0.6435
111	ś	9	0.0044	0.6435
111	か	9	0.0044	0.6435
111	の	9	0.0044	0.6435
112	ò	8	0.0039	0.5911
112	ƒ	8	0.0039	0.5911
113	ş	7	0.0034	0.5315
113	に	7	0.0034	0.5315
113	り	7	0.0034	0.5315
114	ô	6	0.0029	0.4624
114	ū	6	0.0029	0.4624
114	は	6	0.0029	0.4624
114	ま	6	0.0029	0.4624
114	れ	6	0.0029	0.4624
114	を	6	0.0029	0.4624
114	㨰	6	0.0029	0.4624
114	潦	6	0.0029	0.4624
114	瑮	6	0.0029	0.4624
115	ß	5	0.0024	0.3802
115	û	5	0.0024	0.3802
115	で	5	0.0024	0.3802
115	と	5	0.0024	0.3802
115	も	5	0.0024	0.3802
115	ら	5	0.0024	0.3802
115	方	5	0.0024	0.3802
115	貴	5	0.0024	0.3802
115	ﬂ	5	0.0024	0.3802
116	č	4	0.0019	0.2788
116	œ	4	0.0019	0.2788
116	ാ	4	0.0019	0.2788
116	く	4	0.0019	0.2788
116	け	4	0.0019	0.2788
116	し	4	0.0019	0.2788
116	じ	4	0.0019	0.2788
116	そ	4	0.0019	0.2788
116	っ	4	0.0019	0.2788
116	ど	4	0.0019	0.2788
116	制	4	0.0019	0.2788
116	字	4	0.0019	0.2788
116	幕	4	0.0019	0.2788
116	私	4	0.0019	0.2788
117	đ	3	0.0015	0.1761
117	ഊ	3	0.0015	0.1761
117	ര	3	0.0015	0.1761
117	ഹ	3	0.0015	0.1761
117	ⴠ	3	0.0015	0.1761
117	〬	3	0.0015	0.1761
117	え	3	0.0015	0.1761
117	さ	3	0.0015	0.1761
117	ざ	3	0.0015	0.1761
117	㐱	3	0.0015	0.1761
117	㔬	3	0.0015	0.1761
117	㤊	3	0.0015	0.1761
117	㤹	3	0.0015	0.1761
117	㰊	3	0.0015	0.1761
117	㵥	3	0.0015	0.1761
117	㸭	3	0.0015	0.1761
117	人	3	0.0015	0.1761
117	压	3	0.0015	0.1761
117	总	3	0.0015	0.1761
117	扵	3	0.0015	0.1761
117	挠	3	0.0015	0.1761
117	昣	3	0.0015	0.1761
117	晦	3	0.0015	0.1761
117	楴	3	0.0015	0.1761
117	汯	3	0.0015	0.1761
117	汴	3	0.0015	0.1761
117	渮	3	0.0015	0.1761
117	牯	3	0.0015	0.1761
117	猠	3	0.0015	0.1761
117	獥	3	0.0015	0.1761
117	獶	3	0.0015	0.1761
117	琮	3	0.0015	0.1761
117	瑥	3	0.0015	0.1761
117	监	3	0.0015	0.1761
117	眾	3	0.0015	0.1761
117	睷	3	0.0015	0.1761
117	穩	3	0.0015	0.1761
118	ë	2	0.001	0.0
118	õ	2	0.001	0.0
118	う	2	0.001	0.0
118	が	2	0.001	0.0
118	せ	2	0.001	0.0
118	だ	2	0.001	0.0
118	ね	2	0.001	0.0
118	わ	2	0.001	0.0
118	ん	2	0.001	0.0
118	中	2	0.001	0.0
118	会	2	0.001	0.0
118	信	2	0.001	0.0
118	向	2	0.001	0.0
118	守	2	0.001	0.0
118	小	2	0.001	0.0
118	第	2	0.001	0.0
118	背	2	0.001	0.0
118	見	2	0.001	0.0
118	達	2	0.001	0.0
118	遠	2	0.001	0.0
118	邪	2	0.001	0.0
119	ÿ	1	0.0005	-0.301
119	ā	1	0.0005	-0.301
119	ī	1	0.0005	-0.301
119	ļ	1	0.0005	-0.301
119	ń	1	0.0005	-0.301
119	ů	1	0.0005	-0.301
119	ș	1	0.0005	-0.301
119	β	1	0.0005	-0.301
119	ε	1	0.0005	-0.301
119	ψ	1	0.0005	-0.301
119	മ	1	0.0005	-0.301
119	ൡ	1	0.0005	-0.301
119	ό	1	0.0005	-0.301
119	き	1	0.0005	-0.301
119	ぎ	1	0.0005	-0.301
119	げ	1	0.0005	-0.301
119	す	1	0.0005	-0.301
119	つ	1	0.0005	-0.301
119	ば	1	0.0005	-0.301
119	ひ	1	0.0005	-0.301
119	ぶ	1	0.0005	-0.301
119	み	1	0.0005	-0.301
119	む	1	0.0005	-0.301
119	よ	1	0.0005	-0.301
119	七	1	0.0005	-0.301
119	下	1	0.0005	-0.301
119	两	1	0.0005	-0.301
119	个	1	0.0005	-0.301
119	供	1	0.0005	-0.301
119	六	1	0.0005	-0.301
119	出	1	0.0005	-0.301
119	別	1	0.0005	-0.301
119	半	1	0.0005	-0.301
119	嘘	1	0.0005	-0.301
119	困	1	0.0005	-0.301
119	地	1	0.0005	-0.301
119	夢	1	0.0005	-0.301
119	大	1	0.0005	-0.301
119	好	1	0.0005	-0.301
119	子	1	0.0005	-0.301
119	季	1	0.0005	-0.301
119	寒	1	0.0005	-0.301
119	对	1	0.0005	-0.301
119	幾	1	0.0005	-0.301
119	強	1	0.0005	-0.301
119	录	1	0.0005	-0.301
119	悪	1	0.0005	-0.301
119	意	1	0.0005	-0.301
119	感	1	0.0005	-0.301
119	振	1	0.0005	-0.301
119	揺	1	0.0005	-0.301
119	日	1	0.0005	-0.301
119	时	1	0.0005	-0.301
119	明	1	0.0005	-0.301
119	来	1	0.0005	-0.301
119	校	1	0.0005	-0.301
119	気	1	0.0005	-0.301
119	汉	1	0.0005	-0.301
119	淋	1	0.0005	-0.301
119	無	1	0.0005	-0.301
119	狐	1	0.0005	-0.301
119	狸	1	0.0005	-0.301
119	目	1	0.0005	-0.301
119	空	1	0.0005	-0.301
119	翻	1	0.0005	-0.301
119	良	1	0.0005	-0.301
119	言	1	0.0005	-0.301
119	許	1	0.0005	-0.301
119	译	1	0.0005	-0.301
119	負	1	0.0005	-0.301
119	足	1	0.0005	-0.301
119	轴	1	0.0005	-0.301
119	送	1	0.0005	-0.301
119	逃	1	0.0005	-0.301
119	重	1	0.0005	-0.301
119	间	1	0.0005	-0.301
119	集	1	0.0005	-0.301
119	風	1	0.0005	-0.301
119	魔	1	0.0005	-0.301
119	黑	1	0.0005	-0.301
