Rank	Character	Frequency	Frequency per million	Zipf value
1	e	1791073	123553.2494	8.0919
2	a	1770620	122142.344	8.0869
3	s	1175900	81116.8869	7.9091
4	r	1015552	70055.6312	7.8454
5	n	940830	64901.0976	7.8123
6	i	891225	61479.2053	7.7887
7	t	888548	61294.5383	7.7874
8	o	817682	56406.0025	7.7513
9	l	806025	55601.8698	7.7451
10	u	669163	46160.7444	7.6643
11	m	512452	35350.3792	7.5484
12	d	457621	31567.9827	7.4992
13	c	445287	30717.1487	7.4874
14	p	399708	27572.9812	7.4405
15	v	255517	17626.2808	7.2462
16	q	234042	16144.8749	7.208
17	g	203593	14044.4173	7.1475
18	h	201465	13897.6219	7.1429
19	b	191889	13237.0425	7.1218
20	é	143702	9912.9678	6.9962
21	f	133062	9178.9907	6.9628
22	x	87612	6043.722	6.7813
23	à	68984	4758.7102	6.6775
24	í	62207	4291.2137	6.6326
25	j	60624	4182.0139	6.6214
26	è	57774	3985.4129	6.6005
27	ò	52174	3599.1092	6.5562
28	ó	47251	3259.5068	6.5132
29	y	45996	3172.9334	6.5015
30	k	15998	1103.587	6.0428
31	ú	15257	1052.4707	6.0222
32	ç	11777	812.4106	5.9098
33	z	8718	601.3921	5.7792
34	w	8441	582.2839	5.7651
35	ï	5137	354.3647	5.5495
36	ü	1596	110.0966	5.0418
37	á	456	31.4562	4.4977
38	ø	334	23.0403	4.3625
39	ö	309	21.3157	4.3287
40	ŀ	198	13.6586	4.1354
41	ã	75	5.1737	3.7138
42	â	73	5.0357	3.7021
43	̇	66	4.5529	3.6583
44	ñ	58	4.001	3.6022
45	ä	53	3.6561	3.563
46	º	50	3.4491	3.5377
47	þ	39	2.6903	3.4298
48	ﬁ	35	2.4144	3.3828
49	ª	32	2.2074	3.3439
50	å	24	1.6556	3.219
51	ë	13	0.8968	2.9527
52	ì	9	0.6208	2.793
53	ô	8	0.5519	2.7419
54	ß	7	0.4829	2.6839
54	î	7	0.4829	2.6839
54	ù	7	0.4829	2.6839
55	æ	2	0.138	2.1399
55	ê	2	0.138	2.1399
55	ð	2	0.138	2.1399
55	ś	2	0.138	2.1399
56	û	1	0.069	1.8388
56	ﬂ	1	0.069	1.8388
