Rank	Bigram	Frequency	Frequency per million	Zipf value
1	e$	104702375	35832.8528	7.5543
2	a$	96076228	32880.6805	7.5169
3	i$	87559327	29965.896	7.4766
4	o$	86030785	29442.7749	7.469
5	^s	65967185	22576.3019	7.3537
6	je	65124974	22288.0675	7.3481
7	^n	48479049	16591.2438	7.2199
8	u$	39285693	13444.9525	7.1286
9	^d	38968342	13336.3437	7.125
10	^p	38630128	13220.5949	7.1213
11	^j	34401447	11773.3909	7.0709
12	^t	33824740	11576.0214	7.0636
13	m$	33685730	11528.4472	7.0618
14	^m	33405403	11432.5094	7.0581
15	ti	31353859	10730.3986	7.0306
16	na	31176316	10669.6371	7.0281
17	da	31015572	10614.6248	7.0259
18	^o	30558680	10458.2602	7.0195
19	li	28687280	9817.801	6.992
20	ra	28310639	9688.9011	6.9863
21	mo	27262738	9330.2724	6.9699
22	ne	27049363	9257.2479	6.9665
23	^i	26942298	9220.6065	6.9648
24	am	25932314	8874.9543	6.9482
25	to	25414897	8697.8759	6.9394
26	ni	23171246	7930.0192	6.8993
27	st	22262525	7619.0228	6.8819
28	^k	21531727	7368.9179	6.8674
29	ko	21296882	7288.5456	6.8626
30	^z	20937496	7165.551	6.8552
31	^u	20526683	7024.9563	6.8466
32	^b	19878320	6803.0636	6.8327
33	sa	19510285	6677.109	6.8246
34	ta	19314004	6609.9347	6.8202
35	re	19036783	6515.0599	6.8139
36	te	18499254	6331.0985	6.8015
37	po	18438494	6310.3042	6.8001
38	va	18187380	6224.3642	6.7941
39	ka	17982069	6154.0995	6.7892
40	pr	17725028	6066.131	6.7829
41	ij	17640270	6037.1238	6.7808
42	^v	17623720	6031.4598	6.7804
43	ov	17338458	5933.833	6.7733
44	im	17115589	5857.5594	6.7677
45	an	16507225	5649.3557	6.752
46	la	16382075	5606.525	6.7487
47	no	16330329	5588.8157	6.7473
48	ma	16178500	5536.8544	6.7433
49	it	15919067	5448.0673	6.7362
50	ri	15914226	5446.4105	6.7361
51	vo	15887406	5437.2318	6.7354
52	at	15333558	5247.6854	6.72
53	ja	15027198	5142.8382	6.7112
54	vi	15003921	5134.872	6.7105
55	al	14782075	5058.9484	6.7041
56	za	14677714	5023.2324	6.701
57	bi	14452488	4946.1521	6.6943
58	se	13527319	4629.5266	6.6655
59	ak	13514201	4625.0372	6.6651
60	en	13133555	4494.7666	6.6527
61	oj	12973897	4440.126	6.6474
62	^r	12668527	4335.6176	6.6371
63	št	12595688	4310.6896	6.6345
64	od	12506176	4280.0554	6.6314
65	mi	12430197	4254.0527	6.6288
66	is	12425416	4252.4165	6.6286
67	ro	12373824	4234.7599	6.6268
68	do	12250200	4192.4513	6.6225
69	em	12243613	4190.197	6.6222
70	di	12038903	4120.138	6.6149
71	av	11936098	4084.9545	6.6112
72	^g	11920047	4079.4613	6.6106
73	š$	11587177	3965.5414	6.5983
74	ad	11378963	3894.2833	6.5904
75	os	11217670	3839.0831	6.5842
76	ed	11024573	3772.9985	6.5767
77	ar	10952204	3748.2312	6.5738
78	or	10936295	3742.7866	6.5732
79	in	10878604	3723.0427	6.5709
80	og	10750946	3679.3536	6.5658
81	lj	10605423	3629.5505	6.5599
82	aj	10471585	3583.7464	6.5543
83	^a	10437287	3572.0085	6.5529
84	^l	10428211	3568.9023	6.5525
85	on	10396143	3557.9275	6.5512
86	il	10307342	3527.5367	6.5475
87	et	9971523	3412.6076	6.5331
88	n$	9932478	3399.245	6.5314
89	om	9870611	3378.0719	6.5287
90	si	9795212	3352.2677	6.5253
91	nj	9523811	3259.3847	6.5131
92	el	9504502	3252.7765	6.5123
93	ve	9272552	3173.395	6.5015
