Rank	Character	Frequency	Frequency per million	Zipf value
1	a	278784267	116939.7677	8.068
2	o	233964807	98139.6493	7.9918
3	i	232780140	97642.725	7.9896
4	e	220655690	92556.9632	7.9664
5	n	131673691	55232.2805	7.7422
6	t	127779921	53598.9869	7.7292
7	s	114260970	47928.2832	7.6806
8	j	113183958	47476.5162	7.6765
9	m	108329609	45440.2949	7.6574
10	r	102560023	43020.1654	7.6337
11	d	92904421	38969.9947	7.5907
12	u	87934481	36885.2873	7.5669
13	l	81442403	34162.0989	7.5335
14	v	76424152	32057.1268	7.5059
15	k	67539797	28330.4659	7.4523
16	p	57372799	24065.7834	7.3814
17	b	41955578	17598.8251	7.2455
18	z	40083327	16813.4845	7.2257
19	g	36642039	15369.9905	7.1867
20	š	36456718	15292.2551	7.1845
21	c	19273277	8084.4323	6.9076
22	č	18227953	7645.9573	6.8834
23	ć	17664760	7409.7185	6.8698
24	h	16616935	6970.1943	6.8432
25	ž	15881375	6661.6539	6.8236
26	f	4122595	1729.2773	6.2379
27	đ	3769128	1581.0109	6.1989
28	y	3300546	1384.4579	6.1413
29	w	1541253	646.4991	5.8106
30	x	394770	165.5915	5.219
31	q	134254	56.3146	4.7506
32	а	39745	16.6716	4.222
33	è	25595	10.7362	4.0309
34	æ	25559	10.7211	4.0302
35	ą	23849	10.0038	4.0002
36	é	22071	9.258	3.9665
37	â	20022	8.3985	3.9242
38	ˇ	15234	6.3901	3.8055
39	ľ	14771	6.1959	3.7921
40	ð	14261	5.982	3.7768
41	о	13220	5.5453	3.7439
42	е	11881	4.9836	3.6975
43	ü	11366	4.7676	3.6783
44	ĺ	9006	3.7777	3.5772
45	ä	8971	3.763	3.5755
46	ş	8166	3.4253	3.5347
47	ö	6921	2.9031	3.4629
48	í	6537	2.742	3.4381
49	á	6267	2.6288	3.4198
50	ó	4999	2.0969	3.3216
51	ј	4201	1.7622	3.2461
52	ť	4148	1.7399	3.2405
53	ç	4136	1.7349	3.2393
54	ń	3648	1.5302	3.1847
55	ŕ	2424	1.0168	3.0072
56	ô	2285	0.9585	2.9816
57	î	2041	0.8561	2.9325
58	т	1926	0.8079	2.9074
59	ă	1886	0.7911	2.8982
60	ř	1692	0.7097	2.8511
61	м	1583	0.664	2.8222
62	ł	1441	0.6044	2.7813
63	к	1410	0.5914	2.7719
64	ň	1242	0.521	2.7168
65	ë	1205	0.5055	2.7037
66	ú	1182	0.4958	2.6953
67	ţ	1024	0.4295	2.633
68	ż	957	0.4014	2.6036
69	ě	940	0.3943	2.5958
70	љ	933	0.3914	2.5926
71	ś	929	0.3897	2.5907
72	ý	906	0.38	2.5798
73	ę	766	0.3213	2.5069
74	и	690	0.2894	2.4615
75	µ	631	0.2647	2.4228
76	р	537	0.2253	2.3528
77	ď	507	0.2127	2.3278
78	ã	472	0.198	2.2967
79	ж	437	0.1833	2.2632
80	ª	420	0.1762	2.246
81	ź	418	0.1753	2.2438
82	ћ	405	0.1699	2.2302
83	ñ	376	0.1577	2.1978
84	ø	365	0.1531	2.185
85	þ	342	0.1435	2.1569
85	ζ	342	0.1435	2.1569
86	ő	335	0.1405	2.1477
87	θ	323	0.1355	2.1319
88	カ	284	0.1191	2.0759
89	ì	257	0.1078	2.0326
90	ß	255	0.107	2.0294
91	º	240	0.1007	2.003
92	ű	218	0.0914	1.9609
93	ů	200	0.0839	1.9238
94	с	195	0.0818	1.9128
95	ğ	187	0.0784	1.8943
96	н	172	0.0721	1.8579
97	д	145	0.0608	1.7839
98	в	120	0.0503	1.7016
99	à	116	0.0487	1.6875
99	ò	116	0.0487	1.6875
100	愀	107	0.0449	1.6522
101	û	98	0.0411	1.6138
102	у	97	0.0407	1.6096
103	г	95	0.0398	1.5999
104	π	92	0.0386	1.5866
105	攀	91	0.0382	1.5821
106	б	90	0.0378	1.5775
107	å	78	0.0327	1.5145
108	п	75	0.0315	1.4983
109	л	74	0.031	1.4914
110	œ	69	0.0289	1.4609
111	椀	66	0.0277	1.4425
112	漀	64	0.0268	1.4281
113	ù	62	0.026	1.415
114	ĉ	56	0.0235	1.3711
115	樀	54	0.0227	1.356
116	х	53	0.0222	1.3464
117	ш	52	0.0218	1.3385
118	ĳ	47	0.0197	1.2945
118	ђ	47	0.0197	1.2945
119	з	46	0.0193	1.2856
119	猀	46	0.0193	1.2856
120	渀	45	0.0189	1.2765
121	琀	41	0.0172	1.2355
122	椁	39	0.0164	1.2148
122	欀	39	0.0164	1.2148
123	甀	37	0.0155	1.1903
124	ï	36	0.0151	1.179
124	氀	36	0.0151	1.179
124	洀	36	0.0151	1.179
125	瘀	32	0.0134	1.1271
126	ê	31	0.013	1.1139
127	攁	29	0.0122	1.0864
128	爀	27	0.0113	1.0531
129	ā	24	0.0101	1.0043
130	ф	21	0.0088	0.9445
131	õ	19	0.008	0.9031
132	ч	18	0.0076	0.8808
132	愁	18	0.0076	0.8808
133	́	17	0.0071	0.8513
133	ё	17	0.0071	0.8513
134	ⰰ	16	0.0067	0.8261
135	ε	15	0.0063	0.7993
