Rank	Character	Frequency	Frequency per million	Zipf value
1	e	270451364	94212.0386	7.9741
2	o	229556005	79966.094	7.9029
3	a	190169419	66245.7322	7.8212
4	t	181781748	63323.8775	7.8016
5	n	167119546	58216.2829	7.765
6	s	134009714	46682.4355	7.6692
7	m	128004944	44590.667	7.6492
8	l	123053551	42865.8437	7.6321
9	i	115993170	40406.352	7.6064
10	d	110142056	38368.1098	7.584
11	j	100269321	34928.9314	7.5432
12	v	97066665	33813.2825	7.5291
13	k	92431690	32198.6838	7.5078
14	u	90715473	31600.8376	7.4997
15	r	82440354	28718.1906	7.4582
16	p	81947056	28546.3496	7.4556
17	í	71296453	24836.2	7.3951
18	c	67233960	23421.026	7.3696
19	á	65632136	22863.0288	7.3591
20	h	65248165	22729.2721	7.3566
21	y	58843774	20498.2952	7.3117
22	b	53096311	18496.16	7.2671
23	ě	52440144	18267.5835	7.2617
24	z	46097392	16058.0786	7.2057
25	ž	38675168	13472.5385	7.1294
26	š	31615484	11013.2896	7.0419
27	ř	30517641	10630.8548	7.0266
28	č	20419798	7113.2597	6.8521
29	é	17218753	5998.1721	6.778
30	ý	16905856	5889.1741	6.7701
31	ů	12254252	4268.7825	6.6303
32	f	7135251	2485.5728	6.3954
33	g	6530469	2274.8963	6.357
34	ď	3637884	1267.261	6.1029
35	ň	2294671	799.3512	5.9027
36	w	2209461	769.6682	5.8863
37	ť	1721718	599.7624	5.778
38	ú	1704940	593.9178	5.7737
39	x	1568665	546.4462	5.7375
40	ó	704273	245.3343	5.3898
41	q	193246	67.3175	4.8281
42	ą	38081	13.2656	4.1227
43	ľ	37436	13.0409	4.1153
44	ì	28009	9.757	3.9893
45	ˇ	27033	9.417	3.9739
46	ă	17465	6.084	3.7842
47	ø	16202	5.644	3.7516
48	ü	15216	5.3005	3.7243
49	ä	13754	4.7912	3.6804
50	ĺ	13601	4.7379	3.6756
51	è	11674	4.0667	3.6092
52	â	10931	3.8078	3.5807
53	ö	10059	3.5041	3.5446
54	ù	9214	3.2097	3.5065
55	ŕ	8286	2.8864	3.4604
56	ş	7246	2.5242	3.4021
57	ż	5600	1.9508	3.2902
58	ë	4709	1.6404	3.2149
59	ç	3832	1.3349	3.1254
60	ń	3718	1.2952	3.1123
61	ł	3485	1.214	3.0842
62	ô	2756	0.9601	2.9823
63	î	2741	0.9548	2.9799
64	ę	2723	0.9486	2.9771
65	ν	2494	0.8688	2.9389
66	ï	2378	0.8284	2.9182
67	ć	1787	0.6225	2.7941
68	ò	1716	0.5978	2.7766
69	ś	1446	0.5037	2.7022
70	ź	1117	0.3891	2.5901
71	à	912	0.3177	2.502
72	ĕ	784	0.2731	2.4363
73	ß	740	0.2578	2.4113
74	đ	690	0.2404	2.3809
75	ű	617	0.2149	2.3322
76	ñ	513	0.1787	2.2521
77	ţ	481	0.1676	2.2243
78	ő	391	0.1362	2.1342
79	ō	247	0.086	1.9345
80	µ	219	0.0763	1.8825
81	å	211	0.0735	1.8663
82	攀	200	0.0697	1.8432
82	漀	200	0.0697	1.8432
83	ã	192	0.0669	1.8254
84	а	186	0.0648	1.8116
85	愀	183	0.0637	1.8041
86	ū	161	0.0561	1.749
87	い	159	0.0554	1.7435
88	琀	158	0.055	1.7404
89	渀	134	0.0467	1.6693
90	о	132	0.046	1.6628
91	т	124	0.0432	1.6355
92	氀	123	0.0428	1.6314
93	猀	120	0.0418	1.6212
94	洀	104	0.0362	1.5587
95	た	101	0.0352	1.5465
96	な	95	0.0331	1.5198
96	椀	95	0.0331	1.5198
97	к	92	0.032	1.5051
98	瘀	91	0.0317	1.5011
99	の	88	0.0307	1.4871
100	て	87	0.0303	1.4814
100	る	87	0.0303	1.4814
100	搀	87	0.0303	1.4814
101	を	86	0.03	1.4771
102	е	85	0.0296	1.4713
103	甀	82	0.0286	1.4564
104	欀	80	0.0279	1.4456
105	ᬀ	77	0.0268	1.4281
106	ª	75	0.0261	1.4166
107	攁	72	0.0251	1.3997
107	爀	72	0.0251	1.3997
108	が	71	0.0247	1.3927
109	н	69	0.024	1.3802
109	に	69	0.024	1.3802
110	р	68	0.0237	1.3747
110	樀	68	0.0237	1.3747
110	礀	68	0.0237	1.3747
111	у	67	0.0233	1.3674
112	し	66	0.023	1.3617
113	с	63	0.0219	1.3404
114	и	60	0.0209	1.3201
115	れ	59	0.0206	1.3139
116	栀	57	0.0199	1.2989
117	挀	56	0.0195	1.29
118	く	55	0.0192	1.2833
118	さ	55	0.0192	1.2833
119	君	54	0.0188	1.2742
120	в	53	0.0185	1.2672
120	ⰰ	53	0.0185	1.2672
121	椁	52	0.0181	1.2577
122	㼀	51	0.0178	1.2504
122	瀀	51	0.0178	1.2504
123	д	50	0.0174	1.2405
124	か	49	0.0171	1.233
125	ら	47	0.0164	1.2148
126	で	46	0.016	1.2041
126	欁	46	0.016	1.2041
127	は	43	0.015	1.1761
128	м	41	0.0143	1.1553
128	う	41	0.0143	1.1553
128	だ	41	0.0143	1.1553
129	ā	40	0.0139	1.143
129	も	40	0.0139	1.143
129	ん	40	0.0139	1.143
130	л	37	0.0129	1.1106
130	っ	37	0.0129	1.1106
131	õ	36	0.0125	1.0969
131	け	36	0.0125	1.0969
132	æ	35	0.0122	1.0864
132	б	35	0.0122	1.0864
132	ラ	35	0.0122	1.0864
132	戀	35	0.0122	1.0864
133	ê	32	0.0111	1.0453
133	サ	32	0.0111	1.0453
133	渁	32	0.0111	1.0453
134	ы	31	0.0108	1.0334
134	と	31	0.0108	1.0334
134	り	31	0.0108	1.0334
134	氁	31	0.0108	1.0334
134	稀	31	0.0108	1.0334
135	出	28	0.0098	0.9912
136	ш	27	0.0094	0.9731
137	͎	26	0.0091	0.959
137	я	26	0.0091	0.959
138	ڎ	25	0.0087	0.9395
138	こ	25	0.0087	0.9395
139	ь	24	0.0084	0.9243
139	き	24	0.0084	0.9243
139	ン	24	0.0084	0.9243
139	来	24	0.0084	0.9243
140	з	23	0.008	0.9031
140	そ	23	0.008	0.9031
140	カ	23	0.008	0.9031
141	わ	22	0.0077	0.8865
141	フ	22	0.0077	0.8865
141	琁	22	0.0077	0.8865
142	п	21	0.0073	0.8633
142	ま	21	0.0073	0.8633
142	ァ	21	0.0073	0.8633
142	ブ	21	0.0073	0.8633
142	悪	21	0.0073	0.8633
142	魔	21	0.0073	0.8633
143	ч	20	0.007	0.8451
144	ʼ	19	0.0066	0.8195
145	ワ	18	0.0063	0.7993
146	㼁	17	0.0059	0.7709
146	優	17	0.0059	0.7709
146	知	17	0.0059	0.7709
147	й	16	0.0056	0.7482
147	す	16	0.0056	0.7482
147	め	16	0.0056	0.7482
147	よ	16	0.0056	0.7482
147	気	16	0.0056	0.7482
147	縀	16	0.0056	0.7482
148	ど	15	0.0052	0.716
148	思	15	0.0052	0.716
149	ī	14	0.0049	0.6902
149	ж	14	0.0049	0.6902
149	ӕ	14	0.0049	0.6902
149	つ	14	0.0049	0.6902
149	キ	14	0.0049	0.6902
149	愁	14	0.0049	0.6902
149	日	14	0.0049	0.6902
149	ﴀ	14	0.0049	0.6902
150	û	13	0.0045	0.6532
150	ј	13	0.0045	0.6532
150	あ	13	0.0045	0.6532
150	え	13	0.0045	0.6532
151	͡	12	0.0042	0.6232
151	ケ	12	0.0042	0.6232
151	ズ	12	0.0042	0.6232
151	ナ	12	0.0042	0.6232
152	г	11	0.0038	0.5798
152	ち	11	0.0038	0.5798
152	リ	11	0.0038	0.5798
152	夀	11	0.0038	0.5798
152	心	11	0.0038	0.5798
152	ﬁ	11	0.0038	0.5798
153	œ	10	0.0035	0.5441
153	ё	10	0.0035	0.5441
153	づ	10	0.0035	0.5441
153	久	10	0.0035	0.5441
153	今	10	0.0035	0.5441
153	強	10	0.0035	0.5441
153	未	10	0.0035	0.5441
153	永	10	0.0035	0.5441
153	無	10	0.0035	0.5441
154	ю	9	0.0031	0.4914
154	み	9	0.0031	0.4914
154	㰀	9	0.0031	0.4914
154	㸀	9	0.0031	0.4914
154	明	9	0.0031	0.4914
154	漁	9	0.0031	0.4914
155	͊	8	0.0028	0.4472
155	х	8	0.0028	0.4472
155	せ	8	0.0028	0.4472
155	ば	8	0.0028	0.4472
155	イ	8	0.0028	0.4472
155	分	8	0.0028	0.4472
155	朝	8	0.0028	0.4472
155	行	8	0.0028	0.4472
155	見	8	0.0028	0.4472
155	間	8	0.0028	0.4472
155	風	8	0.0028	0.4472
156	َ	7	0.0024	0.3802
156	ず	7	0.0024	0.3802
156	タ	7	0.0024	0.3802
156	ム	7	0.0024	0.3802
156	一	7	0.0024	0.3802
156	切	7	0.0024	0.3802
156	夜	7	0.0024	0.3802
156	大	7	0.0024	0.3802
156	意	7	0.0024	0.3802
156	手	7	0.0024	0.3802
156	持	7	0.0024	0.3802
156	構	7	0.0024	0.3802
156	樁	7	0.0024	0.3802
157	ı	6	0.0021	0.3222
157	ʖ	6	0.0021	0.3222
157	̎	6	0.0021	0.3222
157	͜	6	0.0021	0.3222
157	ⰱ	6	0.0021	0.3222
157	ぬ	6	0.0021	0.3222
157	ね	6	0.0021	0.3222
157	へ	6	0.0021	0.3222
157	ー	6	0.0021	0.3222
157	䈀	6	0.0021	0.3222
157	不	6	0.0021	0.3222
