Rank	Character	Frequency	Frequency per million	Zipf value
1	e	103828497	161174.1357	8.2073
2	r	53945281	83739.8623	7.9229
3	d	46643355	72405.001	7.8598
4	n	42203416	65512.8341	7.8163
5	t	41153265	63882.673	7.8054
6	a	38665551	60020.9667	7.7783
7	i	38433457	59660.6846	7.7757
8	g	31580831	49023.2767	7.6904
9	s	29645413	46018.9057	7.6629
10	l	29333665	45534.9758	7.6583
11	o	25888720	40187.3492	7.6041
12	k	24528149	38075.3197	7.5806
13	m	20643707	32045.457	7.5058
14	v	19979146	31013.8515	7.4916
15	h	17809340	27645.6374	7.4416
16	u	13541478	21020.5876	7.3226
17	f	12571054	19514.1875	7.2904
18	j	11564477	17951.6668	7.2541
19	b	8398602	13037.2437	7.1152
20	å	7908222	12276.0213	7.0891
21	p	7624194	11835.1215	7.0732
22	ø	5385013	8359.2158	6.9222
23	æ	5227451	8114.6306	6.9093
24	y	4412839	6850.0993	6.8357
25	c	2112344	3279.0152	6.5157
26	w	523057	811.9472	5.9095
27	z	218482	339.152	5.5304
28	x	189346	293.9239	5.4682
29	é	144727	224.6613	5.3515
30	q	46132	71.6112	4.855
31	ä	7500	11.6423	4.066
32	ö	5806	9.0127	3.9549
33	ü	4737	7.3533	3.8665
34	ν	4666	7.2431	3.8599
35	á	3681	5.7141	3.7569
36	è	3052	4.7377	3.6756
37	ñ	2972	4.6135	3.664
38	ÿ	2778	4.3123	3.6347
39	í	2496	3.8746	3.5882
40	ã	2179	3.3825	3.5292
41	ó	2171	3.3701	3.5276
42	à	1148	1.7821	3.2509
43	â	992	1.5399	3.1875
44	е	606	0.9407	2.9735
45	ú	540	0.8382	2.9233
46	ç	535	0.8305	2.9193
47	ê	398	0.6178	2.7908
48	ì	378	0.5868	2.7685
49	ë	368	0.5713	2.7569
49	û	368	0.5713	2.7569
50	œ	360	0.5588	2.7473
51	а	336	0.5216	2.7173
52	ô	331	0.5138	2.7108
53	ǻ	307	0.4766	2.6782
54	î	218	0.3384	2.5294
55	і	177	0.2748	2.439
56	ѕ	162	0.2515	2.4005
57	ï	145	0.2251	2.3524
58	η	143	0.222	2.3464
59	с	129	0.2002	2.3015
60	о	118	0.1832	2.2629
61	ε	99	0.1537	2.1867
62	º	98	0.1521	2.1821
63	μ	93	0.1444	2.1596
63	т	93	0.1444	2.1596
64	β	87	0.1351	2.1307
65	ò	86	0.1335	2.1255
66	τ	85	0.1319	2.1202
67	ĺ	82	0.1273	2.1048
68	š	79	0.1226	2.0885
69	ý	72	0.1118	2.0484
70	α	64	0.0993	1.9969
71	ß	60	0.0931	1.9689
72	õ	59	0.0916	1.9619
73	ј	57	0.0885	1.9469
74	ř	53	0.0823	1.9154
75	ù	50	0.0776	1.8899
76	ł	44	0.0683	1.8344
77	м	39	0.0605	1.7818
77	ﬂ	39	0.0605	1.7818
78	þ	37	0.0574	1.7589
79	ń	36	0.0559	1.7474
80	ª	34	0.0528	1.7226
81	в	32	0.0497	1.6964
82	̀	28	0.0435	1.6385
83	ć	27	0.0419	1.6222
84	ž	25	0.0388	1.5888
84	у	25	0.0388	1.5888
85	ι	22	0.0342	1.534
86	р	21	0.0326	1.5132
87	ﬁ	17	0.0264	1.4216
88	ð	14	0.0217	1.3365
88	ο	14	0.0217	1.3365
89	ā	6	0.0093	0.9685
89	ś	6	0.0093	0.9685
90	µ	4	0.0062	0.7924
90	х	4	0.0062	0.7924
90	韆	4	0.0062	0.7924
91	к	3	0.0047	0.6721
92	ż	2	0.0031	0.4914
92	ƒ	2	0.0031	0.4914
92	υ	2	0.0031	0.4914
92	χ	2	0.0031	0.4914
92	碈	2	0.0031	0.4914
92	羘	2	0.0031	0.4914
93	ī	1	0.0016	0.2041
93	ō	1	0.0016	0.2041
93	ū	1	0.0016	0.2041
93	ź	1	0.0016	0.2041
93	δ	1	0.0016	0.2041
93	κ	1	0.0016	0.2041
93	ρ	1	0.0016	0.2041
93	й	1	0.0016	0.2041
93	ආ	1	0.0016	0.2041
93	න	1	0.0016	0.2041
93	බ	1	0.0016	0.2041
93	ය	1	0.0016	0.2041
93	ව	1	0.0016	0.2041
93	්	1	0.0016	0.2041
93	ු	1	0.0016	0.2041
93	ෝ	1	0.0016	0.2041
93	ᴁ	1	0.0016	0.2041
93	醤	1	0.0016	0.2041
93	鷓	1	0.0016	0.2041
