Rank	Character	Frequency	Frequency per million	Zipf value
1	e	465530749	184682.0549	8.2664
2	n	228062546	90475.3547	7.9565
3	a	199715578	79229.7467	7.8989
4	i	181083953	71838.3407	7.8564
5	t	174071195	69056.2891	7.8392
6	o	143399920	56888.5986	7.755
7	r	133504978	52963.1474	7.724
8	d	120267127	47711.5211	7.6786
9	l	93440427	37069.0231	7.569
10	s	91261537	36204.6293	7.5588
11	k	79268678	31446.9074	7.4976
12	h	79238279	31434.8477	7.4974
13	g	73086412	28994.3227	7.4623
14	m	72234874	28656.5066	7.4572
15	j	70356400	27911.2917	7.4458
16	w	54214911	21507.7547	7.3326
17	u	47463471	18829.3714	7.2748
18	v	45710602	18133.9856	7.2585
19	b	42826507	16989.8279	7.2302
20	z	39070250	15499.6723	7.1903
21	p	31569021	12523.838	7.0977
22	c	26996724	10709.9488	7.0298
23	f	18784702	7452.1337	6.8723
24	y	4825599	1914.3774	6.282
25	é	2273126	901.7784	5.9551
26	x	1032979	409.7961	5.6126
27	ë	461057	182.9073	5.2622
28	q	314411	124.7309	5.096
29	è	262312	104.0626	5.0173
30	ï	185117	73.4383	4.8659
31	ó	37937	15.0501	4.1775
32	ö	31633	12.5492	4.0986
33	ü	29049	11.5241	4.0616
34	á	15088	5.9856	3.7771
35	ê	10030	3.979	3.5998
36	í	9879	3.9191	3.5932
37	ñ	9120	3.618	3.5585
38	à	8943	3.5478	3.55
39	ã	5301	2.103	3.3228
40	ç	5249	2.0823	3.3185
41	ä	4686	1.859	3.2693
42	ĳ	4561	1.8094	3.2575
43	î	4473	1.7745	3.2491
44	â	3734	1.4813	3.1706
45	ú	2501	0.9922	2.9966
46	ô	2497	0.9906	2.9959
47	ø	1902	0.7545	2.8777
48	ª	1845	0.7319	2.8645
49	û	1269	0.5034	2.7019
50	ò	1261	0.5003	2.6992
51	å	1077	0.4273	2.6307
52	ì	1002	0.3975	2.5993
53	æ	867	0.344	2.5366
54	ž	654	0.2595	2.4141
55	י	640	0.2539	2.4047
56	ν	618	0.2452	2.3895
57	µ	479	0.19	2.2788
58	ý	365	0.1448	2.1608
59	º	333	0.1321	2.1209
60	þ	318	0.1262	2.1011
61	š	316	0.1254	2.0983
62	ù	307	0.1218	2.0856
63	ß	214	0.0849	1.9289
64	е	168	0.0666	1.8235
65	ﬂ	167	0.0663	1.8215
66	τ	146	0.0579	1.7627
67	ο	143	0.0567	1.7536
68	ğ	142	0.0563	1.7505
69	ð	115	0.0456	1.659
70	μ	108	0.0428	1.6314
71	õ	91	0.0361	1.5575
72	č	89	0.0353	1.5478
73	כ	87	0.0345	1.5378
74	œ	83	0.0329	1.5172
75	т	76	0.0302	1.48
76	η	68	0.027	1.4314
77	ş	66	0.0262	1.4183
78	ט	58	0.023	1.3617
79	й	57	0.0226	1.3541
80	г	55	0.0218	1.3385
81	ε	54	0.0214	1.3304
81	ﬁ	54	0.0214	1.3304
82	ż	48	0.019	1.2788
82	ƒ	48	0.019	1.2788
83	л	43	0.0171	1.233
83	ן	43	0.0171	1.233
84	α	42	0.0167	1.2227
84	в	42	0.0167	1.2227
85	ı	40	0.0159	1.2014
86	м	39	0.0155	1.1903
87	ł	38	0.0151	1.179
88	ă	33	0.0131	1.1173
89	ď	28	0.0111	1.0453
90	у	25	0.0099	0.9956
91	ÿ	20	0.0079	0.8976
92	ˆ	19	0.0075	0.8751
93	ė	17	0.0067	0.8261
94	ι	16	0.0063	0.7993
95	ā	15	0.006	0.7782
95	ř	15	0.006	0.7782
95	и	15	0.006	0.7782
96	よ	14	0.0056	0.7482
96	ら	14	0.0056	0.7482
96	敩	14	0.0056	0.7482
97	さ	13	0.0052	0.716
97	䈠	13	0.0052	0.716
97	挮	13	0.0052	0.716
97	摡	13	0.0052	0.716
97	摲	13	0.0052	0.716
97	敪	13	0.0052	0.716
97	浯	13	0.0052	0.716
97	湡	13	0.0052	0.716
97	湷	13	0.0052	0.716
97	潤	13	0.0052	0.716
97	潬	13	0.0052	0.716
97	灯	13	0.0052	0.716
97	瘠	13	0.0052	0.716
98	ば	12	0.0048	0.6812
98	一	12	0.0048	0.6812
98	器	12	0.0048	0.6812
98	敇	12	0.0048	0.6812
98	武	12	0.0048	0.6812
99	ń	11	0.0044	0.6435
100	β	10	0.004	0.6021
101	ť	9	0.0036	0.5563
102	ō	8	0.0032	0.5051
102	о	8	0.0032	0.5051
103	κ	7	0.0028	0.4472
103	の	7	0.0028	0.4472
104	р	6	0.0024	0.3802
104	ף	6	0.0024	0.3802
104	צ	6	0.0024	0.3802
104	ٍ	6	0.0024	0.3802
104	َ	6	0.0024	0.3802
104	ِ	6	0.0024	0.3802
105	ć	5	0.002	0.301
105	φ	5	0.002	0.301
105	п	5	0.002	0.301
105	ﬀ	5	0.002	0.301
106	ţ	4	0.0016	0.2041
106	ű	4	0.0016	0.2041
106	ș	4	0.0016	0.2041
106	ё	4	0.0016	0.2041
106	ֹ	4	0.0016	0.2041
106	ב	4	0.0016	0.2041
106	い	4	0.0016	0.2041
106	し	4	0.0016	0.2041
106	を	4	0.0016	0.2041
107	ĉ	3	0.0012	0.0792
107	ě	3	0.0012	0.0792
107	ū	3	0.0012	0.0792
107	с	3	0.0012	0.0792
107	て	3	0.0012	0.0792
107	に	3	0.0012	0.0792
107	る	3	0.0012	0.0792
107	彼	3	0.0012	0.0792
108	đ	2	0.0008	-0.0969
108	ɩ	2	0.0008	-0.0969
108	λ	2	0.0008	-0.0969
108	ρ	2	0.0008	-0.0969
108	υ	2	0.0008	-0.0969
108	ґ	2	0.0008	-0.0969
108	ִ	2	0.0008	-0.0969
108	ֿ	2	0.0008	-0.0969
108	ך	2	0.0008	-0.0969
108	う	2	0.0008	-0.0969
