Rank	Character	Frequency	Frequency per million	Zipf value
1	e	1121921405	115523.9749	8.0627
2	t	887573490	91393.2269	7.9609
3	o	864359073	89002.8441	7.9494
4	a	741231975	76324.4766	7.8827
5	i	684483327	70481.0821	7.8481
6	n	633145497	65194.8382	7.8142
7	s	565109591	58189.1975	7.7648
8	h	562401387	57910.3344	7.7628
9	r	512178846	52738.9315	7.7221
10	l	405684937	41773.2795	7.6209
11	u	359577218	37025.5789	7.5685
12	d	338755057	34881.526	7.5426
13	y	321854594	33141.2895	7.5204
14	m	267655156	27560.3865	7.4403
15	w	254260781	26181.1709	7.418
16	g	239934447	24705.9918	7.3928
17	c	215773534	22218.1485	7.3467
18	f	161173292	16595.9748	7.22
19	b	147068853	15143.6441	7.1802
20	p	144408825	14869.7417	7.1723
21	k	135434422	13945.6496	7.1444
22	v	94567415	9737.5838	6.9885
23	j	25883411	2665.2086	6.4257
24	x	12248397	1261.2145	6.1008
25	z	7522266	774.5659	5.8891
26	q	5611957	577.8619	5.7618
27	é	330447	34.026	4.5318
28	ö	176812	18.2063	4.2602
29	ο	124183	12.7871	4.1068
30	ÿ	81777	8.4206	3.9253
31	í	78653	8.0989	3.9084
32	â	78105	8.0425	3.9054
33	ü	70071	7.2152	3.8582
34	á	67838	6.9853	3.8442
35	ó	57805	5.9522	3.7747
36	ñ	52899	5.447	3.7362
37	ª	51972	5.3515	3.7285
38	è	41076	4.2296	3.6263
39	ã	33412	3.4404	3.5366
40	ä	31129	3.2053	3.5059
41	à	30083	3.0976	3.491
42	ç	29599	3.0478	3.484
43	ν	22481	2.3149	3.3645
44	æ	18220	1.8761	3.2733
45	υ	17963	1.8496	3.2671
46	ø	15686	1.6152	3.2082
47	î	15513	1.5974	3.2034
48	η	15433	1.5891	3.2012
49	ê	15257	1.571	3.1962
50	ï	14083	1.4501	3.1614
51	å	13639	1.4044	3.1475
52	ú	13388	1.3786	3.1394
53	τ	12828	1.3209	3.1209
54	ô	11827	1.2178	3.0856
55	ý	11494	1.1835	3.0732
56	º	10655	1.0971	3.0402
57	ì	10500	1.0812	3.0339
58	ë	10001	1.0298	3.0128
59	þ	9770	1.006	3.0026
60	ﬂ	9536	0.9819	2.9921
61	ò	9461	0.9742	2.9886
62	ð	7993	0.823	2.9154
63	µ	7470	0.7692	2.886
64	š	7452	0.7673	2.885
65	ù	5909	0.6084	2.7842
66	ß	5859	0.6033	2.7805
67	û	5270	0.5427	2.7346
68	õ	4470	0.4603	2.663
69	œ	4372	0.4502	2.6534
70	ﬁ	4338	0.4467	2.65
71	α	4201	0.4326	2.6361
72	у	4050	0.417	2.6201
73	ι	3975	0.4093	2.612
74	μ	3202	0.3297	2.5181
75	ε	2887	0.2973	2.4732
76	ž	2846	0.2931	2.467
77	а	2843	0.2927	2.4664
78	е	2671	0.275	2.4393
79	о	2564	0.264	2.4216
80	в	2492	0.2566	2.4093
81	ş	2102	0.2164	2.3353
82	β	2049	0.211	2.3243
83	ś	1954	0.2012	2.3036
84	ı	1917	0.1974	2.2953
85	ί	1848	0.1903	2.2794
86	κ	1777	0.183	2.2625
87	т	1699	0.1749	2.2428
88	ā	1658	0.1707	2.2322
89	ō	1637	0.1686	2.2269
90	̇	1310	0.1349	2.13
91	н	1278	0.1316	2.1193
92	р	1236	0.1273	2.1048
93	ρ	1211	0.1247	2.0959
94	ł	1165	0.12	2.0792
95	ي	1064	0.1096	2.0398
96	ђ	1044	0.1075	2.0314
97	с	1024	0.1054	2.0228
98	ل	971	0.1	2.0
99	ğ	966	0.0995	1.9978
100	い	890	0.0916	1.9619
101	ا	799	0.0823	1.9154
102	č	773	0.0796	1.9009
103	の	730	0.0752	1.8762
104	て	724	0.0746	1.8727
105	̶	705	0.0726	1.8609
106	م	696	0.0717	1.8555
107	ă	675	0.0695	1.842
108	є	591	0.0609	1.7846
109	π	571	0.0588	1.7694
110	и	561	0.0578	1.7619
111	м	554	0.057	1.7559
112	な	551	0.0567	1.7536
113	ť	548	0.0564	1.7513
114	σ	546	0.0562	1.7497
115	ū	527	0.0543	1.7348
116	に	518	0.0533	1.7267
117	г	514	0.0529	1.7235
118	た	509	0.0524	1.7193
119	්	493	0.0508	1.7059
120	ن	470	0.0484	1.6848
121	ń	451	0.0464	1.6665
122	י	422	0.0435	1.6385
123	で	413	0.0425	1.6284
124	る	408	0.042	1.6232
125	ć	401	0.0413	1.616
126	ו	397	0.0409	1.6117
127	ī	387	0.0398	1.5999
128	し	385	0.0396	1.5977
128	ら	385	0.0396	1.5977
129	δ	378	0.0389	1.5899
130	も	375	0.0386	1.5866
131	λ	373	0.0384	1.5843
132	う	370	0.0381	1.5809
133	ƒ	365	0.0376	1.5752
134	れ	362	0.0373	1.5717
135	ż	359	0.037	1.5682
136	っ	353	0.0363	1.5599
137	й	352	0.0362	1.5587
138	ς	346	0.0356	1.5514
139	を	339	0.0349	1.5428
140	ά	338	0.0348	1.5416
141	න	337	0.0347	1.5403
142	к	325	0.0335	1.525
142	は	325	0.0335	1.525
143	ت	322	0.0332	1.5211
144	ה	320	0.033	1.5185
145	ό	319	0.0328	1.5159
145	ى	319	0.0328	1.5159
146	ා	311	0.032	1.5051
147	д	310	0.0319	1.5038
148	έ	306	0.0315	1.4983
149	θ	303	0.0312	1.4942
