Rank	Bigram	Frequency	Frequency per million	Zipf value
1	i$	71047	29252.9177	7.4662
2	s$	70344	28963.4642	7.4619
3	n$	55396	22808.7692	7.3581
4	o$	54046	22252.9198	7.3474
5	e$	47067	19379.3837	7.2873
6	a$	46188	19017.464	7.2792
7	as	44493	18319.564	7.2629
8	^k	43053	17726.6579	7.2486
9	^m	40615	16722.8349	7.2233
10	on	37848	15583.5493	7.1927
11	^l	33781	13909.0013	7.1433
12	^v	33243	13687.4849	7.1363
13	la	32734	13477.9091	7.1296
14	^p	31411	12933.1766	7.1117
15	^e	31312	12892.4143	7.1103
16	vi	30126	12404.0902	7.0936
17	^n	29986	12346.4466	7.0915
18	u$	29767	12256.2754	7.0884
19	ta	28971	11928.5301	7.0766
20	st	27973	11517.6132	7.0614
21	en	27939	11503.6141	7.0608
22	mi	27705	11407.2668	7.0572
23	j$	26527	10922.2367	7.0383
24	es	25326	10427.7365	7.0182
25	ti	24589	10124.2838	7.0054
26	^s	24423	10055.9349	7.0024
27	an	24230	9976.469	6.999
28	^t	24125	9933.2363	6.9971
29	^a	23130	9523.5546	6.9788
30	^d	23129	9523.1429	6.9788
31	in	23047	9489.3802	6.9772
32	is	21781	8968.1169	6.9527
33	ne	20954	8627.6076	6.9359
34	al	19796	8150.8123	6.9112
35	ro	19512	8033.878	6.9049
36	ia	19456	8010.8205	6.9037
37	li	19381	7979.94	6.902
38	or	18876	7772.0111	6.8905
39	ni	17865	7355.7416	6.8666
40	ra	17442	7181.5754	6.8562
41	ri	17368	7151.1067	6.8544
42	aj	16709	6879.7698	6.8376
43	oj	16510	6797.8334	6.8324
44	ka	16386	6746.7776	6.8291
45	io	16340	6727.8376	6.8279
46	^ĉ	16169	6657.43	6.8233
47	ki	16044	6605.9624	6.8199
48	er	15620	6431.3845	6.8083
49	to	15601	6423.5614	6.8078
50	ar	15311	6304.1567	6.7996
51	re	14658	6035.2903	6.7807
52	de	13973	5753.2481	6.7599
53	ma	13494	5556.0245	6.7448
54	no	13445	5535.8492	6.7432
55	^f	13231	5447.7368	6.7362
56	l$	12844	5288.3932	6.7233
57	po	12448	5125.3441	6.7097
58	ko	12402	5106.404	6.7081
59	te	12387	5100.2279	6.7076
60	^i	12068	4968.8827	6.6963
61	nt	11351	4673.6649	6.6697
62	el	11148	4590.0816	6.6618
63	lo	10686	4399.8575	6.6434
64	do	10312	4245.8666	6.628
65	os	10280	4232.6909	6.6266
66	pr	10199	4199.34	6.6232
67	di	10048	4137.1672	6.6167
68	^b	10001	4117.8154	6.6147
69	tr	9808	4038.3495	6.6062
70	mo	9751	4014.8803	6.6037
71	^r	9662	3978.2354	6.5997
72	ie	9494	3909.063	6.5921
73	un	9384	3863.7716	6.587
74	iu	9172	3776.4826	6.5771
75	se	9138	3762.4835	6.5755
76	il	8992	3702.3694	6.5685
77	ir	8792	3620.0213	6.5587
78	va	8767	3609.7278	6.5575
79	^h	8754	3604.3752	6.5568
80	na	8706	3584.6116	6.5544
81	nu	8544	3517.9097	6.5463
82	r$	8515	3505.9692	6.5448
83	aŭ	8498	3498.9696	6.5439
84	am	8081	3327.2739	6.5221
85	jn	7895	3250.6902	6.512
86	da	7871	3240.8084	6.5107
87	pa	7852	3232.9853	6.5096
88	at	7804	3213.2218	6.5069
89	ĉi	7780	3203.34	6.5056
90	om	7669	3157.6369	6.4994
91	le	7585	3123.0507	6.4946
92	ve	7410	3050.9961	6.4844
93	ol	7404	3048.5257	6.4841
94	pe	7386	3041.1143	6.483
95	bo	7302	3006.5281	6.4781
96	si	7138	2939.0027	6.4682
97	^j	7122	2932.4149	6.4672
98	vo	6904	2842.6555	6.4537
99	tu	6762	2784.1883	6.4447
100	ek	6729	2770.6009	6.4426
101	ĝi	6708	2761.9544	6.4412
102	ĉu	6702	2759.4839	6.4408
103	ur	6583	2710.4868	6.433
104	nd	6548	2696.0759	6.4307
105	ku	6363	2619.9039	6.4183
106	me	6316	2600.5521	6.4151
107	ci	6176	2542.9085	6.4053
108	ig	6146	2530.5563	6.4032
109	m$	6058	2494.3231	6.397
110	^o	5867	2415.6807	6.383
111	ru	5805	2390.1528	6.3784
112	ul	5706	2349.3905	6.371
113	ov	5615	2311.9221	6.364
114	ed	5536	2279.3947	6.3578
115	rt	5528	2276.1007	6.3572
116	fa	5450	2243.985	6.351
117	et	5422	2232.4563	6.3488
118	nk	5311	2186.7531	6.3398
119	ke	5156	2122.9333	6.3269
120	pl	5084	2093.288	6.3208
121	it	5063	2084.6415	6.319
122	^ĝ	5053	2080.5241	6.3182
123	su	5009	2062.4075	6.3144
124	ga	4953	2039.35	6.3095
125	ŭ$	4933	2031.1152	6.3077
126	id	4855	1998.9995	6.3008
127	^ŝ	4847	1995.7055	6.3001
128	sa	4790	1972.2363	6.295
129	lu	4711	1939.7089	6.2877
130	je	4654	1916.2397	6.2824
131	jo	4582	1886.5944	6.2757
132	fo	4425	1821.9511	6.2605
133	em	4414	1817.422	6.2595
134	du	4374	1800.9524	6.2555
135	av	4365	1797.2467	6.2546
136	iĝ	4288	1765.5427	6.2469
137	^g	4078	1679.0772	6.2251
138	rd	4054	1669.1954	6.2225
139	ok	3952	1627.1979	6.2114
140	fi	3911	1610.3166	6.2069
141	ha	3858	1588.4943	6.201
142	ev	3762	1548.9673	6.19
143	so	3738	1539.0855	6.1873
144	gi	3522	1450.1496	6.1614
145	ce	3479	1432.4447	6.1561
146	mp	3426	1410.6225	6.1494
147	be	3329	1370.6837	6.1369
148	kt	3271	1346.8027	6.1293
149	ja	3265	1344.3323	6.1285
150	^c	3251	1338.5679	6.1266
151	bl	3239	1333.627	6.125
152	ns	3236	1332.3918	6.1246
153	ak	3235	1331.9801	6.1245
153	us	3235	1331.9801	6.1245
154	pi	3213	1322.9218	6.1215
155	fe	3202	1318.3926	6.12
156	ho	3195	1315.5105	6.1191
157	im	3149	1296.5704	6.1128
158	d$	3130	1288.7473	6.1102
158	ik	3130	1288.7473	6.1102
159	ŝi	3110	1280.5125	6.1074
160	uj	3074	1265.6899	6.1023
161	ap	3070	1264.0429	6.1018
162	zi	3057	1258.6903	6.0999
163	go	3054	1257.4551	6.0995
164	lt	3007	1238.1033	6.0928
165	ad	3000	1235.2211	6.0917
166	ab	2893	1191.1649	6.076
167	kr	2816	1159.4609	6.0643
168	ut	2761	1136.8151	6.0557
169	rm	2754	1133.933	6.0546
170	^u	2699	1111.2872	6.0458
171	ba	2671	1099.7585	6.0413
172	sp	2643	1088.2298	6.0367
173	sk	2603	1071.7602	6.0301
174	mu	2581	1062.7019	6.0264
175	co	2575	1060.2314	6.0254
176	ej	2515	1035.527	6.0152
177	ĝo	2483	1022.3513	6.0096
178	zo	2452	1009.5874	6.0041
179	iv	2433	1001.7643	6.0008
180	ag	2359	971.2955	5.9874
180	ge	2359	971.2955	5.9874
180	gr	2359	971.2955	5.9874
181	eg	2349	967.1781	5.9855
182	sc	2335	961.4138	5.9829
183	ez	2252	927.2393	5.9672
184	ng	2206	908.2992	5.9582
185	um	2180	897.594	5.9531
186	nc	2167	892.2414	5.9505
187	ĝa	2151	885.6535	5.9473
188	ĉa	2068	851.4791	5.9302
189	ac	2054	845.7147	5.9272
190	he	2040	839.9503	5.9243
191	eb	2029	835.4212	5.9219
191	ŝa	2029	835.4212	5.9219
192	ec	2026	834.186	5.9213
193	ks	1985	817.3046	5.9124
194	fr	1964	808.6581	5.9078
195	kv	1946	801.2467	5.9038
196	ĉe	1854	763.3666	5.8827
197	az	1850	761.7197	5.8818
198	nj	1838	756.7788	5.879
199	lp	1827	752.2496	5.8764
200	za	1813	746.4853	5.873
201	br	1731	712.7226	5.8529
202	gu	1721	708.6052	5.8504
203	bi	1706	702.4291	5.8466
204	ĝu	1661	683.9007	5.835
205	'$	1490	613.4931	5.7878
206	nĝ	1489	613.0814	5.7875
207	pu	1487	612.2579	5.7869
208	aĵ	1481	609.7875	5.7852
209	af	1479	608.964	5.7846
210	ic	1469	604.8466	5.7816
211	ĵo	1458	600.3175	5.7784
212	aĝ	1418	583.8478	5.7663
213	op	1399	576.0248	5.7604
213	vu	1399	576.0248	5.7604
214	ib	1380	568.2017	5.7545
215	kl	1374	565.7313	5.7526
216	k$	1342	552.5556	5.7424
217	rg	1329	547.2029	5.7381
218	ot	1294	532.792	5.7266
219	iz	1285	529.0864	5.7235
220	aĉ	1278	526.2042	5.7212
221	uk	1273	524.1455	5.7195
222	hi	1249	514.2637	5.7112
223	ca	1194	491.618	5.6916
224	ub	1193	491.2063	5.6913
225	nf	1190	489.971	5.6902
226	ud	1188	489.1476	5.6894
227	ip	1178	485.0301	5.6858
228	rn	1173	482.9714	5.6839
229	nv	1161	478.0306	5.6795
230	rb	1159	477.2071	5.6787
231	ep	1155	475.5601	5.6772
232	up	1151	473.9132	5.6757
233	fl	1078	443.8561	5.6472
234	rk	1053	433.5626	5.6371
235	iĉ	1048	431.5039	5.635
236	od	1043	429.4452	5.6329
237	ua	1030	424.0926	5.6275
238	ef	1023	421.2104	5.6245
239	ze	1022	420.7987	5.6241
240	t$	1005	413.7991	5.6168
241	of	985	405.5643	5.6081
242	ju	974	401.0351	5.6032
243	lf	969	398.9764	5.6009
244	uz	968	398.5647	5.6005
245	ld	953	392.3886	5.5937
246	ob	941	387.4477	5.5882
247	rv	935	384.9772	5.5854
248	ll	871	358.6259	5.5546
249	ls	866	356.5672	5.5521
250	mb	858	353.2732	5.5481
251	ĉj	856	352.4498	5.5471
252	ii	855	352.038	5.5466
253	fu	854	351.6263	5.5461
254	rs	852	350.8028	5.5451
255	lv	851	350.3911	5.5446
256	rl	820	337.6271	5.5284
257	lk	799	328.9806	5.5172
258	ĝe	790	325.2749	5.5123
259	kc	778	320.334	5.5056
260	ĉo	762	313.7462	5.4966
261	lb	757	311.6875	5.4937
262	eĉ	741	305.0996	5.4844
262	ĉ$	741	305.0996	5.4844
263	ŝt	736	303.0409	5.4815
264	ŭr	734	302.2174	5.4803
265	bu	717	295.2178	5.4701
266	eĝ	701	288.63	5.4603
267	ui	691	284.5126	5.4541
268	uf	689	283.6891	5.4528
269	eo	682	280.8069	5.4484
270	rp	677	278.7482	5.4452
271	uo	674	277.513	5.4433
272	ug	671	276.2778	5.4413
273	kn	667	274.6308	5.4387
274	ea	646	265.9843	5.4249
275	if	636	261.8669	5.4181
276	pt	627	258.1612	5.4119
277	ch	625	257.3377	5.4105
278	dz	621	255.6908	5.4077
278	ee	621	255.6908	5.4077
279	og	617	254.0438	5.4049
280	ŭd	605	249.1029	5.3964
281	oz	602	247.8677	5.3942
282	aŝ	601	247.456	5.3935
283	^z	586	241.2799	5.3825
284	ue	573	235.9272	5.3728
285	dr	555	228.5159	5.3589
285	gn	555	228.5159	5.3589
286	gl	546	224.8102	5.3518
287	y$	533	219.4576	5.3414
288	uŝ	532	219.0459	5.3405
289	s-	525	216.1637	5.3348
290	kz	522	214.9285	5.3323
291	lm	519	213.6932	5.3298
292	ei	504	207.5171	5.3171
293	sh	496	204.2232	5.3101
294	rĉ	484	199.2823	5.2995
295	rf	483	198.8706	5.2986
296	jm	452	186.1066	5.2698
297	nĉ	447	184.0479	5.2649
298	hu	446	183.6362	5.264
299	i-	436	179.5188	5.2541
300	zu	435	179.1071	5.2531
301	o-	434	178.6953	5.2521
302	ŭt	433	178.2836	5.2511
303	ŭs	431	177.4601	5.2491
304	oc	421	173.3427	5.2389
305	-r	406	167.1666	5.2231
306	^ĵ	394	162.2257	5.2101
307	gv	384	158.1083	5.199
308	oĝ	371	152.7557	5.184
309	ŝo	360	148.2265	5.1709
310	au	353	145.3443	5.1624
311	sm	344	141.6387	5.1512
312	np	343	141.2269	5.1499
312	ŝu	343	141.2269	5.1499
313	ŭe	338	139.1682	5.1435
314	jt	326	134.2274	5.1278
315	cx	325	133.8156	5.1265
316	rc	316	130.11	5.1143
317	h$	313	128.8747	5.1102
318	r'	300	123.5221	5.0917
319	oŝ	295	121.4634	5.0844
320	lg	294	121.0517	5.083
321	rŝ	291	119.8164	5.0785
322	oĉ	288	118.5812	5.074
323	v$	282	116.1108	5.0649
324	l'	281	115.699	5.0633
325	uĝ	280	115.2873	5.0618
326	ŭl	279	114.8756	5.0602
327	lj	275	113.2286	5.054
328	nl	273	112.4051	5.0508
329	bs	272	111.9934	5.0492
330	b$	268	110.3464	5.0428
331	xu	266	109.5229	5.0395
332	nn	263	108.2877	5.0346
333	ck	262	107.876	5.0329
334	ĵu	261	107.4642	5.0313
335	^æ	253	104.1703	5.0177
336	ai	239	98.4059	4.993
337	uv	236	97.1707	4.9875
338	kd	235	96.759	4.9857
339	iŝ	234	96.3472	4.9838
340	mn	230	94.7003	4.9764
341	ŭa	225	92.6416	4.9668
342	ao	224	92.2298	4.9649
343	sv	223	91.8181	4.9629
343	uc	223	91.8181	4.9629
344	-n	222	91.4064	4.961
345	rĝ	220	90.5829	4.957
345	vr	220	90.5829	4.957
346	-t	215	88.5242	4.9471
347	f$	211	86.8772	4.9389
347	g$	211	86.8772	4.9389
348	n'	209	86.0537	4.9348
349	ss	206	84.8185	4.9285
350	ou	201	82.7598	4.9178
351	ŝe	200	82.3481	4.9157
352	kk	199	81.9363	4.9135
352	xi	199	81.9363	4.9135
353	aa	193	79.4659	4.9002
353	cu	193	79.4659	4.9002
353	oa	193	79.4659	4.9002
353	tt	193	79.4659	4.9002
354	^w	192	79.0542	4.8979
354	gh	192	79.0542	4.8979
355	jr	190	78.2307	4.8934
355	pp	190	78.2307	4.8934
356	ĵe	188	77.4072	4.8888
357	oo	184	75.7602	4.8794
358	-o	183	75.3485	4.8771
358	ln	183	75.3485	4.8771
358	rr	183	75.3485	4.8771
359	n-	174	71.6428	4.8552
360	nm	172	70.8193	4.8502
361	ah	170	69.9959	4.8451
362	lr	169	69.5841	4.8425
362	lŝ	169	69.5841	4.8425
363	mm	167	68.7606	4.8373
364	^y	158	65.055	4.8133
365	ij	154	63.408	4.8021
365	t'	154	63.408	4.8021
366	-s	150	61.7611	4.7907
366	nŝ	150	61.7611	4.7907
367	ŭg	147	60.5258	4.7819
368	oh	146	60.1141	4.779
369	nh	145	59.7024	4.776
369	sl	145	59.7024	4.776
369	ŝl	145	59.7024	4.776
370	z$	144	59.2906	4.773
371	-i	141	58.0554	4.7638
371	gm	141	58.0554	4.7638
372	rh	138	56.8202	4.7545
373	oe	137	56.4084	4.7513
373	th	137	56.4084	4.7513
374	-k	136	55.9967	4.7482
375	ps	135	55.5849	4.745
376	ae	134	55.1732	4.7417
377	-p	133	54.7615	4.7385
377	oi	133	54.7615	4.7385
377	æi	133	54.7615	4.7385
378	ya	130	53.5262	4.7286
379	a-	129	53.1145	4.7252
380	lĉ	126	51.8793	4.715
380	p$	126	51.8793	4.715
381	gx	125	51.4675	4.7115
382	eŭ	124	51.0558	4.708
383	d'	123	50.6441	4.7045
383	tl	123	50.6441	4.7045
384	ŭz	122	50.2323	4.701
385	ft	121	49.8206	4.6974
386	bt	120	49.4088	4.6938
386	e-	120	49.4088	4.6938
387	dy	119	48.9971	4.6902
387	ly	119	48.9971	4.6902
387	ĥa	119	48.9971	4.6902
388	ji	116	47.7619	4.6791
389	mf	115	47.3501	4.6753
389	ŝp	115	47.3501	4.6753
390	nz	114	46.9384	4.6715
391	sf	112	46.1149	4.6638
391	æu	112	46.1149	4.6638
392	eu	111	45.7032	4.6599
392	wo	111	45.7032	4.6599
393	-m	110	45.2914	4.656
393	ts	110	45.2914	4.656
394	-f	109	44.8797	4.652
395	jl	108	44.468	4.648
395	wa	108	44.468	4.648
396	yo	107	44.0562	4.644
397	kf	106	43.6445	4.6399
398	t-	105	43.2327	4.6358
399	rj	104	42.821	4.6317
400	lh	103	42.4093	4.6275
400	ow	103	42.4093	4.6275
401	k'	102	41.9975	4.6232
401	ŝ$	102	41.9975	4.6232
402	cl	101	41.5858	4.6189
403	-d	100	41.174	4.6146
403	sx	100	41.174	4.6146
404	-a	98	40.3506	4.6058
404	aĥ	98	40.3506	4.6058
404	l-	98	40.3506	4.6058
404	lĝ	98	40.3506	4.6058
405	^ĥ	97	39.9388	4.6014
406	hm	94	38.7036	4.5878
407	aý	92	37.8801	4.5784
407	eŝ	92	37.8801	4.5784
407	tn	92	37.8801	4.5784
407	vl	92	37.8801	4.5784
408	øi	91	37.4684	4.5737
409	eh	89	36.6449	4.564
410	-v	88	36.2332	4.5591
411	js	86	35.4097	4.5491
412	-ĉ	85	34.9979	4.544
413	dm	84	34.5862	4.5389
414	ay	83	34.1745	4.5337
414	tm	83	34.1745	4.5337
414	uĉ	83	34.1745	4.5337
415	^ø	82	33.7627	4.5284
415	r-	82	33.7627	4.5284
415	tk	82	33.7627	4.5284
416	jd	81	33.351	4.5231
417	sd	80	32.9392	4.5177
418	nr	79	32.5275	4.5123
419	md	78	32.1157	4.5067
419	u-	78	32.1157	4.5067
419	we	78	32.1157	4.5067
420	wi	77	31.704	4.5011
421	ph	76	31.2923	4.4954
422	ff	75	30.8805	4.4897
422	vj	75	30.8805	4.4897
422	x$	75	30.8805	4.4897
423	jf	73	30.057	4.4779
424	uu	72	29.6453	4.472
424	ux	72	29.6453	4.472
425	ih	71	29.2336	4.4659
425	kp	71	29.2336	4.4659
425	nw	71	29.2336	4.4659
425	ŝŝ	71	29.2336	4.4659
426	-l	70	28.8218	4.4597
426	d-	70	28.8218	4.4597
426	nb	70	28.8218	4.4597
427	km	69	28.4101	4.4535
427	ms	69	28.4101	4.4535
428	m-	68	27.9983	4.4471
429	ny	67	27.5866	4.4407
429	tf	67	27.5866	4.4407
429	ŭi	67	27.5866	4.4407
430	c'	65	26.7631	4.4275
430	f-	65	26.7631	4.4275
430	tz	65	26.7631	4.4275
431	^þ	64	26.3514	4.4208
431	cr	64	26.3514	4.4208
431	k-	64	26.3514	4.4208
431	mt	64	26.3514	4.4208
431	ĥ$	64	26.3514	4.4208
431	ŭv	64	26.3514	4.4208
432	ct	63	25.9396	4.414
432	dv	63	25.9396	4.414
433	ml	61	25.1162	4.4
434	ry	60	24.7044	4.3928
434	tp	60	24.7044	4.3928
434	vs	60	24.7044	4.3928
434	ĥo	60	24.7044	4.3928
435	-e	59	24.2927	4.3855
435	tv	59	24.2927	4.3855
435	ŭf	59	24.2927	4.3855
436	mk	58	23.8809	4.3781
436	zz	58	23.8809	4.3781
437	kh	57	23.4692	4.3705
437	m'	57	23.4692	4.3705
438	qu	56	23.0575	4.3628
439	pj	55	22.6457	4.355
440	-b	54	22.234	4.347
440	-j	54	22.234	4.347
440	jb	54	22.234	4.347
440	ĥi	54	22.234	4.347
441	ey	53	21.8222	4.3389
442	c$	51	20.9988	4.3222
442	i'	51	20.9988	4.3222
442	lc	51	20.9988	4.3222
442	ĵa	51	20.9988	4.3222
443	-g	50	20.587	4.3136
443	-h	50	20.587	4.3136
443	gd	50	20.587	4.3136
443	iø	50	20.587	4.3136
444	vn	49	20.1753	4.3048
445	w$	48	19.7635	4.2959
445	ý$	48	19.7635	4.2959
446	^'	47	19.3518	4.2867
447	dl	46	18.9401	4.2774
447	kŝ	46	18.9401	4.2774
448	bj	45	18.5283	4.2678
448	j-	45	18.5283	4.2678
448	rĵ	45	18.5283	4.2678
449	^q	43	17.7048	4.2481
449	ĝt	43	17.7048	4.2481
450	-y	42	17.2931	4.2379
450	g'	42	17.2931	4.2379
450	ht	42	17.2931	4.2379
451	ex	41	16.8814	4.2274
451	tj	41	16.8814	4.2274
451	uþ	41	16.8814	4.2274
451	þa	41	16.8814	4.2274
452	dp	40	16.4696	4.2167
452	eĥ	40	16.4696	4.2167
452	iĥ	40	16.4696	4.2167
452	ty	40	16.4696	4.2167
453	ew	39	16.0579	4.2057
453	xa	39	16.0579	4.2057
453	ŝm	39	16.0579	4.2057
454	bm	38	15.6461	4.1944
454	j'	38	15.6461	4.1944
454	ŝv	38	15.6461	4.1944
455	'a	37	15.2344	4.1828
455	bb	37	15.2344	4.1828
455	dj	37	15.2344	4.1828
455	hé	37	15.2344	4.1828
455	rz	37	15.2344	4.1828
455	tc	37	15.2344	4.1828
455	éc	37	15.2344	4.1828
455	ŭn	37	15.2344	4.1828
456	dk	36	14.8227	4.1709
456	kj	36	14.8227	4.1709
456	ye	36	14.8227	4.1709
456	ĥe	36	14.8227	4.1709
456	ŭm	36	14.8227	4.1709
457	ds	35	14.4109	4.1587
457	nĥ	35	14.4109	4.1587
457	sb	35	14.4109	4.1587
457	vĉ	35	14.4109	4.1587
457	þo	35	14.4109	4.1587
458	-c	34	13.9992	4.1461
458	eĵ	34	13.9992	4.1461
458	uh	34	13.9992	4.1461
459	-u	33	13.5874	4.1331
