Rank	Character	Frequency	Frequency per million	Zipf value
1	i	226143	114136.1621	8.0574
2	a	221996	112043.1384	8.0494
3	o	172041	86830.4545	7.9387
4	e	170963	86286.3793	7.9359
5	n	164051	82797.8382	7.918
6	s	138148	69724.3891	7.8434
7	r	106465	53733.7282	7.7302
8	l	101364	51159.2131	7.7089
9	t	100658	50802.8894	7.7059
10	u	74504	37602.7585	7.5752
11	k	72122	36400.5443	7.5611
12	m	71326	35998.7968	7.5563
13	v	55549	28036.02	7.4477
14	d	51662	26074.2203	7.4162
15	j	49602	25034.522	7.3985
16	p	49010	24735.7349	7.3933
17	b	21602	10902.7004	7.0375
18	f	21467	10834.5648	7.0348
19	ĉ	20886	10541.3295	7.0229
20	g	20330	10260.7119	7.0112
21	c	15293	7718.4982	6.8875
22	ĝ	13941	7036.133	6.8473
23	h	11395	5751.1467	6.7598
24	z	9140	4613.0303	6.664
25	ŭ	8684	4382.8835	6.6418
26	ŝ	7429	3749.4751	6.574
27	ĵ	2012	1015.4723	6.0067
28	y	933	470.8925	5.6729
29	x	725	365.9132	5.5634
30	w	471	237.7174	5.3761
31	ĥ	366	184.7231	5.2665
32	æ	279	140.8135	5.1486
33	ø	162	81.7627	4.9126
34	þ	111	56.0226	4.7484
35	ý	92	46.4331	4.6668
36	á	90	45.4237	4.6573
37	q	85	42.9002	4.6325
38	é	61	30.7872	4.4884
39	ව	19	9.5895	3.9818
40	ó	15	7.5706	3.8791
41	í	13	6.5612	3.817
42	ű	12	6.0565	3.7822
43	ј	10	5.0471	3.703
43	ය	10	5.0471	3.703
44	ä	9	4.5424	3.6573
44	ú	9	4.5424	3.6573
44	ා	9	4.5424	3.6573
44	ේ	9	4.5424	3.6573
45	ù	5	2.5235	3.402
45	ආ	5	2.5235	3.402
45	ජ	5	2.5235	3.402
45	බ	5	2.5235	3.402
45	ෝ	5	2.5235	3.402
46	ö	3	1.5141	3.1802
46	š	3	1.5141	3.1802
46	ǔ	3	1.5141	3.1802
46	ə	3	1.5141	3.1802
46	ු	3	1.5141	3.1802
47	ê	2	1.0094	3.0041
47	ü	2	1.0094	3.0041
47	ł	2	1.0094	3.0041
47	ž	2	1.0094	3.0041
47	η	2	1.0094	3.0041
47	а	2	1.0094	3.0041
47	с	2	1.0094	3.0041
47	ි	2	1.0094	3.0041
48	µ	1	0.5047	2.703
48	â	1	0.5047	2.703
48	ã	1	0.5047	2.703
48	è	1	0.5047	2.703
48	ì	1	0.5047	2.703
48	î	1	0.5047	2.703
48	ï	1	0.5047	2.703
48	ò	1	0.5047	2.703
48	ô	1	0.5047	2.703
48	û	1	0.5047	2.703
48	ř	1	0.5047	2.703
48	о	1	0.5047	2.703
48	щ	1	0.5047	2.703
48	න	1	0.5047	2.703
48	්	1	0.5047	2.703
