Rank	Bigram	Frequency	Frequency per million	Zipf value
1	a$	29130070	39429.2735	7.5958
2	e$	19681402	26639.9422	7.4255
3	^s	16670516	22564.5298	7.3534
4	^m	15634414	21162.1045	7.3256
5	i$	13738215	18595.4869	7.2694
6	^k	13684360	18522.591	7.2677
7	^t	13217336	17890.4464	7.2526
8	d$	12358464	16727.9123	7.2234
9	s$	12177590	16483.0886	7.217
10	le	10829522	14658.3988	7.1661
11	se	10550278	14280.4256	7.1547
12	n$	9983676	13513.4962	7.1308
13	^o	9803249	13269.2776	7.1228
14	ma	9676145	13097.2348	7.1172
15	ta	9250669	12521.3279	7.0977
16	t$	9111564	12333.041	7.0911
17	in	8874099	12011.6181	7.0796
18	te	8034801	10875.5786	7.0365
19	si	8021503	10857.579	7.0357
20	^e	7812987	10575.3402	7.0243
21	st	7717209	10445.699	7.0189
22	^p	7488996	10136.7992	7.0059
23	as	7472336	10114.2489	7.0049
24	is	7431789	10059.3662	7.0026
25	mi	7190890	9733.2951	6.9883
26	da	6958739	9419.065	6.974
27	^v	6879209	9311.4164	6.969
28	id	6388179	8646.7783	6.9369
29	ei	6192265	8381.5971	6.9233
30	el	5986099	8102.5392	6.9086
31	ee	5840130	7904.9615	6.8979
32	al	5825464	7885.1102	6.8968
33	ol	5815587	7871.7411	6.8961
34	sa	5767527	7806.6891	6.8925
35	^j	5642703	7637.7324	6.883
36	on	5408355	7320.5285	6.8645
37	ku	5404370	7315.1346	6.8642
38	me	5289354	7159.4536	6.8549
39	^a	5251926	7108.7926	6.8518
40	va	5208193	7049.5974	6.8482
41	an	5197032	7034.4903	6.8472
42	u$	5174849	7004.4643	6.8454
43	ja	5136353	6952.3577	6.8421
44	es	5016593	6790.2555	6.8319
45	^n	4958416	6711.5095	6.8268
46	us	4889034	6617.5968	6.8207
47	li	4721208	6390.4344	6.8055
48	ad	4679899	6334.5202	6.8017
49	ka	4525400	6125.3967	6.7871
50	ll	4519460	6117.3565	6.7866
51	l$	4495030	6084.2891	6.7842
52	^l	4474364	6056.3164	6.7822
53	na	4430783	5997.327	6.778
54	tu	4311871	5836.3725	6.7661
55	ul	4208567	5696.5445	6.7556
56	et	4167044	5640.3406	6.7513
57	ks	4123695	5581.6652	6.7468
58	ed	4021326	5443.1027	6.7358
59	ne	3969200	5372.5471	6.7302
60	ga	3961070	5361.5426	6.7293
61	en	3674877	4974.1635	6.6967
62	ii	3661454	4955.9946	6.6951
63	nu	3497060	4733.4776	6.6752
64	la	3486843	4719.6483	6.6739
65	nd	3396902	4597.9079	6.6626
66	ik	3377378	4571.481	6.6601
67	ra	3322808	4497.6172	6.653
68	at	3288577	4451.2836	6.6485
69	aa	3285403	4446.9874	6.6481
70	ea	3270322	4426.5743	6.6461
71	ud	3167710	4287.6829	6.6322
72	it	3162751	4280.9706	6.6315
73	^h	3130542	4237.3738	6.6271
74	ni	3070906	4156.653	6.6187
75	gi	3025596	4095.3232	6.6123
76	em	2984416	4039.5837	6.6063
77	su	2957955	4003.7671	6.6025
78	ag	2910619	3939.695	6.5955
79	ah	2882266	3901.3176	6.5912
80	ar	2805964	3798.0383	6.5796
81	ko	2713029	3672.2453	6.5649
82	il	2660635	3601.3269	6.5565
83	ke	2627988	3557.1373	6.5511
84	mu	2574409	3484.6149	6.5422
85	õi	2513103	3401.6336	6.5317
86	ha	2484514	3362.9367	6.5267
87	b$	2446768	3311.8453	6.5201
88	he	2408937	3260.6388	6.5133
89	am	2408194	3259.6331	6.5132
90	ti	2373732	3212.9867	6.5069
91	im	2354269	3186.6424	6.5033
92	ri	2353737	3185.9223	6.5032
93	ak	2283263	3090.5316	6.49
94	oo	2280242	3086.4425	6.4895
95	er	2262586	3062.544	6.4861
96	eg	2248421	3043.3709	6.4834
97	^r	2231807	3020.8828	6.4801
98	ju	2166957	2933.1045	6.4673
99	ui	2130192	2883.3409	6.4599
100	pe	2087705	2825.8323	6.4511
101	pa	2014203	2726.3429	6.4356
