Rank	Character	Frequency	Frequency per million	Zipf value
1	a	80794025	131864.532	8.1201
2	e	70401280	114902.4552	8.0603
3	i	58275929	95112.5793	7.9782
4	s	51753399	84467.1093	7.9267
5	t	41745541	68133.2095	7.8334
6	l	37976362	61981.5042	7.7923
7	n	34522836	56344.9786	7.7509
8	u	31984233	52201.7057	7.7177
9	m	28558873	46611.1501	7.6685
10	k	26731835	43629.2277	7.6398
11	d	25352648	41378.2463	7.6168
12	o	22926998	37419.3248	7.5731
13	r	16184515	26414.8679	7.4218
14	v	11605468	18941.3711	7.2774
15	h	11579587	18899.1305	7.2764
16	g	11523049	18806.8544	7.2743
17	p	10430883	17024.3221	7.2311
18	ä	9352239	15263.8592	7.1837
19	j	9038801	14752.2947	7.1689
20	õ	6441903	10513.878	7.0218
21	b	5512540	8997.0577	6.9541
22	ü	4811984	7853.675	6.8951
23	ö	1755569	2865.2773	6.4572
24	c	1129519	1843.4964	6.2656
25	y	813831	1328.2597	6.1233
26	f	713506	1164.5185	6.0661
27	w	362444	591.5476	5.772
28	z	163468	266.7973	5.4262
29	x	107770	175.8922	5.2452
30	ð	46275	75.5258	4.8781
31	q	35660	58.201	4.7649
32	š	21517	35.1181	4.5455
33	þ	16705	27.2644	4.4356
34	ž	8610	14.0524	4.1478
35	é	8598	14.0329	4.1471
36	ã	3145	5.133	3.7104
37	ô	1685	2.7501	3.4393
38	µ	1047	1.7088	3.2327
39	ó	1024	1.6713	3.2231
40	ő	998	1.6288	3.2119
41	â	919	1.4999	3.1761
42	ñ	809	1.3204	3.1207
43	ø	802	1.309	3.1169
44	á	677	1.1049	3.0433
45	è	570	0.9303	2.9686
46	æ	488	0.7965	2.9012
47	ć	450	0.7344	2.8659
48	å	401	0.6545	2.8159
49	œ	399	0.6512	2.8137
50	í	393	0.6414	2.8071
51	à	345	0.5631	2.7506
52	ç	260	0.4243	2.6277
53	ÿ	182	0.297	2.4728
54	ë	172	0.2807	2.4482
55	ś	152	0.2481	2.3946
56	ê	145	0.2367	2.3742
57	û	129	0.2105	2.3233
58	ú	121	0.1975	2.2956
59	ª	119	0.1942	2.2882
60	î	94	0.1534	2.1858
61	η	60	0.0979	1.9908
62	ï	53	0.0865	1.937
63	º	52	0.0849	1.9289
64	ц	51	0.0832	1.9201
65	ò	48	0.0783	1.8938
65	τ	48	0.0783	1.8938
66	ý	47	0.0767	1.8848
67	ß	44	0.0718	1.8561
68	ū	41	0.0669	1.8254
69	ì	38	0.062	1.7924
70	ų	30	0.049	1.6902
71	ń	29	0.0473	1.6749
72	ė	27	0.0441	1.6444
73	č	23	0.0375	1.574
74	ō	17	0.0277	1.4425
74	р	17	0.0277	1.4425
75	ù	16	0.0261	1.4166
75	υ	16	0.0261	1.4166
76	а	15	0.0245	1.3892
77	е	13	0.0212	1.3263
78	ř	10	0.0163	1.2122
78	о	10	0.0163	1.2122
79	ѕ	9	0.0147	1.1673
79	ﬂ	9	0.0147	1.1673
80	ē	6	0.0098	0.9912
80	с	6	0.0098	0.9912
80	і	6	0.0098	0.9912
81	ā	5	0.0082	0.9138
81	д	5	0.0082	0.9138
82	đ	4	0.0065	0.8129
82	ī	4	0.0065	0.8129
82	ż	4	0.0065	0.8129
82	ｶ	4	0.0065	0.8129
83	į	3	0.0049	0.6902
83	ˇ	3	0.0049	0.6902
83	в	3	0.0049	0.6902
83	у	3	0.0049	0.6902
83	ව	3	0.0049	0.6902
84	ě	2	0.0033	0.5185
84	ł	2	0.0033	0.5185
84	ţ	2	0.0033	0.5185
84	ι	2	0.0033	0.5185
84	г	2	0.0033	0.5185
84	к	2	0.0033	0.5185
84	н	2	0.0033	0.5185
84	т	2	0.0033	0.5185
84	ы	2	0.0033	0.5185
84	ю	2	0.0033	0.5185
84	ය	2	0.0033	0.5185
85	ı	1	0.0016	0.2041
85	ķ	1	0.0016	0.2041
85	ź	1	0.0016	0.2041
85	з	1	0.0016	0.2041
85	й	1	0.0016	0.2041
85	м	1	0.0016	0.2041
85	х	1	0.0016	0.2041
85	я	1	0.0016	0.2041
85	ј	1	0.0016	0.2041
85	ආ	1	0.0016	0.2041
85	ජ	1	0.0016	0.2041
85	න	1	0.0016	0.2041
85	බ	1	0.0016	0.2041
85	්	1	0.0016	0.2041
85	ා	1	0.0016	0.2041
85	ු	1	0.0016	0.2041
85	ේ	1	0.0016	0.2041
85	ෝ	1	0.0016	0.2041
85	ḥ	1	0.0016	0.2041
