Rank	Character	Frequency	Frequency per million	Zipf value
1	i	132155384	109621.3068	8.0399
2	a	131724968	109264.2819	8.0385
3	t	119480653	99107.7693	7.9961
4	n	111729209	92678.0395	7.967
5	e	101696316	84355.875	7.9261
6	s	80371387	66667.102	7.8239
7	ä	72249539	59930.1265	7.7776
8	l	68300363	56654.3323	7.7532
9	o	66660167	55293.8094	7.7427
10	k	59459521	49320.9599	7.693
11	u	54671584	45349.4235	7.6566
12	m	43181465	35818.5076	7.5541
13	h	29765524	24690.1453	7.3925
14	v	25729602	21342.3964	7.3292
15	r	24696771	20485.6755	7.3115
16	p	21633277	17944.5439	7.2539
17	y	20306182	16843.7345	7.2264
18	j	16650175	13811.1206	7.1402
19	d	11077965	9189.0392	6.9633
20	ö	5099024	4229.5793	6.6263
21	g	2271321	1884.0335	6.2751
22	c	2174629	1803.8287	6.2562
23	b	1921474	1593.8396	6.2024
24	f	1149313	953.3414	5.9792
25	w	717132	594.8524	5.7744
26	z	330318	273.9948	5.4377
27	x	208706	173.1191	5.2383
28	q	64978	53.8985	4.7316
29	é	23008	19.0849	4.2807
30	ü	8290	6.8765	3.8374
31	š	7454	6.183	3.7912
32	ã	5121	4.2478	3.6282
33	á	4834	4.0097	3.6031
34	ñ	4766	3.9533	3.597
35	å	4394	3.6448	3.5617
36	í	4271	3.5427	3.5493
37	ø	4112	3.4109	3.5329
38	ó	3864	3.2051	3.5058
39	è	2984	2.4752	3.3936
40	â	2031	1.6847	3.2265
41	à	1608	1.3338	3.1251
42	ú	1439	1.1936	3.0769
43	ç	984	0.8162	2.9118
44	î	789	0.6545	2.8159
45	ê	642	0.5325	2.7263
46	ž	611	0.5068	2.7048
47	ë	507	0.4206	2.6239
48	ô	499	0.4139	2.6169
49	ì	494	0.4098	2.6126
50	ò	429	0.3559	2.5513
51	æ	378	0.3135	2.4962
52	ð	376	0.3119	2.494
53	õ	365	0.3028	2.4812
54	ï	341	0.2829	2.4516
55	û	283	0.2347	2.3705
56	ý	235	0.1949	2.2898
57	ŋ	218	0.1808	2.2572
58	ª	120	0.0995	1.9978
59	œ	74	0.0614	1.7882
60	º	64	0.0531	1.7251
61	ù	48	0.0398	1.5999
62	у	42	0.0348	1.5416
63	þ	39	0.0324	1.5105
64	τ	36	0.0299	1.4757
65	ß	30	0.0249	1.3962
66	ł	29	0.0241	1.382
67	ÿ	24	0.0199	1.2989
68	ć	15	0.0124	1.0934
69	č	14	0.0116	1.0645
69	ŧ	14	0.0116	1.0645
69	с	14	0.0116	1.0645
70	а	9	0.0075	0.8751
71	ı	8	0.0066	0.8195
71	р	8	0.0066	0.8195
72	µ	7	0.0058	0.7634
72	ō	7	0.0058	0.7634
72	ş	7	0.0058	0.7634
73	ś	5	0.0041	0.6128
74	ń	4	0.0033	0.5185
75	ū	3	0.0025	0.3979
75	ź	3	0.0025	0.3979
75	ż	3	0.0025	0.3979
76	ă	2	0.0017	0.2304
76	đ	2	0.0017	0.2304
76	ğ	2	0.0017	0.2304
76	ř	2	0.0017	0.2304
76	β	2	0.0017	0.2304
76	ι	2	0.0017	0.2304
76	֣	2	0.0017	0.2304
76	ẵ	2	0.0017	0.2304
77	ā	1	0.0008	-0.0969
77	ą	1	0.0008	-0.0969
77	ī	1	0.0008	-0.0969
77	ĺ	1	0.0008	-0.0969
77	ő	1	0.0008	-0.0969
77	ũ	1	0.0008	-0.0969
77	ȧ	1	0.0008	-0.0969
77	ȯ	1	0.0008	-0.0969
77	ʖ	1	0.0008	-0.0969
77	͜	1	0.0008	-0.0969
77	в	1	0.0008	-0.0969
77	н	1	0.0008	-0.0969
77	о	1	0.0008	-0.0969
77	х	1	0.0008	-0.0969
77	ả	1	0.0008	-0.0969
