Rank	Character	Frequency	Frequency per million	Zipf value
1	e	370686744	145097.5377	8.1617
2	s	212805906	83298.4008	7.9206
3	a	203015296	79466.0722	7.9002
4	i	183721413	71913.8871	7.8568
5	t	172932754	67690.8932	7.8305
6	n	168995500	66149.7378	7.8205
7	u	168337152	65892.0413	7.8188
8	r	162285125	63523.1025	7.8029
9	o	155217922	60756.7944	7.7836
10	l	121409893	47523.3517	7.6769
11	c	81279936	31815.3232	7.5026
12	m	77089750	30175.163	7.4796
13	d	77035358	30153.8723	7.4793
14	p	75857601	29692.8641	7.4727
15	v	54933065	21502.3941	7.3325
16	é	39730641	15551.7247	7.1918
17	q	31864608	12472.7313	7.096
18	j	31187514	12207.6971	7.0866
19	f	25630912	10032.682	7.0014
20	b	23364046	9145.3649	6.9612
21	h	23067186	9029.1653	6.9556
22	g	20205267	7908.9272	6.8981
23	z	11377143	4453.3436	6.6487
24	à	10750582	4208.0895	6.6241
25	y	10373629	4060.5391	6.6086
26	x	9680030	3789.0444	6.5785
27	è	7231768	2830.7236	6.4519
28	ê	6303442	2467.3499	6.3922
29	ç	6175411	2417.2349	6.3833
30	k	3805125	1489.4362	6.173
31	w	1788855	700.2097	5.8452
32	ù	1311922	513.5243	5.7106
33	ô	1310240	512.8659	5.71
34	û	1284910	502.951	5.7015
35	î	1069109	418.4803	5.6217
36	â	861802	337.3343	5.5281
37	œ	278130	108.8681	5.0369
38	ï	192058	75.1771	4.8761
39	ë	82486	32.2874	4.509
40	ã	54010	21.1411	4.3251
41	á	38136	14.9275	4.174
42	ü	16185	6.3353	3.8018
43	ñ	12379	4.8455	3.6853
44	ó	11081	4.3374	3.6372
45	í	10854	4.2486	3.6282
46	ª	8755	3.427	3.5349
47	ö	7372	2.8856	3.4602
48	ä	6331	2.4781	3.3941
49	ì	4511	1.7657	3.2469
50	ú	4063	1.5904	3.2015
51	ø	3723	1.4573	3.1635
52	ο	2444	0.9567	2.9808
53	å	1443	0.5648	2.7519
54	º	1384	0.5417	2.7338
55	ŕ	1104	0.4321	2.6356
56	æ	1064	0.4165	2.6196
