Rank	Character	Frequency	Frequency per million	Zipf value
1	e	1027532	123741.1015	8.0925
2	a	1019001	122713.7511	8.0889
3	o	882072	106224.0016	8.0262
4	s	636039	76595.3434	7.8842
5	n	604893	72844.5694	7.8624
6	r	542858	65373.9707	7.8154
7	i	458318	55193.1951	7.7419
8	t	380077	45770.98	7.6606
9	d	369714	44523.0101	7.6486
10	u	344028	41429.7595	7.6173
11	c	304090	36620.2041	7.5637
12	m	274111	33009.9667	7.5186
13	l	255303	30745.003	7.4878
14	p	216764	26103.9229	7.4167
15	q	117102	14102.0722	7.1493
16	b	111531	13431.1815	7.1281
17	v	107651	12963.9304	7.1127
18	g	89223	10744.7284	7.0312
19	h	82312	9912.4675	6.9962
20	f	79763	9605.5028	6.9825
21	x	66106	7960.8511	6.901
22	í	63393	7634.1366	6.8828
23	á	61448	7399.9089	6.8692
24	é	53098	6394.3556	6.8058
25	ó	43675	5259.5857	6.721
26	ñ	36549	4401.4333	6.6436
27	z	30422	3663.5859	6.5639
28	ú	20984	2527.0096	6.4026
29	y	8544	1028.9159	6.0124
30	k	8146	980.9865	5.9917
31	w	4360	525.0554	5.7202
32	j	3826	460.7481	5.6635
33	º	147	17.7026	4.248
33	ü	147	17.7026	4.248
34	è	136	16.3779	4.2143
35	ª	103	12.4038	4.0936
36	ç	79	9.5136	3.9783
37	ê	75	9.0319	3.9558
38	ã	57	6.8643	3.8366
39	ö	55	6.6234	3.8211
40	ï	30	3.6128	3.5578
41	ä	23	2.7698	3.4424
42	â	18	2.1677	3.336
43	à	16	1.9268	3.2848
44	ô	15	1.8064	3.2568
45	î	14	1.686	3.2269
46	ë	11	1.3247	3.1221
47	ò	9	1.0838	3.0349
48	ì	4	0.4817	2.6828
49	õ	3	0.3613	2.5579
49	о	3	0.3613	2.5579
50	ƒ	2	0.2409	2.3818
50	а	2	0.2409	2.3818
51	ß	1	0.1204	2.0806
51	ø	1	0.1204	2.0806
51	ù	1	0.1204	2.0806
51	т	1	0.1204	2.0806
