Rank	Character	Frequency	Frequency per million	Zipf value
1	ა	711107	131179.6906	8.1179
2	ვ	520668	96048.931	7.9825
3	ჲ	473787	87400.6754	7.9415
4	თ	432301	79747.649	7.9017
5	რ	351401	64823.8232	7.8117
6	ნ	316828	58446.0553	7.7668
7	ჟ	250701	46247.4418	7.6651
8	ე	231803	42761.2804	7.6311
9	გ	229427	42322.9737	7.6266
10	პ	229426	42322.7893	7.6266
11	მ	222948	41127.7764	7.6141
12	კ	198712	36656.9007	7.5642
13	ლ	166665	30745.1103	7.4878
14	ო	138174	25489.3041	7.4064
15	ჱ	111590	20585.287	7.3136
16	ბ	102342	18879.2853	7.276
17	დ	100765	18588.3721	7.2692
18	ს	99933	18434.891	7.2656
19	წ	76484	14109.1952	7.1495
20	ქ	66746	12312.8019	7.0904
21	ფ	65683	12116.7076	7.0834
22	ყ	64423	11884.2723	7.075
23	ი	56969	10509.2142	7.0216
24	ზ	46736	8621.5071	6.9356
25	ღ	37336	6887.4655	6.8381
26	ჳ	35253	6503.2093	6.8131
27	უ	24133	4451.875	6.6485
28	ტ	11537	2128.2593	6.328
29	ჩ	6303	1162.7302	6.0655
30	ძ	6141	1132.8457	6.0542
31	შ	5972	1101.6698	6.0421
32	ც	3746	691.034	5.8395
33	ხ	3512	647.8674	5.8115
34	œ	2471	455.8316	5.6588
35	e	1550	285.9324	5.4563
36	i	1474	271.9125	5.4344
37	a	1405	259.1839	5.4136
38	o	1345	248.1155	5.3947
39	t	1197	220.8136	5.344
40	š	1192	219.8912	5.3422
41	s	826	152.3743	5.1829
42	h	808	149.0538	5.1733
43	n	769	141.8594	5.1519
44	l	653	120.4605	5.0808
45	r	643	118.6158	5.0741
46	ჯ	553	102.0133	5.0087
47	m	550	101.4599	5.0063
47	ჭ	550	101.4599	5.0063
48	d	442	81.5368	4.9114
49	b	440	81.1679	4.9094
50	c	429	79.1387	4.8984
51	u	415	76.5561	4.884
52	y	388	71.5753	4.8548
53	ჰ	351	64.7498	4.8112
54	g	324	59.7691	4.7765
55	k	281	51.8368	4.7146
56	p	241	44.4579	4.6479
57	f	202	37.2634	4.5713
58	w	200	36.8945	4.567
59	v	196	36.1566	4.5582
60	è	144	26.564	4.4243
61	ჵ	139	25.6417	4.4089
62	ò	107	19.7386	4.2953
63	í	103	19.0007	4.2788
63	î	103	19.0007	4.2788
64	ƒ	88	16.2336	4.2104
65	ð	85	15.6802	4.1954
66	j	70	12.9131	4.111
67	ñ	63	11.6218	4.0653
67	ჴ	63	11.6218	4.0653
68	x	58	10.6994	4.0294
69	ë	54	9.9615	3.9983
70	z	46	8.4857	3.9287
70	ì	46	8.4857	3.9287
71	ê	41	7.5634	3.8787
72	ï	33	6.0876	3.7844
73	ç	23	4.2429	3.6277
73	ó	23	4.2429	3.6277
74	ÿ	21	3.8739	3.5881
75	õ	19	3.505	3.5447
76	é	14	2.5826	3.4121
76	ù	14	2.5826	3.4121
76	ú	14	2.5826	3.4121
77	ö	13	2.3981	3.3799
78	q	10	1.8447	3.2659
79	ø	6	1.1068	3.0441
80	æ	5	0.9224	2.9649
81	ü	3	0.5534	2.743
82	ô	2	0.3689	2.5669
82	û	2	0.3689	2.5669
82	þ	2	0.3689	2.5669
83	ý	1	0.1845	2.266
