Rank	Character	Frequency	Frequency per million	Zipf value
1	e	154592728	148999.0979	8.1732
2	n	97823170	94283.6333	7.9744
3	i	95144424	91701.8124	7.9624
4	s	75327538	72601.961	7.8609
5	r	66554483	64146.3415	7.8072
6	a	65622286	63247.8742	7.801
7	t	62470807	60210.4252	7.7797
8	h	61233362	59017.7547	7.771
9	d	46692570	45003.0923	7.6532
10	c	39338475	37915.0906	7.5788
11	u	36724665	35395.8561	7.549
12	l	35993052	34690.7151	7.5402
13	m	30389377	29289.7979	7.4667
14	g	25651244	24723.1048	7.3931
15	o	25466057	24544.6184	7.39
16	w	22830421	22004.3477	7.3425
17	b	20389931	19652.1619	7.2934
18	k	14755106	14221.2219	7.1529
19	f	14675069	14144.0808	7.1506
20	z	9574225	9227.8007	6.9651
21	v	7252319	6989.9083	6.8445
22	p	6666370	6425.1607	6.8079
23	ü	5850691	5638.9954	6.7512
24	j	4128052	3978.6867	6.5997
25	ä	4052359	3905.7325	6.5917
26	ö	3088002	2976.2688	6.4737
27	y	2408044	2320.9137	6.3657
28	ß	2125349	2048.4475	6.3114
29	x	418019	402.8938	5.6052
30	q	176739	170.3441	5.2313
31	é	44441	42.833	4.6318
32	ã	10977	10.5798	4.0245
33	ñ	8822	8.5028	3.9296
34	è	6285	6.0576	3.7823
35	á	5795	5.5853	3.747
36	í	4933	4.7545	3.6771
37	â	4608	4.4413	3.6475
38	ó	3953	3.81	3.5809
39	à	3286	3.1671	3.5007
40	ª	3276	3.1575	3.4993
41	ç	3065	2.9541	3.4704
42	ô	2911	2.8057	3.448
43	ï	1642	1.5826	3.1994
44	û	1586	1.5286	3.1843
45	å	1536	1.4804	3.1704
46	ú	1304	1.2568	3.0993
47	ø	1277	1.2308	3.0902
48	ÿ	1230	1.1855	3.0739
49	ì	1157	1.1151	3.0473
50	υ	1144	1.1026	3.0424
51	î	1024	0.9869	2.9943
52	ê	917	0.8838	2.9464
53	š	910	0.8771	2.943
54	ð	776	0.7479	2.8738
55	ë	749	0.7219	2.8585
56	ο	697	0.6718	2.8272
57	ý	694	0.6689	2.8254
58	ı	666	0.6419	2.8075
59	ν	575	0.5542	2.7437
60	̇	507	0.4887	2.689
61	ﬂ	395	0.3807	2.5806
62	õ	391	0.3769	2.5762
63	ş	354	0.3412	2.533
64	ﬁ	335	0.3229	2.5091
65	ò	331	0.319	2.5038
66	æ	329	0.3171	2.5012
67	μ	303	0.292	2.4654
68	ù	300	0.2891	2.461
69	þ	267	0.2573	2.4104
70	ь	262	0.2525	2.4023
71	ğ	235	0.2265	2.3551
72	œ	213	0.2053	2.3124
73	α	187	0.1802	2.2558
74	κ	178	0.1716	2.2345
75	ž	131	0.1263	2.1014
76	º	124	0.1195	2.0774
77	д	116	0.1118	2.0484
78	η	110	0.106	2.0253
79	č	100	0.0964	1.9841
