Rank	Bigram	Frequency	Frequency per million	Zipf value
1	ה$	70220222	35448.6015	7.5496
2	^א	67624763	34138.3608	7.5332
3	^ל	50975550	25733.4982	7.4105
4	^ה	50024014	25253.1434	7.4023
5	י$	48525306	24496.5651	7.3891
6	ת$	44394359	22411.1787	7.3505
7	ם$	38571045	19471.4509	7.2894
8	^מ	35640075	17991.8374	7.2551
9	^ש	30918736	15608.4091	7.1934
10	^ב	26023934	13137.4131	7.1185
11	א$	25475362	12860.4828	7.1093
12	ו$	24989856	12615.3894	7.1009
13	ר$	24001676	12116.536	7.0834
14	ל$	23406000	11815.8266	7.0725
15	ני	22682922	11450.8021	7.0588
16	את	22249037	11231.7681	7.0504
17	ן$	21802369	11006.2809	7.0416
18	ות	21651702	10930.2212	7.0386
19	ים	18556741	9367.8217	6.9716
20	^כ	16935103	8549.1857	6.9319
21	אנ	16805336	8483.6767	6.9286
22	ך$	16232464	8194.4792	6.9135
23	לא	15824366	7988.463	6.9025
24	^ע	15119242	7632.502	6.8827
25	לי	14928343	7536.1323	6.8771
26	או	14671026	7406.2334	6.8696
27	^י	14602769	7371.7759	6.8676
28	הי	13989989	7062.432	6.849
29	זה	13563573	6847.1685	6.8355
30	^ז	13070906	6598.4602	6.8194
31	יו	12953600	6539.2417	6.8155
32	יי	12947918	6536.3733	6.8153
33	של	11505395	5808.1583	6.764
34	מה	11231301	5669.79	6.7536
35	תי	11113319	5610.2303	6.749
36	נו	10869940	5487.3676	6.7394
37	ול	10867170	5485.9693	6.7393
38	לה	10795876	5449.9786	6.7364
39	רי	10531290	5316.4102	6.7256
40	ור	10381008	5240.5448	6.7194
41	^ת	10197065	5147.6866	6.7116
42	אי	10065108	5081.072	6.706
43	וא	9790733	4942.5619	6.694
44	הו	9763443	4928.7853	6.6927
45	ד$	9677140	4885.2178	6.6889
46	רו	9627340	4860.0778	6.6866
47	^ו	9592263	4842.3702	6.6851
48	תה	9427665	4759.2777	6.6775
49	^נ	9172065	4630.2456	6.6656
50	ית	8909004	4497.4471	6.653
51	ב$	8839620	4462.4206	6.6496
52	וד	8533899	4308.0864	6.6343
53	שה	8287508	4183.7032	6.6216
54	לו	8186903	4132.9158	6.6163
55	^ר	8171242	4125.0098	6.6154
56	^ח	8085021	4081.4836	6.6108
57	מו	8015421	4046.3481	6.6071
58	שי	7949586	4013.1133	6.6035
59	בי	7903898	3990.0491	6.601
60	בר	7576018	3824.5285	6.5826
61	ק$	7370566	3720.8122	6.5706
62	וב	7327594	3699.119	6.5681
63	מי	7315481	3693.0041	6.5674
64	כו	7278219	3674.1935	6.5652
65	די	7157013	3613.0063	6.5579
66	ש$	6784461	3424.9344	6.5347
67	שו	6490559	3276.5667	6.5154
68	^ק	6443126	3252.6215	6.5122
69	בו	6438930	3250.5033	6.512
70	ע$	6434825	3248.431	6.5117
71	יה	6359399	3210.3544	6.5066
72	יש	6302788	3181.776	6.5027
73	כל	6166209	3112.8282	6.4932
74	על	6098206	3078.4989	6.4883
75	חו	6042536	3050.3955	6.4844
76	לך	5915982	2986.5085	6.4752
77	יל	5827046	2941.6118	6.4686
78	תו	5764907	2910.2427	6.4639
79	שא	5551672	2802.5974	6.4476
80	עו	5376958	2714.3982	6.4337
81	מש	5224670	2637.5201	6.4212
82	^פ	5114297	2581.8015	6.4119
83	מר	4975483	2511.7254	6.4
84	קו	4968318	2508.1083	6.3993
85	רא	4945221	2496.4485	6.3973
86	ונ	4942618	2495.1345	6.3971
87	יר	4939901	2493.7629	6.3969
88	טו	4893550	2470.3639	6.3928
89	אל	4885586	2466.3435	6.3921
90	ון	4818259	2432.3555	6.386
91	נה	4784570	2415.3486	6.383
92	חי	4765487	2405.7151	6.3812
93	יכ	4723894	2384.7181	6.3774
94	ינ	4707420	2376.4017	6.3759
95	^ג	4702018	2373.6747	6.3754
96	המ	4696767	2371.0239	6.3749
97	בל	4601913	2323.1396	6.3661
98	ין	4597347	2320.8346	6.3656
99	ח$	4475725	2259.4373	6.354
100	הא	4446181	2244.5229	6.3511
101	דר	4436941	2239.8584	6.3502
102	יד	4434600	2238.6766	6.35
103	אמ	4345366	2193.6295	6.3412
104	יא	4337692	2189.7555	6.3404
105	מת	4307907	2174.7194	6.3374
106	וש	4288202	2164.7719	6.3354
107	רה	4223945	2132.3337	6.3289
108	כן	4221545	2131.1221	6.3286
109	^ס	4203758	2122.1429	6.3268
110	^ד	4193501	2116.9649	6.3257
111	אח	4177486	2108.8802	6.3241
112	למ	4113945	2076.8034	6.3174
113	שב	4073414	2056.3425	6.3131
114	ומ	3983778	2011.0925	6.3034
115	וו	3972237	2005.2663	6.3022
116	דו	3962887	2000.5463	6.3011
117	סי	3900497	1969.0505	6.2943
118	אב	3899324	1968.4584	6.2941
119	הב	3852330	1944.7348	6.2889
120	^ט	3840572	1938.7991	6.2875
