Rank	Character	Frequency	Frequency per million	Zipf value
1	י	176433931	111931.0412	8.049
2	ו	152657940	96847.3699	7.9861
3	ה	143435836	90996.7963	7.959
4	א	129714245	82291.7135	7.9154
5	ל	115752577	73434.3241	7.8659
6	ת	95590565	60643.3888	7.7828
7	ר	76591336	48590.132	7.6865
8	מ	73374007	46549.0337	7.6679
9	ש	71237997	45193.9326	7.6551
10	ב	68729372	43602.4416	7.6395
11	נ	58242854	36949.714	7.5676
12	ע	42927682	27233.6512	7.4351
13	כ	41567820	26370.9443	7.4211
14	ד	40837886	25907.8686	7.4134
15	ם	38965988	24720.3221	7.3931
16	ח	36991437	23467.6518	7.3705
17	ק	31491591	19978.5073	7.3006
18	ז	28663975	18184.6459	7.2597
19	פ	23729112	15053.9309	7.1776
20	ס	23401841	14846.3077	7.1716
21	ן	22118858	14032.3734	7.1471
22	ג	19371620	12289.5045	7.0895
23	ט	18359332	11647.3013	7.0662
24	צ	18295882	11607.0481	7.0647
25	ך	16386105	10395.4709	7.0168
26	ף	3273877	2076.9727	6.3174
27	ץ	1449165	919.3614	5.9635
28	e	606570	384.8127	5.5852
29	a	550159	349.0251	5.5429
30	o	493494	313.0764	5.4957
31	i	459361	291.4221	5.4645
32	s	446913	283.525	5.4526
33	t	396706	251.6733	5.4008
34	n	396595	251.6029	5.4007
35	r	387416	245.7797	5.3905
36	l	296844	188.3201	5.2749
37	h	248897	157.9022	5.1984
38	u	234069	148.4952	5.1717
39	d	218739	138.7697	5.1423
40	m	217366	137.8987	5.1396
41	c	217328	137.8746	5.1395
42	b	191539	121.5138	5.0846
43	f	167889	106.5101	5.0274
44	g	154262	97.865	4.9906
45	y	137090	86.9709	4.9394
46	p	131239	83.259	4.9204
47	k	118121	74.9369	4.8747
48	w	106442	67.5276	4.8295
49	v	77384	49.093	4.691
50	x	47171	29.9256	4.476
51	ּ	46129	29.2646	4.4663
52	q	44938	28.509	4.455
53	z	38171	24.216	4.3841
54	j	33484	21.2425	4.3272
55	ָ	30331	19.2422	4.2843
56	ַ	29666	18.8203	4.2746
57	ִ	28074	17.8104	4.2507
58	ֵ	27382	17.3714	4.2398
59	ְ	24838	15.7574	4.1975
60	ֹ	24000	15.2258	4.1826
61	ֶ	16290	10.3345	4.0143
62	ׁ	10190	6.4646	3.8105
63	ֲ	7786	4.9395	3.6937
64	ׂ	5108	3.2406	3.5106
65	ֱ	2275	1.4433	3.1594
66	é	847	0.5373	2.7302
67	â	725	0.4599	2.6627
68	ª	624	0.3959	2.5976
69	þ	612	0.3883	2.5892
70	ã	566	0.3591	2.5552
70	ﬠ	566	0.3591	2.5552
71	ֳ	456	0.2893	2.4613
72	á	361	0.229	2.3598
73	ֽ	315	0.1998	2.3006
74	ֻ	313	0.1986	2.298
75	װ	261	0.1656	2.2191
76	º	257	0.163	2.2122
77	î	250	0.1586	2.2003
78	ó	245	0.1554	2.1915
79	ï	194	0.1231	2.0903
80	í	187	0.1186	2.0741
81	å	183	0.1161	2.0648
82	ä	181	0.1148	2.0599
83	ñ	173	0.1098	2.0406
84	ֿ	161	0.1021	2.009
85	ֺ	152	0.0964	1.9841
86	ú	129	0.0818	1.9128
87	à	124	0.0787	1.896
88	ì	122	0.0774	1.8887
89	ü	118	0.0749	1.8745
90	ø	111	0.0704	1.8476
91	ױ	100	0.0634	1.8021
92	ײ	99	0.0628	1.798
93	è	85	0.0539	1.7316
94	æ	81	0.0514	1.711
94	μ	81	0.0514	1.711
95	ö	73	0.0463	1.6656
96	ù	67	0.0425	1.6284
97	œ	66	0.0419	1.6222
98	ェ	65	0.0412	1.6149
98	笙	65	0.0412	1.6149
99	ć	64	0.0406	1.6085
100	ł	63	0.04	1.6021
101	ç	62	0.0393	1.5944
102	ê	54	0.0343	1.5353
103	ë	46	0.0292	1.4654
104	ò	37	0.0235	1.3711
105	ż	33	0.0209	1.3201
106	ð	31	0.0197	1.2945
107	ô	29	0.0184	1.2648
107	õ	29	0.0184	1.2648
108	в	27	0.0171	1.233
109	є	26	0.0165	1.2175
110	š	25	0.0159	1.2014
110	β	25	0.0159	1.2014
111	ą	24	0.0152	1.1818
112	ę	21	0.0133	1.1239
113	τ	20	0.0127	1.1038
114	ž	19	0.0121	1.0828
114	וֹ	19	0.0121	1.0828
115	ő	18	0.0114	1.0569
115	о	18	0.0114	1.0569
116	ƒ	17	0.0108	1.0334
117	č	16	0.0102	1.0086
117	פּ	16	0.0102	1.0086
118	ş	15	0.0095	0.9777
118	בֿ	15	0.0095	0.9777
119	η	14	0.0089	0.9494
120	בּ	13	0.0082	0.9138
121	е	12	0.0076	0.8808
121	יּ	12	0.0076	0.8808
122	ව	11	0.007	0.8451
122	וּ	11	0.007	0.8451
123	đ	10	0.0063	0.7993
123	我	10	0.0063	0.7993
124	û	9	0.0057	0.7559
124	а	9	0.0057	0.7559
124	是	9	0.0057	0.7559
124	גּ	9	0.0057	0.7559
125	ś	8	0.0051	0.7076
125	的	8	0.0051	0.7076
126	ß	7	0.0044	0.6435
126	ÿ	7	0.0044	0.6435
126	с	7	0.0044	0.6435
126	ё	7	0.0044	0.6435
127	ă	6	0.0038	0.5798
127	ı	6	0.0038	0.5798
127	ţ	6	0.0038	0.5798
127	ι	6	0.0038	0.5798
127	ω	6	0.0038	0.5798
127	д	6	0.0038	0.5798
127	м	6	0.0038	0.5798
127	ය	6	0.0038	0.5798
127	不	6	0.0038	0.5798
127	אַ	6	0.0038	0.5798
128	ý	5	0.0032	0.5051
128	ة	5	0.0032	0.5051
128	ා	5	0.0032	0.5051
128	ේ	5	0.0032	0.5051
128	么	5	0.0032	0.5051
128	了	5	0.0032	0.5051
128	什	5	0.0032	0.5051
128	יִ	5	0.0032	0.5051
128	שׁ	5	0.0032	0.5051
129	ń	4	0.0025	0.3979
129	ආ	4	0.0025	0.3979
129	බ	4	0.0025	0.3979
129	ෝ	4	0.0025	0.3979
129	你	4	0.0025	0.3979
129	吗	4	0.0025	0.3979
129	有	4	0.0025	0.3979
129	这	4	0.0025	0.3979
129	פֿ	4	0.0025	0.3979
130	ű	3	0.0019	0.2788
130	α	3	0.0019	0.2788
130	г	3	0.0019	0.2788
130	ѕ	3	0.0019	0.2788
130	і	3	0.0019	0.2788
130	ソ	3	0.0019	0.2788
130	个	3	0.0019	0.2788
130	为	3	0.0019	0.2788
130	他	3	0.0019	0.2788
130	们	3	0.0019	0.2788
130	到	3	0.0019	0.2788
130	吉	3	0.0019	0.2788
130	听	3	0.0019	0.2788
130	在	3	0.0019	0.2788
130	姆	3	0.0019	0.2788
130	尔	3	0.0019	0.2788
130	着	3	0.0019	0.2788
130	美	3	0.0019	0.2788
130	那	3	0.0019	0.2788
130	אָ	3	0.0019	0.2788
130	כּ	3	0.0019	0.2788
131	µ	2	0.0013	0.1139
