Rank	Bigram	Frequency	Frequency per million	Zipf value
1	े$	117582	32749.1615	7.5152
2	^क	114748	31959.8305	7.5046
3	ा$	106183	29574.2904	7.4709
4	^ह	97835	27249.1896	7.4354
5	ं$	84690	23588.0193	7.3727
6	^म	67713	18859.5531	7.2755
7	ी$	58405	16267.0713	7.2113
8	है	55549	15471.6128	7.1895
9	र$	51921	14461.1353	7.1602
10	^स	48341	13464.0269	7.1292
11	ै$	41411	11533.8702	7.062
12	ैं	33887	9438.2715	6.9749
13	ो$	32989	9188.1588	6.9632
14	^प	32733	9116.8572	6.9598
15	^ब	30692	8548.394	6.9319
16	या	30196	8410.2472	6.9248
17	^ल	27711	7718.1202	6.8875
18	^न	27160	7564.6547	6.8788
19	^ज	26561	7397.8201	6.8691
20	के	25828	7193.6635	6.857
21	^त	25636	7140.1873	6.8537
22	क$	25584	7125.7042	6.8528
23	^आ	25210	7021.537	6.8464
24	ें	24982	6958.034	6.8425
25	ही	23418	6522.4257	6.8144
26	मे	23304	6490.6743	6.8123
27	^अ	23002	6406.5606	6.8066
28	ह$	22508	6268.9708	6.7972
29	ने	22136	6165.3607	6.79
30	ार	22041	6138.9011	6.7881
31	कर	22028	6135.2803	6.7878
32	म$	21908	6101.8577	6.7855
33	न$	21888	6096.2872	6.7851
34	^र	21646	6028.8849	6.7802
35	^व	21542	5999.9187	6.7781
36	हा	21360	5949.2277	6.7745
37	^द	20768	5784.3427	6.7623
38	ता	20573	5730.031	6.7582
39	मै	20372	5674.0481	6.7539
40	से	19859	5531.1663	6.7428
41	्य	19405	5404.7174	6.7328
42	^य	19197	5346.7848	6.7281
43	कि	18553	5167.4167	6.7133
44	ीं	18118	5046.2597	6.703
45	क्	17539	4884.9955	6.6889
46	नह	17282	4813.4154	6.6825
47	त$	17048	4748.2413	6.6765
48	ना	15778	4394.5185	6.6429
49	रह	15315	4265.5628	6.63
50	ए$	15158	4221.8349	6.6255
51	^ए	15122	4211.8081	6.6245
52	ान	14929	4158.0534	6.6189
53	हो	14742	4105.9698	6.6134
54	जा	14605	4067.8123	6.6094
55	का	14599	4066.1412	6.6092
56	रे	14438	4021.2991	6.6044
57	स$	14381	4005.4234	6.6026
58	तु	14309	3985.3698	6.6005
59	ुम	14179	3949.162	6.5965
60	ँ$	14100	3927.1587	6.5941
61	प$	14021	3905.1555	6.5916
62	आप	14014	3903.2058	6.5914
63	^च	13828	3851.4008	6.5856
64	लि	13725	3822.713	6.5824
65	यह	13647	3800.9883	6.5799
66	एक	13387	3728.5726	6.5715
67	^उ	13386	3728.2941	6.5715
68	को	13073	3641.1167	6.5612
69	िए	12923	3599.3385	6.5562
70	ल$	12472	3473.7251	6.5408
71	ि$	12072	3362.3163	6.5266
72	की	12045	3354.7962	6.5257
73	्र	11719	3263.9981	6.5137
74	ों	11603	3231.6896	6.5094
75	ते	11571	3222.7769	6.5082
76	वा	11567	3221.6628	6.5081
77	रा	11400	3175.1496	6.5018
78	िय	11307	3149.2471	6.4982
79	मा	11236	3129.472	6.4955
80	हम	10956	3051.4859	6.4845
81	र्	10779	3002.1875	6.4774
82	^ग	10542	2936.1778	6.4678
83	ले	10393	2894.6781	6.4616
84	हे	10272	2860.9769	6.4565
85	और	10059	2801.6517	6.4474
86	^भ	10056	2800.8162	6.4473
87	^इ	10055	2800.5377	6.4472
88	^औ	10031	2793.8531	6.4462
89	सा	9645	2686.3437	6.4292
90	बा	9554	2660.9982	6.425
91	स्	9373	2610.5857	6.4167
92	ाँ	9332	2599.1663	6.4148
93	^थ	9074	2527.3077	6.4027
94	मु	9056	2522.2943	6.4018
95	सक	8853	2465.7543	6.3919
96	री	8824	2457.6772	6.3905
97	भी	8625	2402.2513	6.3806
98	ला	8547	2380.5266	6.3767
99	ाह	8493	2365.4865	6.3739
100	पर	8480	2361.8657	6.3733
101	ब$	8468	2358.5234	6.3726
102	वह	8081	2250.7354	6.3523
103	दे	8041	2239.5946	6.3502
104	चा	7993	2226.2255	6.3476
105	ेर	7824	2179.1553	6.3383
106	ड़	7742	2156.3165	6.3337
107	गा	7600	2116.7664	6.3257
108	द$	7598	2116.2094	6.3256
109	ुझ	7486	2085.0149	6.3191
110	्त	7164	1995.3309	6.3
111	ात	7146	1990.3175	6.2989
112	पन	7116	1981.9618	6.2971
113	इस	7112	1980.8477	6.2969
114	उस	7052	1964.1364	6.2932
115	्ह	6989	1946.5895	6.2893
116	ाल	6930	1930.1567	6.2856
117	झे	6920	1927.3715	6.285
118	^श	6700	1866.0967	6.2709
119	^ख	6677	1859.6907	6.2694
120	अप	6676	1859.4122	6.2694
121	था	6640	1849.3854	6.267
122	िल	6604	1839.3586	6.2647
123	रन	6494	1808.7212	6.2574
124	प्	6467	1801.2011	6.2556
125	हू	6412	1785.8824	6.2519
126	म्	6397	1781.7046	6.2508
127	नी	5750	1601.5009	6.2045
128	ूँ	5717	1592.3097	6.202
129	िन	5691	1585.0681	6.2
130	ई$	5644	1571.9776	6.1964
131	कत	5637	1570.0279	6.1959
132	रत	5626	1566.9642	6.1951
133	य$	5546	1544.6824	6.1888
134	िक	5508	1534.0986	6.1859
135	ोग	5463	1521.5651	6.1823
136	रो	5297	1475.3305	6.1689
137	कह	5272	1468.3674	6.1668
138	ंग	5258	1464.4681	6.1657
139	लो	5219	1453.6058	6.1624
140	दि	5191	1445.8072	6.1601
141	ट$	5134	1429.9314	6.1553
142	ित	5105	1421.8543	6.1529
143	यो	5101	1420.7402	6.1525
144	मि	5028	1400.4081	6.1463
145	कु	4858	1353.0594	6.1313
146	ाद	4839	1347.7675	6.1296
147	हत	4819	1342.197	6.1278
148	न्	4771	1328.828	6.1235
149	िर	4755	1324.3716	6.122
150	त्	4691	1306.5462	6.1161
151	पा	4671	1300.9758	6.1143
152	हु	4635	1290.949	6.1109
153	ंद	4559	1269.7813	6.1037
154	ां	4527	1260.8686	6.1007
155	ास	4525	1260.3116	6.1005
156	ीक	4494	1251.6774	6.0975
157	तो	4472	1245.5499	6.0954
158	ाम	4417	1230.2312	6.09
159	तर	4402	1226.0534	6.0885
160	^फ	4367	1216.3051	6.085
161	ग$	4333	1206.8354	6.0816
162	सम	4331	1206.2783	6.0814
163	ाय	4313	1201.2649	6.0796
164	्ट	4225	1176.755	6.0707
165	रि	4223	1176.198	6.0705
166	ूर	4160	1158.6511	6.064
167	िस	4111	1145.0035	6.0588
168	नि	4108	1144.1679	6.0585
169	ेक	4052	1128.5707	6.0525
170	ेख	4021	1119.9365	6.0492
171	वि	3997	1113.252	6.0466
172	छ$	3971	1106.0104	6.0438
173	ओ$	3958	1102.3897	6.0423
174	ाओ	3897	1085.3998	6.0356
175	शा	3872	1078.4368	6.0328
176	रू	3866	1076.7656	6.0321
177	गय	3858	1074.5375	6.0312
178	चल	3831	1067.0174	6.0282
179	लग	3828	1066.1818	6.0278
180	ुछ	3816	1062.8396	6.0265
181	ाथ	3810	1061.1684	6.0258
182	थ$	3795	1056.9906	6.0241
183	सी	3788	1055.0409	6.0233
184	च्	3767	1049.192	6.0209
185	्व	3763	1048.0779	6.0204
186	वे	3730	1038.8867	6.0166
187	ुर	3646	1015.4908	6.0067
188	हर	3639	1013.5412	6.0058
189	^ड	3607	1004.6285	6.002
190	^ठ	3602	1003.2359	6.0014
191	ती	3587	999.058	5.9996
192	पत	3573	995.1587	5.9979
193	ठी	3498	974.2696	5.9887
194	उन	3443	958.9509	5.9818
195	ति	3386	943.0751	5.9745
196	गे	3378	940.847	5.9735
197	दा	3370	938.6188	5.9725
198	्म	3244	903.525	5.9559
199	हि	3239	902.1324	5.9553
200	ैस	3196	890.156	5.9495
201	ली	3164	881.2433	5.9451
202	्ष	3153	878.1795	5.9436
203	दो	3144	875.6728	5.9423
204	खा	3110	866.2031	5.9376
205	पक	3086	859.5186	5.9343
206	ोन	2978	829.4382	5.9188
207	मी	2969	826.9315	5.9175
208	़$	2964	825.5389	5.9167
