Rank	Character	Frequency	Frequency per million	Zipf value
1	ा	230460	82166.4621	7.9147
2	ह	188471	67196.0222	7.8273
3	क	180526	64363.3721	7.8086
4	े	178112	63502.7029	7.8028
5	र	151943	54172.6059	7.7338
6	म	118801	42356.4083	7.6269
7	ं	111805	39862.1075	7.6006
8	न	103816	37013.77	7.5684
9	ी	96286	34329.0809	7.5357
10	स	95245	33957.9306	7.5309
11	त	92587	33010.2674	7.5186
12	ै	85129	30351.2486	7.4822
13	्	83725	29850.6771	7.475
14	ि	81518	29063.81	7.4634
15	ो	71445	25472.4589	7.4061
16	ल	70753	25225.7385	7.4018
17	प	66259	23623.4818	7.3733
18	य	65560	23374.2656	7.3687
19	ु	49837	17768.5064	7.2497
20	ब	45990	16396.9261	7.2148
21	द	43165	15389.722	7.1872
22	व	39864	14212.8085	7.1527
23	ज	38814	13838.4495	7.1411
24	ग	37633	13417.3847	7.1277
25	ए	33442	11923.1573	7.0764
26	च	27007	9628.8711	6.9836
27	आ	26926	9599.992	6.9823
28	अ	23639	8428.0699	6.9257
29	ू	22397	7985.2567	6.9023
30	ट	16912	6029.6763	6.7803
31	श	16759	5975.1269	6.7763
32	ड	16543	5898.1159	6.7707
33	भ	16467	5871.0194	6.7687
34	ँ	16185	5770.4773	6.7612
35	ख	15780	5626.0816	6.7502
36	थ	15209	5422.5016	6.7342
37	उ	14078	5019.2634	6.7006
38	इ	12325	4394.2621	6.6429
39	़	11872	4232.7529	6.6266
40	छ	10776	3841.9934	6.5846
41	औ	10112	3605.2559	6.5569
42	a	9649	3440.1813	6.5366
43	फ	9592	3419.859	6.534
44	झ	9125	3253.3584	6.5123
45	e	8965	3196.3132	6.5046
46	ध	7308	2605.5389	6.4159
47	r	6932	2471.4828	6.393
48	ओ	6669	2377.7147	6.3762
49	ई	6308	2249.0065	6.352
50	n	6256	2230.4668	6.3484
51	i	6037	2152.3862	6.3329
52	o	5863	2090.3496	6.3202
53	ष	5803	2068.9576	6.3158
54	ठ	5663	2019.0431	6.3051
55	s	5591	1993.3728	6.2996
56	t	4764	1698.5205	6.2301
57	h	4710	1679.2677	6.2251
58	l	4039	1440.0345	6.1584
59	k	3995	1424.347	6.1536
60	m	3593	1281.021	6.1076
61	ॉ	3570	1272.8207	6.1048
62	ण	3300	1176.557	6.0706
63	u	3261	1162.6522	6.0654
64	ौ	3218	1147.3213	6.0597
65	d	3022	1077.441	6.0324
66	घ	2939	1047.8488	6.0203
67	p	2484	885.6265	5.9473
68	c	2356	839.9904	5.9243
69	y	2208	787.2236	5.8961
70	g	2157	769.0404	5.8859
71	ृ	2097	747.6485	5.8737
72	b	1716	611.8096	5.7866
73	ढ	1459	520.1808	5.7162
74	ऐ	1299	463.1356	5.6657
75	v	1149	409.6558	5.6124
76	ṇ	1111	396.1075	5.5978
77	ऊ	1058	377.2113	5.5766
78	f	959	341.9146	5.5339
79	w	938	334.4274	5.5243
80	é	924	329.436	5.5178
81	ड़	909	324.088	5.5107
82	í	804	286.6521	5.4574
83	j	764	272.3908	5.4352
84	ज़	644	229.6069	5.361
85	फ़	634	226.0416	5.3542
86	z	410	146.1783	5.1649
87	ö	386	137.6215	5.1387
88	á	346	123.3602	5.0912
89	ऑ	318	113.3773	5.0545
90	x	292	104.1075	5.0175
91	ञ	285	101.6117	5.0069
92	ढ़	182	64.8889	4.8122
93	ú	178	63.4628	4.8025
94	ť	174	62.0366	4.7926
95	ś	163	58.1148	4.7643
96	đ	154	54.906	4.7396
97	ŧ	146	52.0537	4.7165
97	ƀ	146	52.0537	4.7165
98	ṃ	141	50.2711	4.7013
99	ó	115	41.0012	4.6128
100	ख़	106	37.7924	4.5774
101	ç	91	32.4445	4.5111
101	ş	91	32.4445	4.5111
102	ď	88	31.3749	4.4966
103	q	84	29.9487	4.4764
103	ń	84	29.9487	4.4764
104	ā	71	25.3138	4.4034
104	ɉ	71	25.3138	4.4034
105	क़	56	19.9658	4.3003
106	ः	53	18.8962	4.2764
107	ऋ	49	17.4701	4.2423
108	ŕ	40	14.2613	4.1542
109	ग़	38	13.5482	4.1319
110	è	34	12.1221	4.0836
111	ṭ	33	11.7656	4.0706
112	æ	32	11.409	4.0572
112	ē	32	11.409	4.0572
113	ţ	28	9.9829	3.9993
114	š	25	8.9133	3.95
115	ḍ	23	8.2002	3.9138
116	ν	20	7.1306	3.8531
117	ô	19	6.7741	3.8309
118	ō	17	6.0611	3.7826
119	ව	11	3.9219	3.5935
120	ǵ	10	3.5653	3.5521
121	ऩ	9	3.2088	3.5063
121	ᶁ	9	3.2088	3.5063
122	ı	8	2.8523	3.4552
122	ū	8	2.8523	3.4552
122	ॆ	8	2.8523	3.4552
123	ॅ	7	2.4957	3.3972
123	ṁ	7	2.4957	3.3972
124	ය	6	2.1392	3.3303
125	à	5	1.7827	3.2511
125	ා	5	1.7827	3.2511
125	ේ	5	1.7827	3.2511
126	ü	4	1.4261	3.1541
126	ī	4	1.4261	3.1541
126	ǣ	4	1.4261	3.1541
126	ॊ	4	1.4261	3.1541
126	ආ	4	1.4261	3.1541
126	බ	4	1.4261	3.1541
126	ෝ	4	1.4261	3.1541
