Rank	Character	Frequency	Frequency per million	Zipf value
1	e	251750426	106896.2155	8.029
2	a	206052285	87492.2431	7.942
3	t	176268964	74845.8919	7.8742
4	n	162238295	68888.3035	7.8381
5	l	136015950	57753.9849	7.7616
6	s	120835228	51308.0704	7.7102
7	m	116698789	49551.6893	7.6951
8	k	112912982	47944.1908	7.6807
9	o	104366360	44315.1938	7.6466
10	i	103292323	43859.1449	7.6421
11	g	91987908	39059.1563	7.5917
12	z	90067323	38243.6532	7.5826
13	r	89546660	38022.5735	7.58
14	é	66253212	28131.8993	7.4492
15	d	61523035	26123.4101	7.417
16	á	61211750	25991.2348	7.4148
17	y	60100986	25519.5912	7.4069
18	h	47372492	20114.9217	7.3035
19	v	45989912	19527.8619	7.2907
20	b	41515591	17628.0121	7.2462
21	j	32247755	13692.7791	7.1365
22	u	26259239	11149.9842	7.0473
23	ö	22085315	9377.6866	6.9721
24	c	21807779	9259.8415	6.9666
25	p	19003677	8069.1866	6.9068
26	f	18822928	7992.4384	6.9027
27	ó	18041806	7660.7647	6.8843
28	ő	14656055	6223.1347	6.794
29	ü	13514826	5738.5553	6.7588
30	í	10281282	4365.5542	6.64
31	ú	6503442	2761.4386	6.4411
32	ű	3177719	1349.2972	6.1301
33	w	1543047	655.196	5.8164
34	x	770631	327.2191	5.5148
35	q	130806	55.5418	4.7446
36	õ	64644	27.4486	4.4385
37	ă	31329	13.3027	4.1239
38	ô	16822	7.1428	3.8539
39	û	13820	5.8681	3.7685
40	š	9560	4.0593	3.6085
41	ˇ	9414	3.9973	3.6018
42	ą	9197	3.9052	3.5916
43	ş	6401	2.7179	3.4342
44	â	6371	2.7052	3.4322
45	ě	5747	2.4402	3.3874
46	ŕ	5376	2.2827	3.3584
47	ä	3853	1.636	3.2138
48	ł	3235	1.3736	3.1379
49	ĺ	2964	1.2585	3.0999
50	ń	2957	1.2556	3.0989
51	ś	2930	1.2441	3.0949
52	å	2626	1.115	3.0473
53	ź	1896	0.8051	2.9058
54	č	1814	0.7702	2.8866
55	ç	1284	0.5452	2.7366
56	い	1172	0.4976	2.6969
57	ж	1167	0.4955	2.695
58	ň	1154	0.49	2.6902
59	р	1145	0.4862	2.6868
60	の	1070	0.4543	2.6573
61	て	988	0.4195	2.6227
62	î	746	0.3168	2.5008
63	ш	706	0.2998	2.4768
64	た	704	0.2989	2.4755
65	な	675	0.2866	2.4573
66	ñ	662	0.2811	2.4489
67	る	615	0.2611	2.4168
68	く	588	0.2497	2.3974
69	ë	587	0.2492	2.3965
70	し	583	0.2475	2.3936
71	に	574	0.2437	2.3869
71	を	574	0.2437	2.3869
72	れ	569	0.2416	2.3831
73	à	543	0.2306	2.3629
74	ż	540	0.2293	2.3604
75	は	502	0.2132	2.3288
76	も	467	0.1983	2.2973
77	ら	444	0.1885	2.2753
78	η	431	0.183	2.2625
79	う	427	0.1813	2.2584
80	か	410	0.1741	2.2408
81	り	405	0.172	2.2355
82	で	374	0.1588	2.2009
83	ß	370	0.1571	2.1962
84	が	362	0.1537	2.1867
85	と	355	0.1507	2.1781
86	ま	341	0.1448	2.1608
87	ć	336	0.1427	2.1544
88	ž	322	0.1367	2.1358
89	ý	316	0.1342	2.1278
90	ř	315	0.1338	2.1265
91	え	313	0.1329	2.1235
92	っ	307	0.1304	2.1153
93	ţ	304	0.1291	2.1109
94	ν	297	0.1261	2.1007
95	け	295	0.1253	2.098
96	だ	294	0.1248	2.0962
97	ч	287	0.1219	2.086
98	з	278	0.118	2.0719
99	き	275	0.1168	2.0674
100	ů	273	0.1159	2.0641
101	ο	272	0.1155	2.0626
102	よ	269	0.1142	2.0577
103	ę	265	0.1125	2.0512
104	め	238	0.1011	2.0048
105	κ	229	0.0972	1.9877
106	ﬁ	224	0.0951	1.9782
107	ό	223	0.0947	1.9763
108	ľ	206	0.0875	1.942
109	そ	204	0.0866	1.9375
110	ん	201	0.0853	1.9309
111	こ	200	0.0849	1.9289
112	あ	198	0.0841	1.9248
113	さ	186	0.079	1.8976
113	日	186	0.079	1.8976
114	ō	176	0.0747	1.8733
115	ț	174	0.0739	1.8686
116	τ	168	0.0713	1.8531
117	ь	164	0.0696	1.8426
117	つ	164	0.0696	1.8426
118	ș	163	0.0692	1.8401
119	υ	160	0.0679	1.8319
120	ť	159	0.0675	1.8293
120	君	159	0.0675	1.8293
121	ば	154	0.0654	1.8156
122	đ	148	0.0628	1.798
123	è	146	0.062	1.7924
124	а	145	0.0616	1.7896
124	щ	145	0.0616	1.7896
125	す	144	0.0611	1.786
126	ď	143	0.0607	1.7832
127	出	142	0.0603	1.7803
128	ち	141	0.0599	1.7774
129	ø	127	0.0539	1.7316
130	人	116	0.0493	1.6928
131	ί	110	0.0467	1.6693
132	明	107	0.0454	1.6571
133	β	103	0.0437	1.6405
133	わ	103	0.0437	1.6405
134	ū	102	0.0433	1.6365
135	ー	100	0.0425	1.6284
135	何	100	0.0425	1.6284
136	м	99	0.042	1.6232
137	ı	98	0.0416	1.6191
138	じ	95	0.0403	1.6053
138	ど	95	0.0403	1.6053
139	空	94	0.0399	1.601
140	度	92	0.0391	1.5922
141	遠	91	0.0386	1.5866
142	み	87	0.0369	1.567
142	進	87	0.0369	1.567
143	手	85	0.0361	1.5575
143	界	85	0.0361	1.5575
144	ã	84	0.0357	1.5527
144	今	84	0.0357	1.5527
145	せ	83	0.0352	1.5465
145	撃	83	0.0352	1.5465
146	ず	82	0.0348	1.5416
147	巨	80	0.034	1.5315
147	抱	80	0.034	1.5315
148	中	78	0.0331	1.5198
148	僕	78	0.0331	1.5198
149	夜	74	0.0314	1.4969
150	世	73	0.031	1.4914
150	愛	73	0.031	1.4914
151	溢	70	0.0297	1.4728
152	µ	69	0.0293	1.4669
152	合	69	0.0293	1.4669
153	о	68	0.0289	1.4609
153	涙	68	0.0289	1.4609
154	声	66	0.028	1.4472
154	想	66	0.028	1.4472
155	気	65	0.0276	1.4409
156	æ	64	0.0272	1.4346
157	見	63	0.0268	1.4281
158	願	62	0.0263	1.42
159	二	61	0.0259	1.4133
159	目	61	0.0259	1.4133
160	へ	60	0.0255	1.4065
160	胸	60	0.0255	1.4065
161	ê	59	0.0251	1.3997
161	т	59	0.0251	1.3997
162	強	58	0.0246	1.3909
162	熱	58	0.0246	1.3909
163	ª	57	0.0242	1.3838
163	伸	57	0.0242	1.3838
164	ゃ	56	0.0238	1.3766
164	夢	56	0.0238	1.3766
165	鳴	54	0.0229	1.3598
166	思	52	0.0221	1.3444
166	消	52	0.0221	1.3444
167	闇	51	0.0217	1.3365
168	α	50	0.0212	1.3263
168	ゆ	50	0.0212	1.3263
168	響	50	0.0212	1.3263
169	ā	48	0.0204	1.3096
169	ㅡ	48	0.0204	1.3096
169	光	48	0.0204	1.3096
170	μ	47	0.02	1.301
170	ろ	47	0.02	1.301
171	げ	46	0.0195	1.29
171	び	46	0.0195	1.29
171	ぶ	46	0.0195	1.29
171	高	46	0.0195	1.29
172	н	45	0.0191	1.281
172	々	45	0.0191	1.281
173	向	44	0.0187	1.2718
173	知	44	0.0187	1.2718
174	叶	43	0.0183	1.2625
174	自	43	0.0183	1.2625
174	行	43	0.0183	1.2625
175	望	42	0.0178	1.2504
175	覚	42	0.0178	1.2504
176	ラ	41	0.0174	1.2405
176	リ	41	0.0174	1.2405
176	裂	41	0.0174	1.2405
177	様	40	0.017	1.2304
178	神	39	0.0166	1.2201
178	誰	39	0.0166	1.2201
178	震	39	0.0166	1.2201
179	к	38	0.0161	1.2068
179	ひ	38	0.0161	1.2068
179	分	38	0.0161	1.2068
179	守	38	0.0161	1.2068
179	忘	38	0.0161	1.2068
179	祈	38	0.0161	1.2068
180	や	37	0.0157	1.1959
181	ス	36	0.0153	1.1847
181	永	36	0.0153	1.1847
182	コ	35	0.0149	1.1732
182	感	35	0.0149	1.1732
183	心	34	0.0144	1.1584
183	振	34	0.0144	1.1584
183	来	34	0.0144	1.1584
183	生	34	0.0144	1.1584
184	ỳ	33	0.014	1.1461
184	変	33	0.014	1.1461
184	憧	33	0.014	1.1461
184	越	33	0.014	1.1461
185	ご	32	0.0136	1.1335
185	ン	32	0.0136	1.1335
185	動	32	0.0136	1.1335
185	希	32	0.0136	1.1335
185	絶	32	0.0136	1.1335
186	ね	31	0.0132	1.1206
186	バ	31	0.0132	1.1206
186	実	31	0.0132	1.1206
187	ぬ	30	0.0127	1.1038
187	一	30	0.0127	1.1038
187	抜	30	0.0127	1.1038
187	浮	30	0.0127	1.1038
188	ぜ	29	0.0123	1.0899
188	シ	29	0.0123	1.0899
188	持	29	0.0123	1.0899
188	楽	29	0.0123	1.0899
188	間	29	0.0123	1.0899
189	ư	28	0.0119	1.0755
189	ε	28	0.0119	1.0755
189	с	28	0.0119	1.0755
189	叫	28	0.0119	1.0755
189	揺	28	0.0119	1.0755
189	星	28	0.0119	1.0755
189	映	28	0.0119	1.0755
189	歌	28	0.0119	1.0755
189	葉	28	0.0119	1.0755
189	言	28	0.0119	1.0755
189	運	28	0.0119	1.0755
190	カ	27	0.0115	1.0607
190	パ	27	0.0115	1.0607
190	命	27	0.0115	1.0607
190	小	27	0.0115	1.0607
191	ト	26	0.011	1.0414
191	ワ	26	0.011	1.0414
191	時	26	0.011	1.0414
191	片	26	0.011	1.0414
191	罪	26	0.011	1.0414
191	醒	26	0.011	1.0414
191	風	26	0.011	1.0414
192	ロ	25	0.0106	1.0253
192	会	25	0.0106	1.0253
192	受	25	0.0106	1.0253
192	由	25	0.0106	1.0253
192	眠	25	0.0106	1.0253
192	終	25	0.0106	1.0253
192	虚	25	0.0106	1.0253
192	連	25	0.0106	1.0253
193	ぎ	24	0.0102	1.0086
193	ル	24	0.0102	1.0086
193	上	24	0.0102	1.0086
193	真	24	0.0102	1.0086
193	私	24	0.0102	1.0086
193	立	24	0.0102	1.0086
193	舞	24	0.0102	1.0086
193	走	24	0.0102	1.0086
193	追	24	0.0102	1.0086
194	е	23	0.0098	0.9912
194	べ	23	0.0098	0.9912
194	全	23	0.0098	0.9912
194	切	23	0.0098	0.9912
194	影	23	0.0098	0.9912
194	憶	23	0.0098	0.9912
194	打	23	0.0098	0.9912
194	有	23	0.0098	0.9912
194	求	23	0.0098	0.9912
194	深	23	0.0098	0.9912
194	確	23	0.0098	0.9912
194	笑	23	0.0098	0.9912
194	頬	23	0.0098	0.9912
195	キ	22	0.0093	0.9685
196	ù	21	0.0089	0.9494
196	ぐ	21	0.0089	0.9494
196	ゅ	21	0.0089	0.9494
196	信	21	0.0089	0.9494
196	悲	21	0.0089	0.9494
196	昨	21	0.0089	0.9494
196	落	21	0.0089	0.9494
196	解	21	0.0089	0.9494
196	過	21	0.0089	0.9494
196	ﬂ	21	0.0089	0.9494
197	右	20	0.0085	0.9294
197	太	20	0.0085	0.9294
197	照	20	0.0085	0.9294
197	物	20	0.0085	0.9294
197	語	20	0.0085	0.9294
197	足	20	0.0085	0.9294
197	青	20	0.0085	0.9294
197	音	20	0.0085	0.9294
198	ク	19	0.0081	0.9085
198	果	19	0.0081	0.9085
198	歪	19	0.0081	0.9085
198	理	19	0.0081	0.9085
198	背	19	0.0081	0.9085
198	跡	19	0.0081	0.9085
199	ạ	18	0.0076	0.8808
199	入	18	0.0076	0.8808
199	始	18	0.0076	0.8808
199	未	18	0.0076	0.8808
199	答	18	0.0076	0.8808
199	陽	18	0.0076	0.8808
199	黒	18	0.0076	0.8808
200	ò	17	0.0072	0.8573
200	ほ	17	0.0072	0.8573
200	イ	17	0.0072	0.8573
200	ッ	17	0.0072	0.8573
200	差	17	0.0072	0.8573
200	引	17	0.0072	0.8573
200	無	17	0.0072	0.8573
200	羽	17	0.0072	0.8573
200	道	17	0.0072	0.8573
200	降	17	0.0072	0.8573
200	駆	17	0.0072	0.8573
201	ì	16	0.0068	0.8325
201	ピ	16	0.0068	0.8325
201	天	16	0.0068	0.8325
201	情	16	0.0068	0.8325
201	探	16	0.0068	0.8325
201	握	16	0.0068	0.8325
201	止	16	0.0068	0.8325
201	現	16	0.0068	0.8325
201	続	16	0.0068	0.8325
201	踏	16	0.0068	0.8325
201	輝	16	0.0068	0.8325
202	в	15	0.0064	0.8062
202	ふ	15	0.0064	0.8062
202	体	15	0.0064	0.8062
202	場	15	0.0064	0.8062
202	届	15	0.0064	0.8062
202	慣	15	0.0064	0.8062
202	月	15	0.0064	0.8062
202	瞬	15	0.0064	0.8062
202	者	15	0.0064	0.8062
202	花	15	0.0064	0.8062
202	込	15	0.0064	0.8062
202	遊	15	0.0064	0.8062
202	飛	15	0.0064	0.8062
203	ơ	14	0.0059	0.7709
203	у	14	0.0059	0.7709
203	ダ	14	0.0059	0.7709
