Rank	Character	Frequency	Frequency per million	Zipf value
1	a	4167059	98999.9296	7.9956
2	r	3546667	84260.814	7.9256
3	i	3237238	76909.4784	7.886
4	e	3008171	71467.3627	7.8541
5	n	2981164	70825.7373	7.8502
6	t	2316096	55025.2206	7.7406
7	u	1859641	44180.8786	7.6452
8	g	1824750	43351.9471	7.637
9	s	1794235	42626.9795	7.6297
10	đ	1763383	41894.0055	7.6222
11	l	1705926	40528.9567	7.6078
12	k	1556908	36988.6249	7.5681
13	m	1407181	33431.4489	7.5242
14	v	1140781	27102.3853	7.433
15	h	1099950	26132.3328	7.4172
16	f	1080674	25674.3785	7.4095
17	ū	935847	22233.6154	7.347
18	o	762746	18121.1258	7.2582
19	é	660958	15702.8723	7.196
20	á	631297	14998.1938	7.176
21	d	586407	13931.7086	7.144
22	í	554566	13175.2382	7.1198
23	j	470559	11179.4212	7.0484
24	ú	413580	9825.7286	6.9924
25	b	406668	9661.5151	6.985
26	y	402731	9567.9808	6.9808
27	p	321100	7628.6123	6.8824
28	æ	319746	7596.4443	6.8806
29	ķ	256078	6083.8361	6.7842
30	ð	245727	5837.9197	6.7663
31	ö	243149	5776.6722	6.7617
32	þ	128394	3050.352	6.4843
33	c	69230	1644.7488	6.2161
34	ũ	59925	1423.6829	6.1534
35	ó	37108	881.6024	5.9453
36	w	24054	571.4688	5.757
37	x	19994	475.0124	5.6767
38	z	8425	200.159	5.3014
39	ý	8355	198.496	5.2978
40	õ	8322	197.712	5.296
41	ō	5274	125.2984	5.0979
42	ą	3825	90.8734	4.9584
43	ā	3584	85.1478	4.9302
44	ô	2667	63.3619	4.8018
45	ä	2365	56.1871	4.7496
46	q	1805	42.8827	4.6323
47	č	1445	34.3299	4.5357
48	ü	1088	25.8484	4.4124
49	ų	980	23.2826	4.367
50	â	886	21.0494	4.3232
51	ğ	643	15.2762	4.184
52	ž	613	14.5635	4.1633
53	ş	379	9.0042	3.9544
54	ė	375	8.9092	3.9498
55	ę	183	4.3477	3.6383
56	ë	140	3.3261	3.5219
57	ņ	96	2.2807	3.3581
58	î	92	2.1857	3.3396
59	è	79	1.8769	3.2734
60	å	72	1.7106	3.2331
61	à	55	1.3067	3.1162
62	ı	23	0.5464	2.7375
63	ŋ	18	0.4276	2.631
64	ē	15	0.3564	2.5519
65	ñ	11	0.2613	2.4171
66	ø	10	0.2376	2.3758
67	ˇ	6	0.1425	2.1538
68	į	5	0.1188	2.0748
69	û	3	0.0713	1.8531
70	ã	2	0.0475	1.6767
70	ī	2	0.0475	1.6767
70	ŗ	2	0.0475	1.6767
71	ï	1	0.0238	1.3766
71	š	1	0.0238	1.3766
