Rank	Bigram	Frequency	Frequency per million	Zipf value
1	an	26424658	40052.4688	7.6026
2	a$	22173761	33609.2853	7.5265
3	u$	15773657	23908.4988	7.3786
4	ka	15438133	23399.9373	7.3692
5	n$	15046713	22806.6529	7.3581
6	ng	13372554	20269.0911	7.3068
7	ak	13078802	19823.8444	7.2972
8	i$	12539595	19006.5558	7.2789
9	^k	11459594	17369.5732	7.2398
10	^a	11456307	17364.591	7.2397
11	^m	11407303	17290.3145	7.2378
12	^s	10308568	15624.9363	7.1938
13	da	9528226	14442.1538	7.1596
14	er	9460179	14339.0134	7.1565
15	^d	9235712	13998.7835	7.1461
16	^t	9188480	13927.1929	7.1439
17	^b	9064000	13738.5156	7.1379
18	en	8893435	13479.9863	7.1297
19	ya	8733083	13236.937	7.1218
20	ta	8313098	12600.356	7.1004
21	me	8093855	12268.0443	7.0888
22	la	7385298	11194.068	7.049
23	ku	7232173	10961.9728	7.0399
24	ar	7071109	10717.8444	7.0301
25	ah	6839554	10366.8711	7.0156
26	in	6831599	10354.8135	7.0151
27	h$	6559717	9942.7156	6.9975
28	k$	6535473	9905.9684	6.9959
29	g$	6521971	9885.5031	6.995
30	at	6275455	9511.8531	6.9783
31	pa	6135360	9299.5079	6.9685
32	^p	5967921	9045.7167	6.9564
33	di	5844990	8859.3873	6.9474
34	sa	5834776	8843.9057	6.9466
35	ma	5699449	8638.7874	6.9365
36	tu	5465557	8284.2719	6.9183
37	se	5353254	8114.0516	6.9092
38	ga	5096857	7725.4247	6.8879
39	ra	5050524	7655.1967	6.884
40	al	4952260	7506.2557	6.8754
41	ti	4830227	7321.2874	6.8646
42	^i	4824392	7312.4432	6.8641
43	ny	4789554	7259.6384	6.8609
44	ap	4652810	7052.3723	6.8483
45	be	4644023	7039.0537	6.8475
46	ba	4609722	6987.0629	6.8443
47	em	4435667	6723.2436	6.8276
48	na	4382080	6642.0206	6.8223
49	am	4368452	6621.3643	6.8209
50	it	4319991	6547.9108	6.8161
51	un	4161977	6308.4053	6.7999
52	ha	4094830	6206.6291	6.7929
53	ia	3854559	5842.4447	6.7666
54	pe	3841837	5823.1617	6.7652
55	au	3775364	5722.407	6.7576
56	ri	3749875	5683.7728	6.7546
57	t$	3748661	5681.9327	6.7545
58	mu	3728735	5651.7304	6.7522
59	ke	3724245	5644.9248	6.7517
60	te	3599864	5456.3976	6.7369
61	uk	3541152	5367.4065	6.7298
62	ik	3434235	5205.3499	6.7164
63	^y	3416565	5178.567	6.7142
64	el	3313516	5022.3733	6.7009
65	ad	3276048	4965.5822	6.696
66	r$	3157709	4786.213	6.68
67	ni	3150638	4775.4953	6.679
68	ja	3119003	4727.5454	6.6746
69	si	3065890	4647.0408	6.6672
70	as	3030147	4592.8643	6.6621
71	nt	2954367	4478.0028	6.6511
72	^h	2910435	4411.414	6.6446
73	li	2798691	4242.041	6.6276
74	ki	2779579	4213.0725	6.6246
75	^l	2728757	4136.0405	6.6166
76	ai	2561300	3882.222	6.5891
77	ua	2547124	3860.7351	6.5867
78	s$	2521017	3821.1641	6.5822
79	id	2499592	3788.6897	6.5785
80	bi	2376464	3602.0618	6.5566
