Rank	Character	Frequency	Frequency per million	Zipf value
1	a	115870368	208635.7372	8.3194
2	n	51255416	92290.3041	7.9652
3	i	44529257	80179.2082	7.9041
4	e	39058738	70329.0128	7.8471
5	k	38530882	69378.5574	7.8412
6	u	36536529	65787.533	7.8181
7	t	28414374	51162.8121	7.709
8	m	24695433	44466.5013	7.648
9	r	23465513	42251.9121	7.6258
10	s	20860915	37562.083	7.5747
11	d	19327778	34801.5224	7.5416
12	g	18902541	34035.8423	7.5319
13	l	16553743	29806.6057	7.4743
14	h	15378899	27691.1862	7.4423
15	b	14998511	27006.261	7.4315
16	p	14654823	26387.4177	7.4214
17	y	10886839	19602.8003	7.2923
18	o	8449872	15214.8069	7.1823
19	j	4996969	8997.5231	6.9541
20	c	3777055	6800.9506	6.8326
21	w	2060495	3710.1193	6.5694
22	f	1288617	2320.2788	6.3655
23	v	487022	876.9299	5.943
24	z	202726	365.0277	5.5623
25	x	109316	196.834	5.2941
26	q	43102	77.6093	4.8899
27	é	3935	7.0853	3.8504
28	â	3604	6.4893	3.8122
29	ª	2126	3.8281	3.583
30	þ	2056	3.702	3.5684
31	è	1964	3.5364	3.5486
32	í	1721	3.0988	3.4912
33	á	1495	2.6919	3.4301
34	ã	1481	2.6667	3.426
35	ü	1097	1.9753	3.2956
36	ñ	841	1.5143	3.1802
37	ó	750	1.3504	3.1305
38	æ	731	1.3162	3.1193
39	ö	662	1.192	3.0763
40	ä	605	1.0894	3.0372
41	ý	604	1.0876	3.0365
42	ç	552	0.9939	2.9973
42	î	552	0.9939	2.9973
43	ø	528	0.9507	2.978
44	š	522	0.9399	2.9731
45	à	463	0.8337	2.921
46	ō	392	0.7058	2.8487
47	ú	369	0.6644	2.8224
48	ì	340	0.6122	2.7869
49	ð	227	0.4087	2.6114
50	û	223	0.4015	2.6037
51	ي	222	0.3997	2.6017
52	е	200	0.3601	2.5564
53	ž	189	0.3403	2.5319
54	ل	188	0.3385	2.5296
55	ο	177	0.3187	2.5034
56	η	171	0.3079	2.4884
57	å	166	0.2989	2.4755
58	º	165	0.2971	2.4729
59	а	163	0.2935	2.4676
60	ô	155	0.2791	2.4458
61	ѕ	151	0.2719	2.4344
62	б	136	0.2449	2.389
63	н	133	0.2395	2.3793
64	ı	126	0.2269	2.3558
65	о	120	0.2161	2.3347
66	ï	118	0.2125	2.3274
66	і	118	0.2125	2.3274
67	ū	116	0.2089	2.3199
68	ê	107	0.1927	2.2849
69	ā	104	0.1873	2.2725
70	ν	100	0.1801	2.2555
71	ò	92	0.1657	2.2193
71	α	92	0.1657	2.2193
72	τ	91	0.1639	2.2146
73	ш	88	0.1585	2.2
74	ế	81	0.1458	2.1638
75	μ	79	0.1422	2.1529
76	て	74	0.1332	2.1245
77	に	72	0.1296	2.1126
78	ù	71	0.1278	2.1065
79	и	68	0.1224	2.0878
80	с	66	0.1188	2.0748
81	な	63	0.1134	2.0546
82	β	58	0.1044	2.0187
83	た	55	0.099	1.9956
83	ｶ	55	0.099	1.9956
84	ë	54	0.0972	1.9877
85	英	53	0.0954	1.9795
85	雄	53	0.0954	1.9795
86	ể	52	0.0936	1.9713
86	傳	52	0.0936	1.9713
86	射	52	0.0936	1.9713
86	雕	52	0.0936	1.9713
87	љ	50	0.09	1.9542
88	の	49	0.0882	1.9455
89	õ	48	0.0864	1.9365
90	ş	47	0.0846	1.9274
91	ă	44	0.0792	1.8987
92	э	43	0.0774	1.8887
92	る	43	0.0774	1.8887
93	ư	42	0.0756	1.8785
93	り	42	0.0756	1.8785
