Rank	Bigram	Frequency	Frequency per million	Zipf value
1	o$	133591714	41264.3536	7.6156
2	e$	115071123	35543.6379	7.5508
3	a$	106224711	32811.1221	7.516
4	i$	95420015	29473.7235	7.4694
5	^s	65130740	20117.8487	7.3036
6	^c	60281922	18620.126	7.27
7	^d	48870047	15095.1795	7.1788
8	^p	45350480	14008.0413	7.1464
9	er	43842137	13542.1381	7.1317
10	on	42016634	12978.2693	7.1132
11	no	41711476	12884.0109	7.1101
12	re	41664753	12869.5789	7.1096
13	^a	40072151	12377.6495	7.0926
14	to	38152187	11784.6032	7.0713
15	n$	35731525	11036.8992	7.0428
16	co	32858286	10149.4014	7.0064
17	^m	32010698	9887.595	6.9951
18	^l	30755242	9499.8046	6.9777
19	^n	30079130	9290.9644	6.9681
20	ta	29744639	9187.6454	6.9632
21	di	29695835	9172.5707	6.9625
22	ar	29579723	9136.7055	6.9608
23	en	28579217	8827.6651	6.9458
24	ra	28061023	8667.6033	6.9379
25	an	28041604	8661.605	6.9376
26	te	27079674	8364.4802	6.9224
27	ch	27020495	8346.2007	6.9215
28	^i	27001000	8340.179	6.9212
29	st	26633451	8226.649	6.9152
30	^e	26457482	8172.295	6.9123
31	ia	25018871	7727.9309	6.8881
32	^t	24905492	7692.91	6.8861
33	la	24346770	7520.3296	6.8762
34	or	24302374	7506.6164	6.8754
35	at	24241959	7487.9552	6.8744
36	ti	23477657	7251.8745	6.8605
37	in	22972858	7095.9501	6.851
38	io	21352489	6595.4439	6.8192
39	nt	21179043	6541.8692	6.8157
40	ri	21110532	6520.7072	6.8143
41	so	20288001	6266.6405	6.797
42	^f	20167948	6229.5581	6.7945
43	pe	20124788	6216.2266	6.7935
44	un	20046802	6192.138	6.7918
45	es	20023580	6184.9651	6.7913
46	he	19718097	6090.6062	6.7847
47	ro	19611671	6057.7329	6.7823
48	al	19576933	6047.0029	6.7815
49	de	19473720	6015.1221	6.7792
50	'$	19457683	6010.1685	6.7789
51	si	19399459	5992.184	6.7776
52	se	19338224	5973.2695	6.7762
53	tt	19158949	5917.8943	6.7722
54	^v	18507061	5716.5365	6.7571
55	ma	18289640	5649.3786	6.752
56	^u	18218467	5627.3944	6.7503
57	sa	17990432	5556.958	6.7448
58	le	17700043	5467.2615	6.7378
59	ne	17681169	5461.4316	6.7373
60	qu	17615609	5441.1812	6.7357
61	os	17253871	5329.4461	6.7267
62	l$	17248057	5327.6502	6.7265
63	mi	17178246	5306.0867	6.7248
64	ll	17012539	5254.9024	6.7206
65	el	16643686	5140.9696	6.711
66	me	16332980	5044.9975	6.7029
67	ci	16188701	5000.432	6.699
68	^q	16166635	4993.6162	6.6984
69	li	16151916	4989.0697	6.698
70	lo	15852383	4896.5487	6.6899
71	mo	15661921	4837.7181	6.6846
72	do	15627855	4827.1956	6.6837
73	am	15545008	4801.6055	6.6814
74	na	15254527	4711.8805	6.6732
75	ve	15015807	4638.1437	6.6663
76	ol	14552732	4495.1072	6.6527
77	nd	14531296	4488.486	6.6521
78	tr	14369436	4438.49	6.6472
79	ca	14169925	4376.8642	6.6412
80	ss	13997030	4323.4597	6.6358
81	il	13679334	4225.3285	6.6259
82	po	13334288	4118.7493	6.6148
83	da	13162807	4065.7815	6.6091
84	pr	12418954	3836.0172	6.5839
85	^r	12225497	3776.2614	6.5771
86	^b	12135975	3748.6095	6.5739
87	ic	12008532	3709.2444	6.5693
88	^h	11522693	3559.1764	6.5513
89	vo	11325403	3498.2367	6.5438
90	^g	11311102	3493.8193	6.5433
91	ce	11104748	3430.0799	6.5353
92	et	10982675	3392.3735	6.5305
93	av	10725153	3312.829	6.5202
94	ni	10624893	3281.8603	6.5161
95	fa	10601121	3274.5175	6.5151
96	r$	10448971	3227.5208	6.5089
97	tu	10313531	3185.6855	6.5032
98	ie	10307880	3183.94	6.503
99	e'	10232088	3160.5291	6.4998
100	pa	10094055	3117.8929	6.4939
101	ue	10072655	3111.2828	6.4929
102	as	9852821	3043.3795	6.4834
103	it	9786007	3022.7418	6.4804
104	is	9743436	3009.5923	6.4785
105	sc	9596322	2964.1511	6.4719
106	ua	9548336	2949.329	6.4697
107	ai	9477613	2927.4838	6.4665
108	^o	9393273	2901.4325	6.4626
109	vi	9208873	2844.4743	6.454
110	va	9164235	2830.6863	6.4519
111	om	9050285	2795.489	6.4465
112	cc	8963105	2768.5604	6.4423
113	pi	8853100	2734.5816	6.4369
114	ha	8723776	2694.6355	6.4305
115	ut	8700967	2687.5902	6.4294
116	rt	8554277	2642.28	6.422
117	uo	8393279	2592.5503	6.4137
118	gi	8313761	2567.9884	6.4096
