Rank	Character	Frequency	Frequency per million	Zipf value
1	a	293905931	111481.5468	8.0472
2	e	291971881	110747.9417	8.0443
3	o	281709437	106855.291	8.0288
4	i	263057427	99780.3915	7.999
5	n	184476296	69973.7592	7.8449
6	t	166680602	63223.6691	7.8009
7	r	165577299	62805.1749	7.798
8	s	148984152	56511.2234	7.7521
9	l	130789629	49609.8534	7.6956
10	c	122187499	46346.9769	7.666
11	u	87090337	33034.2618	7.519
12	d	86762496	32909.9084	7.5173
13	m	80366189	30483.7232	7.4841
14	p	72301712	27424.7841	7.4381
15	v	50966887	19332.2652	7.2863
16	h	46853707	17772.0937	7.2497
17	g	39528471	14993.5562	7.1759
18	b	30795402	11681.0132	7.0675
19	f	28580972	10841.0571	7.0351
20	q	17656856	6697.4273	6.8259
21	z	17529910	6649.2754	6.8228
22	è	6023764	2284.8757	6.3589
23	k	4868668	1846.7359	6.2664
24	y	4423941	1678.0464	6.2248
25	à	2559461	970.8299	5.9871
26	ì	2337193	886.5214	5.9477
27	w	2027542	769.0676	5.886
28	j	1762336	668.4722	5.8251
29	ò	1396279	529.623	5.724
30	é	1248180	473.4475	5.6753
31	ù	1122858	425.9116	5.6293
32	x	634327	240.6068	5.3813
33	í	90204	34.2153	4.5342
34	á	13199	5.0065	3.6995
35	ó	8628	3.2727	3.5149
36	ã	7489	2.8407	3.4534
37	ê	6545	2.4826	3.3949
38	ñ	6341	2.4052	3.3812
39	ü	4778	1.8123	3.2582
40	ú	4032	1.5294	3.1845
41	č	3701	1.4038	3.1473
42	ø	3629	1.3765	3.1388
43	î	3238	1.2282	3.0893
44	ô	3192	1.2108	3.0831
45	ö	3181	1.2066	3.0816
46	ç	2722	1.0325	3.0139
47	ä	2424	0.9194	2.9635
48	â	1882	0.7139	2.8536
49	ŕ	1774	0.6729	2.828
50	ë	1655	0.6278	2.7978
51	ν	1591	0.6035	2.7807
52	ě	1467	0.5564	2.7454
53	ï	1232	0.4673	2.6696
54	ª	943	0.3577	2.5535
55	ň	844	0.3201	2.5053
56	š	792	0.3004	2.4777
57	º	725	0.275	2.4393
58	ů	724	0.2746	2.4387
59	ð	687	0.2606	2.416
60	å	594	0.2253	2.3528
61	µ	579	0.2196	2.3416
62	û	545	0.2067	2.3153
63	æ	509	0.1931	2.2858
64	ˆ	446	0.1692	2.2284
65	œ	305	0.1157	2.0633
66	ﬁ	218	0.0827	1.9175
67	ß	212	0.0804	1.9053
68	ΰ	186	0.0706	1.8488
69	θ	184	0.0698	1.8439
70	ο	158	0.0599	1.7774
71	ė	141	0.0535	1.7284
72	̇	139	0.0527	1.7218
73	ō	131	0.0497	1.6964
74	μ	123	0.0467	1.6693
75	ď	113	0.0429	1.6325
76	þ	106	0.0402	1.6042
77	た	100	0.0379	1.5786
78	ž	99	0.0376	1.5752
79	ﬂ	98	0.0372	1.5705
80	ę	95	0.036	1.5563
80	な	95	0.036	1.5563
81	ý	88	0.0334	1.5237
82	い	83	0.0315	1.4983
83	ȧ	80	0.0303	1.4814
84	ş	77	0.0292	1.4654
85	の	76	0.0288	1.4594
86	ə	66	0.025	1.3979
87	ÿ	64	0.0243	1.3856
87	て	64	0.0243	1.3856
88	ı	55	0.0209	1.3201
89	を	52	0.0197	1.2945
90	ć	48	0.0182	1.2601
91	υ	46	0.0174	1.2405
91	も	46	0.0174	1.2405
92	ř	45	0.0171	1.233
93	ğ	42	0.0159	1.2014
94	う	40	0.0152	1.1818
95	ő	38	0.0144	1.1584
95	か	38	0.0144	1.1584
95	っ	38	0.0144	1.1584
95	㤹	38	0.0144	1.1584
95	㨰	38	0.0144	1.1584
95	晦	38	0.0144	1.1584
95	湯	38	0.0144	1.1584
96	き	36	0.0137	1.1367
96	し	36	0.0137	1.1367
96	ら	36	0.0137	1.1367
96	る	36	0.0137	1.1367
97	で	35	0.0133	1.1239
98	ι	34	0.0129	1.1106
99	ā	33	0.0125	1.0969
99	ω	33	0.0125	1.0969
100	õ	31	0.0118	1.0719
101	η	29	0.011	1.0414
102	が	28	0.0106	1.0253
102	と	28	0.0106	1.0253
103	ς	26	0.0099	0.9956
103	あ	26	0.0099	0.9956
104	り	24	0.0091	0.959
105	に	23	0.0087	0.9395
106	κ	22	0.0083	0.9191
106	だ	22	0.0083	0.9191
106	ど	22	0.0083	0.9191
106	れ	22	0.0083	0.9191
107	ȯ	21	0.008	0.9031
107	и	21	0.008	0.9031
108	え	20	0.0076	0.8808
108	ま	20	0.0076	0.8808
109	ⰰ	19	0.0072	0.8573
109	ⰲ	19	0.0072	0.8573
109	ⴭ	19	0.0072	0.8573
109	〵	19	0.0072	0.8573
109	ㄽ	19	0.0072	0.8573
109	㱴	19	0.0072	0.8573
109	㵲	19	0.0072	0.8573
109	㸴	19	0.0072	0.8573
109	㹴	19	0.0072	0.8573
109	敬	19	0.0072	0.8573
109	敮	19	0.0072	0.8573
109	敺	19	0.0072	0.8573
109	是	19	0.0072	0.8573
109	昼	19	0.0072	0.8573
109	楳	19	0.0072	0.8573
109	潣	19	0.0072	0.8573
109	潬	19	0.0072	0.8573
109	瑢	19	0.0072	0.8573
109	瑩	19	0.0072	0.8573
109	畳	19	0.0072	0.8573
109	癴	19	0.0072	0.8573
109	睷	19	0.0072	0.8573
109	私	19	0.0072	0.8573
110	ū	18	0.0068	0.8325
110	く	18	0.0068	0.8325
111	ƒ	17	0.0064	0.8062
111	ί	17	0.0064	0.8062
111	今	17	0.0064	0.8062
111	見	17	0.0064	0.8062
112	ば	16	0.0061	0.7853
112	ん	16	0.0061	0.7853
113	何	14	0.0053	0.7243
114	ょ	12	0.0046	0.6628
114	伝	12	0.0046	0.6628
114	散	12	0.0046	0.6628
114	無	12	0.0046	0.6628
114	花	12	0.0046	0.6628
114	開	12	0.0046	0.6628
115	ł	11	0.0042	0.6232
115	я	11	0.0042	0.6232
115	ٍ	11	0.0042	0.6232
115	ム	11	0.0042	0.6232
116	け	10	0.0038	0.5798
116	は	10	0.0038	0.5798
116	ゴ	10	0.0038	0.5798
117	а	9	0.0034	0.5315
117	ව	9	0.0034	0.5315
118	こ	8	0.003	0.4771
118	そ	8	0.003	0.4771
118	ち	8	0.003	0.4771
118	わ	8	0.003	0.4771
118	度	8	0.003	0.4771
118	思	8	0.003	0.4771
118	日	8	0.003	0.4771
118	生	8	0.003	0.4771
118	足	8	0.003	0.4771
118	響	8	0.003	0.4771
119	đ	7	0.0027	0.4314
119	さ	7	0.0027	0.4314
119	二	7	0.0027	0.4314
120	ă	6	0.0023	0.3617
120	ń	6	0.0023	0.3617
120	ǝ	6	0.0023	0.3617
120	м	6	0.0023	0.3617
120	じ	6	0.0023	0.3617
120	ね	6	0.0023	0.3617
120	ぶ	6	0.0023	0.3617
120	や	6	0.0023	0.3617
120	よ	6	0.0023	0.3617
120	会	6	0.0023	0.3617
120	信	6	0.0023	0.3617
120	健	6	0.0023	0.3617
120	全	6	0.0023	0.3617
120	喜	6	0.0023	0.3617
120	声	6	0.0023	0.3617
120	守	6	0.0023	0.3617
120	年	6	0.0023	0.3617
120	念	6	0.0023	0.3617
120	怖	6	0.0023	0.3617
120	愛	6	0.0023	0.3617
120	早	6	0.0023	0.3617
120	木	6	0.0023	0.3617
120	残	6	0.0023	0.3617
120	瀬	6	0.0023	0.3617
120	目	6	0.0023	0.3617
120	立	6	0.0023	0.3617
120	終	6	0.0023	0.3617
120	続	6	0.0023	0.3617
120	聞	6	0.0023	0.3617
120	街	6	0.0023	0.3617
120	逸	6	0.0023	0.3617
120	遣	6	0.0023	0.3617
120	音	6	0.0023	0.3617
120	ﬀ	6	0.0023	0.3617
121	ε	5	0.0019	0.2788
121	ζ	5	0.0019	0.2788
121	в	5	0.0019	0.2788
121	е	5	0.0019	0.2788
121	о	5	0.0019	0.2788
121	ё	5	0.0019	0.2788
121	ය	5	0.0019	0.2788
121	ン	5	0.0019	0.2788
121	産	5	0.0019	0.2788
122	̀	4	0.0015	0.1761
122	н	4	0.0015	0.1761
122	р	4	0.0015	0.1761
122	с	4	0.0015	0.1761
122	ා	4	0.0015	0.1761
122	ේ	4	0.0015	0.1761
122	す	4	0.0015	0.1761
122	ず	4	0.0015	0.1761
122	ゆ	4	0.0015	0.1761
122	ー	4	0.0015	0.1761
122	星	4	0.0015	0.1761
122	雨	4	0.0015	0.1761
122	風	4	0.0015	0.1761
122	시	4	0.0015	0.1761
122	애	4	0.0015	0.1761
122	월	4	0.0015	0.1761
123	ų	3	0.0011	0.0414
123	ș	3	0.0011	0.0414
123	ț	3	0.0011	0.0414
123	ɐ	3	0.0011	0.0414
123	ɔ	3	0.0011	0.0414
123	́	3	0.0011	0.0414
123	π	3	0.0011	0.0414
123	τ	3	0.0011	0.0414
123	д	3	0.0011	0.0414
123	ո	3	0.0011	0.0414
123	ආ	3	0.0011	0.0414
123	බ	3	0.0011	0.0414
123	ෝ	3	0.0011	0.0414
123	ᗡ	3	0.0011	0.0414
123	ア	3	0.0011	0.0414
123	ト	3	0.0011	0.0414
123	三	3	0.0011	0.0414
123	切	3	0.0011	0.0414
123	唄	3	0.0011	0.0414
123	子	3	0.0011	0.0414
123	必	3	0.0011	0.0414
123	殺	3	0.0011	0.0414
123	獅	3	0.0011	0.0414
123	船	3	0.0011	0.0414
123	銃	3	0.0011	0.0414
123	다	3	0.0011	0.0414
123	봐	3	0.0011	0.0414
123	아	3	0.0011	0.0414
123	이	3	0.0011	0.0414
124	ē	2	0.0008	-0.0969
124	ŝ	2	0.0008	-0.0969
124	ź	2	0.0008	-0.0969
124	ˑ	2	0.0008	-0.0969
124	ά	2	0.0008	-0.0969
124	λ	2	0.0008	-0.0969
124	ρ	2	0.0008	-0.0969
124	φ	2	0.0008	-0.0969
124	г	2	0.0008	-0.0969
124	т	2	0.0008	-0.0969
124	у	2	0.0008	-0.0969
124	ජ	2	0.0008	-0.0969
124	ු	2	0.0008	-0.0969
124	ℰ	2	0.0008	-0.0969
124	お	2	0.0008	-0.0969
124	げ	2	0.0008	-0.0969
124	ざ	2	0.0008	-0.0969
124	ほ	2	0.0008	-0.0969
124	み	2	0.0008	-0.0969
124	ろ	2	0.0008	-0.0969
124	イ	2	0.0008	-0.0969
124	シ	2	0.0008	-0.0969
124	ス	2	0.0008	-0.0969
124	ツ	2	0.0008	-0.0969
124	テ	2	0.0008	-0.0969
124	パ	2	0.0008	-0.0969
124	ラ	2	0.0008	-0.0969
124	リ	2	0.0008	-0.0969
124	ワ	2	0.0008	-0.0969
124	丁	2	0.0008	-0.0969
124	世	2	0.0008	-0.0969
124	人	2	0.0008	-0.0969
124	伸	2	0.0008	-0.0969
124	儚	2	0.0008	-0.0969
124	光	2	0.0008	-0.0969
124	入	2	0.0008	-0.0969
124	出	2	0.0008	-0.0969
124	刀	2	0.0008	-0.0969
124	叫	2	0.0008	-0.0969
124	君	2	0.0008	-0.0969
124	嘆	2	0.0008	-0.0969
124	地	2	0.0008	-0.0969
124	堕	2	0.0008	-0.0969
124	変	2	0.0008	-0.0969
124	夜	2	0.0008	-0.0969
124	奇	2	0.0008	-0.0969
124	威	2	0.0008	-0.0969
124	巨	2	0.0008	-0.0969
124	巻	2	0.0008	-0.0969
124	希	2	0.0008	-0.0969
124	強	2	0.0008	-0.0969
124	心	2	0.0008	-0.0969
124	怡	2	0.0008	-0.0969
124	想	2	0.0008	-0.0969
124	手	2	0.0008	-0.0969
124	抱	2	0.0008	-0.0969
124	拾	2	0.0008	-0.0969
124	握	2	0.0008	-0.0969
124	明	2	0.0008	-0.0969
124	望	2	0.0008	-0.0969
124	未	2	0.0008	-0.0969
124	来	2	0.0008	-0.0969
124	歪	2	0.0008	-0.0969
124	泣	2	0.0008	-0.0969
124	洋	2	0.0008	-0.0969
124	流	2	0.0008	-0.0969
124	消	2	0.0008	-0.0969
124	涙	2	0.0008	-0.0969
124	溶	2	0.0008	-0.0969
124	火	2	0.0008	-0.0969
124	理	2	0.0008	-0.0969
124	界	2	0.0008	-0.0969
124	癒	2	0.0008	-0.0969
124	矢	2	0.0008	-0.0969
124	確	2	0.0008	-0.0969
124	穢	2	0.0008	-0.0969
124	筈	2	0.0008	-0.0969
124	絆	2	0.0008	-0.0969
124	絡	2	0.0008	-0.0969
124	繋	2	0.0008	-0.0969
124	繰	2	0.0008	-0.0969
124	背	2	0.0008	-0.0969
124	胸	2	0.0008	-0.0969
124	芽	2	0.0008	-0.0969
124	行	2	0.0008	-0.0969
124	護	2	0.0008	-0.0969
124	跡	2	0.0008	-0.0969
124	踏	2	0.0008	-0.0969
124	躇	2	0.0008	-0.0969
124	躊	2	0.0008	-0.0969
124	返	2	0.0008	-0.0969
124	進	2	0.0008	-0.0969
124	遠	2	0.0008	-0.0969
124	隆	2	0.0008	-0.0969
124	隣	2	0.0008	-0.0969
124	願	2	0.0008	-0.0969
