Rank	Character	Frequency	Frequency per million	Zipf value
1	а	8786	113148.7444	8.0536
2	е	7169	92324.5332	7.9653
3	н	5534	71268.5126	7.8529
4	і	5125	66001.2878	7.8196
5	ы	4869	62704.443	7.7973
6	р	3879	49954.9259	7.6986
7	м	3762	48448.1648	7.6853
8	д	3571	45988.4095	7.6626
9	т	3567	45936.8963	7.6622
10	с	3429	44159.6909	7.645
11	л	3280	42240.8242	7.6257
12	о	2496	32144.237	7.5071
13	к	2377	30611.7193	7.4859
14	б	2317	29839.0212	7.4748
15	қ	2137	27520.9272	7.4397
16	й	1662	21403.7347	7.3305
17	ң	1642	21146.1687	7.3252
18	з	1504	19368.9633	7.2871
19	ж	1295	16677.3986	7.2221
20	п	1163	14977.463	7.1754
21	ш	1066	13728.2679	7.1376
22	ғ	1034	13316.1623	7.1244
23	и	931	11989.6974	7.0788
24	у	838	10792.0155	7.0331
25	г	786	10122.3439	7.0053
26	ұ	748	9632.9684	6.9838
27	ә	711	9156.4713	6.9617
28	ө	668	8602.7044	6.9346
29	ү	523	6735.3509	6.8284
30	х	194	2498.3902	6.3977
31	я	142	1828.7186	6.2621
32	ф	104	1339.3432	6.1269
33	э	79	1017.3857	6.0075
34	в	64	824.2112	5.916
35	ц	41	528.0103	5.7226
36	ю	28	360.5924	5.557
37	ь	17	218.9311	5.3403
38	a	14	180.2962	5.256
39	e	11	141.6613	5.1513
39	s	11	141.6613	5.1513
40	o	8	103.0264	5.0129
40	һ	8	103.0264	5.0129
41	l	7	90.1481	4.955
41	t	7	90.1481	4.955
42	ч	6	77.2698	4.888
43	i	5	64.3915	4.8088
44	g	4	51.5132	4.7119
44	h	4	51.5132	4.7119
44	k	4	51.5132	4.7119
44	r	4	51.5132	4.7119
45	n	3	38.6349	4.587
46	d	2	25.7566	4.4109
46	f	2	25.7566	4.4109
46	p	2	25.7566	4.4109
46	v	2	25.7566	4.4109
47	b	1	12.8783	4.1099
47	m	1	12.8783	4.1099
47	u	1	12.8783	4.1099
47	w	1	12.8783	4.1099
47	x	1	12.8783	4.1099
47	y	1	12.8783	4.1099
47	z	1	12.8783	4.1099
47	щ	1	12.8783	4.1099
