Rank	Character	Frequency	Frequency per million	Zipf value
1	a	1386790	108787.6724	8.0366
2	i	1325159	103952.9872	8.0168
3	s	1052643	82575.2867	7.9169
4	e	895886	70278.3786	7.8468
5	t	858872	67374.7905	7.8285
6	u	684462	53693.081	7.7299
7	r	624862	49017.719	7.6904
8	n	608440	47729.4842	7.6788
9	k	513869	40310.7986	7.6054
10	m	470113	36878.3298	7.5668
11	ā	448164	35156.5258	7.546
12	v	423562	33226.6054	7.5215
13	d	393764	30889.0813	7.4898
14	o	385939	30275.2439	7.4811
15	l	351256	27554.5127	7.4402
16	p	330749	25945.8273	7.4141
17	j	308470	24198.1362	7.3838
18	z	245100	19227.034	7.2839
19	ē	227921	17879.4158	7.2524
20	b	222400	17446.3173	7.2417
21	ī	206637	16209.7782	7.2098
22	g	167427	13133.9234	7.1184
23	š	140346	11009.5362	7.0418
24	c	125231	9823.8298	6.9923
25	ņ	95424	7485.5997	6.8742
26	ū	89925	7054.227	6.8484
27	ļ	41100	3224.1171	6.5084
28	ž	26025	2041.5486	6.31
29	f	22024	1727.6875	6.2375
30	h	18026	1414.0617	6.1505
31	ķ	16144	1266.4269	6.1026
32	č	12665	993.5144	5.9972
33	ģ	9856	773.1605	5.8883
34	ä	2580	202.3898	5.3062
35	â	2486	195.0159	5.2901
36	y	1589	124.6502	5.0957
37	ą	1585	124.3364	5.0946
38	ù	1430	112.1773	5.0499
39	î	1332	104.4896	5.0191
40	į	1268	99.4691	4.9977
41	w	1007	78.9948	4.8976
42	ŗ	827	64.8746	4.8121
43	đ	632	49.5777	4.6953
44	x	580	45.4985	4.658
45	é	483	37.8893	4.5785
46	ü	452	35.4574	4.5497
47	û	451	35.379	4.5487
48	ń	448	35.1437	4.5458
49	í	340	26.6715	4.426
50	ō	298	23.3768	4.3688
51	è	248	19.4545	4.289
52	ė	180	14.1202	4.1498
53	q	137	10.7471	4.0313
54	ó	46	3.6085	3.5573
55	ô	4	0.3138	2.4967
56	ñ	3	0.2353	2.3716
57	ö	2	0.1569	2.1956
57	е	2	0.1569	2.1956
58	å	1	0.0784	1.8943
58	ì	1	0.0784	1.8943
58	ć	1	0.0784	1.8943
58	ų	1	0.0784	1.8943
58	ź	1	0.0784	1.8943
58	а	1	0.0784	1.8943
58	б	1	0.0784	1.8943
58	и	1	0.0784	1.8943
58	й	1	0.0784	1.8943
58	л	1	0.0784	1.8943
58	о	1	0.0784	1.8943
58	с	1	0.0784	1.8943
58	т	1	0.0784	1.8943
58	у	1	0.0784	1.8943
58	щ	1	0.0784	1.8943
