Rank	Bigram	Frequency	Frequency per million	Zipf value
1	s$	1478764	28592.0331	7.4562
2	i$	1342803	25963.2151	7.4144
3	ai	996556	19268.4987	7.2848
4	^t	935517	18088.3042	7.2574
5	u$	810328	15667.7638	7.195
6	^k	799420	15456.8566	7.1891
7	^p	762239	14737.9587	7.1684
8	^n	717029	13863.8193	7.1419
9	o$	700096	13536.4183	7.1315
10	as	669441	12943.7011	7.1121
11	ka	661676	12793.5642	7.107
12	au	656763	12698.5709	7.1038
13	ta	656623	12695.864	7.1037
14	a$	602107	11641.7923	7.066
15	ti	581675	11246.7377	7.051
16	e$	562337	10872.8358	7.0363
17	^a	536315	10369.6981	7.0158
18	si	533036	10306.2984	7.0131
19	is	531184	10270.4898	7.0116
20	^m	523929	10130.2137	7.0056
21	^s	520264	10059.3506	7.0026
22	ne	510479	9870.1568	6.9943
23	in	501598	9698.4418	6.9867
24	pa	490106	9476.243	6.9766
25	^j	477402	9230.61	6.9652
26	ia	472350	9132.9292	6.9606
27	ra	449110	8683.5817	6.9387
28	ma	428786	8290.6154	6.9186
29	ar	416494	8052.9484	6.906
30	an	416318	8049.5455	6.9058
31	ie	415443	8032.6273	6.9049
32	ik	407488	7878.8166	6.8965
33	ri	387219	7486.9137	6.8743
34	^v	366551	7087.2961	6.8505
35	ei	365136	7059.937	6.8488
36	ki	358137	6924.6107	6.8404
37	^d	355644	6876.4083	6.8374
38	al	352557	6816.7209	6.8336
39	ą$	347726	6723.3131	6.8276
40	^g	338649	6547.8085	6.8161
41	us	334431	6466.2531	6.8107
42	^i	334365	6464.9769	6.8106
43	r$	326818	6319.055	6.8007
44	li	318104	6150.5691	6.7889
45	na	317781	6144.3238	6.7885
46	tu	312707	6046.2176	6.7815
47	da	305299	5902.9833	6.7711
48	^b	303309	5864.5064	6.7682
49	ir	287224	5553.5015	6.7446
50	at	281948	5451.4896	6.7365
51	en	280452	5422.5643	6.7342
52	er	272572	5270.2038	6.7218
53	ga	271657	5252.5122	6.7204
54	ų$	262689	5079.1151	6.7058
55	vi	262081	5067.3594	6.7048
56	iu	261984	5065.4839	6.7046
57	im	259009	5007.962	6.6997
58	la	253052	4892.7829	6.6896
59	es	252306	4878.3589	6.6883
60	ni	247277	4781.1227	6.6795
61	k$	243621	4710.4337	6.6731
62	su	242932	4697.1118	6.6718
63	ad	241970	4678.5114	6.6701
64	me	239366	4628.1628	6.6654
65	t$	230193	4450.8021	6.6484
66	sa	229299	4433.5165	6.6467
67	va	227973	4407.8782	6.6442
68	no	226347	4376.4393	6.6411
69	te	225951	4368.7826	6.6404
70	os	222275	4297.7068	6.6332
71	ko	222266	4297.5328	6.6332
72	it	214012	4137.941	6.6168
73	uo	213665	4131.2317	6.6161
74	pr	211725	4093.7217	6.6121
75	st	208917	4039.4287	6.6063
76	am	207751	4016.884	6.6039
77	či	205268	3968.875	6.5987
78	ja	202271	3910.9277	6.5923
79	aš	198488	3837.7831	6.5841
80	š$	198374	3835.5789	6.5838
81	ur	196933	3807.717	6.5807
82	^l	194707	3764.6771	6.5757
83	to	194455	3759.8047	6.5752
84	ip	194222	3755.2996	6.5746
85	av	186338	3602.8618	6.5566
86	iš	186306	3602.243	6.5566
87	ji	183840	3554.5627	6.5508
88	ži	181562	3510.5174	6.5454
89	į$	167672	3241.953	6.5108
90	et	167274	3234.2576	6.5098
91	ak	166760	3224.3194	6.5084
92	ve	164830	3187.0027	6.5034
93	p$	160627	3105.7373	6.4922
94	vo	159628	3086.4215	6.4895
95	nu	159398	3081.9745	6.4888
96	ba	151896	2936.9226	6.4679
97	re	151606	2931.3155	6.4671
98	sk	150706	2913.9139	6.4645
99	di	149998	2900.2246	6.4624
100	^š	149492	2890.4411	6.461
101	^r	149117	2883.1904	6.4599
102	ku	146199	2826.7706	6.4513
103	mi	145809	2819.23	6.4501
104	or	145425	2811.8053	6.449
105	el	145393	2811.1866	6.4489
106	nt	142856	2762.1334	6.4412
107	jo	141830	2742.2956	6.4381
108	ok	141592	2737.6939	6.4374
109	ek	138982	2687.2293	6.4293
110	^ž	133903	2589.0264	6.4131
111	mo	132141	2554.958	6.4074
112	gi	131859	2549.5055	6.4065
113	oj	126303	2442.0797	6.3878
114	on	126294	2441.9057	6.3877
115	uk	125427	2425.1422	6.3847
116	io	125207	2420.8885	6.384
117	ge	124648	2410.0801	6.382
118	m$	123594	2389.701	6.3783
119	ro	122447	2367.5236	6.3743
120	nk	118687	2294.8237	6.3607
121	ė$	118577	2292.6968	6.3603
122	d$	117533	2272.511	6.3565
123	dė	117236	2266.7685	6.3554
124	^į	112915	2183.2215	6.3391
125	n$	111205	2150.1585	6.3325
126	be	111010	2146.3882	6.3317
127	le	110255	2131.7902	6.3287
128	ėj	109327	2113.8472	6.3251
129	ot	107982	2087.8416	6.3197
130	ką	107893	2086.1207	6.3193
131	ab	107679	2081.983	6.3185
132	ju	107232	2073.3402	6.3167
133	bu	103289	1997.102	6.3004
134	ės	103140	1994.2211	6.2998
135	pi	102186	1975.7754	6.2957
136	ši	100060	1934.669	6.2866
137	^e	98645	1907.3098	6.2804
138	il	97252	1880.376	6.2742
139	ap	95521	1846.907	6.2664
140	je	94533	1827.8039	6.2619
141	um	93487	1807.5794	6.2571
142	om	91361	1766.473	6.2471
143	yt	90538	1750.5603	6.2432
144	l$	89463	1729.775	6.238
145	tr	89271	1726.0627	6.2371
146	id	87040	1682.9261	6.2261
147	ks	85802	1658.9893	6.2198
148	ėt	85517	1653.4788	6.2184
149	už	85025	1643.9659	6.2159
150	yk	84116	1626.3903	6.2112
151	ke	83725	1618.8303	6.2092
152	ng	83178	1608.254	6.2064
153	^o	82389	1592.9986	6.2022
154	rt	82276	1590.8138	6.2016
155	od	81143	1568.9071	6.1956
156	až	80171	1550.1134	6.1904
157	rė	79911	1545.0863	6.189
158	ut	79006	1527.588	6.184
159	ūs	78524	1518.2685	6.1813
160	ug	77701	1502.3557	6.1768
161	kt	77549	1499.4168	6.1759
162	^č	77044	1489.6526	6.1731
163	ėl	76715	1483.2913	6.1712
164	kl	75999	1469.4474	6.1672
165	ij	75773	1465.0777	6.1659
166	kr	75727	1464.1883	6.1656
167	se	72617	1404.0561	6.1474
168	^u	72610	1403.9208	6.1473
169	ių	72443	1400.6918	6.1463
170	nd	72283	1397.5982	6.1454
171	do	72247	1396.9022	6.1452
172	ol	71285	1378.3018	6.1393
173	uv	70798	1368.8856	6.1364
174	po	69417	1342.1839	6.1278
175	du	67520	1305.5052	6.1158
176	lė	67465	1304.4418	6.1154
177	de	66871	1292.9567	6.1116
178	mu	66370	1283.2698	6.1083
179	tė	65992	1275.9612	6.1058
180	dž	65878	1273.757	6.1051
181	nė	65694	1270.1993	6.1039
182	ig	65207	1260.7831	6.1006
183	šk	65180	1260.2611	6.1005
184	gr	64213	1241.5641	6.094
185	pe	64126	1239.8819	6.0934
186	eg	63727	1232.1672	6.0907
187	bi	61432	1187.7932	6.0747
188	lo	61391	1187.0004	6.0745
189	yr	61388	1186.9424	6.0744
190	ky	61276	1184.7769	6.0736
191	ša	60739	1174.394	6.0698
192	ys	60716	1173.9492	6.0696
193	ry	60570	1171.1263	6.0686
194	ud	60082	1161.6908	6.0651
195	bū	59995	1160.0086	6.0645
196	em	59511	1150.6505	6.0609
197	og	59407	1148.6396	6.0602
198	ms	58090	1123.1753	6.0504
199	št	57862	1118.7669	6.0487
200	ru	57407	1109.9694	6.0453
201	tų	56207	1086.7673	6.0361
202	ts	55169	1066.6975	6.028
203	ep	54093	1045.893	6.0195
204	vy	52952	1023.8316	6.0102
205	ęs	52363	1012.4433	6.0054
206	tą	52361	1012.4046	6.0054
207	kė	51615	997.9806	5.9991
208	ty	50049	967.7019	5.9857
209	ag	49995	966.6578	5.9853
210	bė	49557	958.189	5.9815
211	rs	49372	954.612	5.9798
212	ę$	48625	940.1687	5.9732
213	un	48327	934.4068	5.9705
214	eš	47966	927.4269	5.9673
215	rb	47702	922.3224	5.9649
216	jū	47459	917.624	5.9627
217	ui	47360	915.7098	5.9618
218	ul	47154	911.7268	5.9599
219	up	44933	868.7835	5.9389
220	gu	44674	863.7758	5.9364
221	iū	44108	852.8321	5.9309
222	rd	43593	842.8745	5.9258
223	mė	43258	836.3973	5.9224
224	ėk	42621	824.0808	5.916
225	sų	41771	807.646	5.9072
226	ūt	41381	800.1053	5.9031
227	eb	41346	799.4286	5.9028
228	dy	41040	793.512	5.8996
229	gy	40601	785.0239	5.8949
230	ed	39709	767.777	5.8852
231	^y	39524	764.2	5.8832
232	lb	39418	762.1505	5.882
233	ly	39380	761.4158	5.8816
234	pu	38891	751.9609	5.8762
235	go	37731	729.5322	5.863
236	g$	36908	713.6195	5.8535
237	sv	36564	706.9682	5.8494
238	žm	36003	696.1212	5.8427
239	yv	35412	684.6942	5.8355
240	rg	35131	679.261	5.832
241	dr	35057	677.8302	5.8311
242	ną	34753	671.9523	5.8273
243	ev	34532	667.6793	5.8246
244	rk	33773	653.004	5.8149
245	ov	33715	651.8825	5.8142
246	sp	33643	650.4904	5.8132
247	ci	33435	646.4687	5.8105
248	mą	33428	646.3333	5.8105
249	vė	33055	639.1214	5.8056
250	ač	32620	630.7106	5.7998
251	^f	31178	602.8294	5.7802
252	iv	31171	602.6941	5.7801
253	so	31049	600.3352	5.7784
254	ns	30103	582.0442	5.765
255	ūr	29993	579.9173	5.7634
256	ža	29565	571.6419	5.7571
257	že	29484	570.0758	5.7559
258	uj	29208	564.7393	5.7518
259	ją	28978	560.2922	5.7484
260	jį	28153	544.3408	5.7359
261	tv	27940	540.2224	5.7326
262	bo	27640	534.4219	5.7279
263	sm	27035	522.7241	5.7183
264	rm	26962	521.3127	5.7171
265	ež	26886	519.8432	5.7159
266	lu	26433	511.0844	5.7085
267	pl	25509	493.2188	5.693
268	lv	25018	483.7252	5.6846
269	lt	24814	479.7809	5.681
270	še	24606	475.7592	5.6774
