Rank	Character	Frequency	Frequency per million	Zipf value
1	a	5820351	133674.3508	8.126
2	i	5783149	132819.943	8.1233
3	s	3225816	74086.4012	7.8697
4	t	2680545	61563.3168	7.7893
5	e	2638892	60606.6842	7.7825
6	u	2434834	55920.142	7.7476
7	k	2357175	54136.5697	7.7335
8	n	2225044	51101.9545	7.7084
9	r	2105223	48350.0596	7.6844
10	o	1995547	45831.162	7.6612
11	m	1410586	32396.5286	7.5105
12	p	1256139	28849.3882	7.4601
13	l	1217067	27952.0326	7.4464
14	d	1089784	25028.7601	7.3984
15	v	949562	21808.3212	7.3386
16	j	890772	20458.1079	7.3109
17	g	851898	19565.2998	7.2915
18	š	679697	15610.4082	7.1934
19	ė	651562	14964.2397	7.1751
20	b	641085	14723.6174	7.168
21	y	486465	11172.5037	7.0482
22	ž	435752	10007.7926	7.0003
23	ą	370659	8512.8201	6.9301
24	ų	271274	6230.273	6.7945
25	į	245153	5630.3594	6.7505
26	ū	234741	5391.23	6.7317
27	č	219991	5052.4709	6.7035
28	ę	101453	2330.0423	6.3674
29	c	72183	1657.8065	6.2195
30	f	64030	1470.5589	6.1675
31	z	63065	1448.396	6.1609
32	h	53687	1233.0141	6.091
33	w	6072	139.4539	5.1444
34	x	2109	48.4368	4.6852
35	ü	1869	42.9248	4.6327
36	ò	656	15.0662	4.178
37	ģ	649	14.9054	4.1733
38	ł	629	14.4461	4.1598
39	ó	606	13.9178	4.1436
40	q	574	13.1829	4.12
41	ù	570	13.091	4.117
42	õ	464	10.6566	4.0276
43	é	460	10.5647	4.0239
44	è	446	10.2432	4.0104
45	à	355	8.1532	3.9113
46	ö	280	6.4307	3.8083
47	ē	267	6.1321	3.7876
48	ņ	262	6.0173	3.7794
49	ń	231	5.3053	3.7247
50	û	200	4.5933	3.6621
51	ë	195	4.4785	3.6511
52	ō	190	4.3637	3.6399
53	đ	183	4.2029	3.6235
54	ā	109	2.5034	3.3985
55	ź	107	2.4574	3.3905
56	ø	98	2.2507	3.3523
57	á	65	1.4928	3.174
58	т	39	0.8957	2.9522
59	ο	33	0.7579	2.8796
60	ä	30	0.689	2.8382
61	æ	25	0.5742	2.7591
62	м	24	0.5512	2.7413
63	к	23	0.5282	2.7228
64	о	21	0.4823	2.6833
65	ļ	20	0.4593	2.6621
65	а	20	0.4593	2.6621
66	ç	18	0.4134	2.6164
67	ã	12	0.2756	2.4403
68	е	11	0.2526	2.4024
69	ī	10	0.2297	2.3612
70	и	9	0.2067	2.3153
71	í	8	0.1837	2.2641
72	å	7	0.1608	2.2063
73	î	6	0.1378	2.1392
73	ô	6	0.1378	2.1392
73	ķ	6	0.1378	2.1392
73	д	6	0.1378	2.1392
73	н	6	0.1378	2.1392
74	ñ	5	0.1148	2.0599
74	в	5	0.1148	2.0599
74	с	5	0.1148	2.0599
75	º	4	0.0919	1.9633
75	ð	4	0.0919	1.9633
75	ś	4	0.0919	1.9633
75	ь	4	0.0919	1.9633
76	ú	3	0.0689	1.8382
76	ż	3	0.0689	1.8382
76	б	3	0.0689	1.8382
76	й	3	0.0689	1.8382
76	р	3	0.0689	1.8382
77	ß	2	0.0459	1.6618
77	â	2	0.0459	1.6618
77	ć	2	0.0459	1.6618
77	з	2	0.0459	1.6618
77	л	2	0.0459	1.6618
77	у	2	0.0459	1.6618
77	ю	2	0.0459	1.6618
77	я	2	0.0459	1.6618
77	㤹	2	0.0459	1.6618
77	㨰	2	0.0459	1.6618
77	晦	2	0.0459	1.6618
77	湯	2	0.0459	1.6618
78	ê	1	0.023	1.3617
78	þ	1	0.023	1.3617
78	ĩ	1	0.023	1.3617
78	ũ	1	0.023	1.3617
78	ˇ	1	0.023	1.3617
78	ν	1	0.023	1.3617
78	г	1	0.023	1.3617
78	ж	1	0.023	1.3617
78	п	1	0.023	1.3617
78	ч	1	0.023	1.3617
78	ы	1	0.023	1.3617
78	ⰰ	1	0.023	1.3617
78	ⰲ	1	0.023	1.3617
78	ⴭ	1	0.023	1.3617
78	〵	1	0.023	1.3617
78	ㄽ	1	0.023	1.3617
78	㱴	1	0.023	1.3617
78	㵲	1	0.023	1.3617
78	㸴	1	0.023	1.3617
78	㹴	1	0.023	1.3617
78	敬	1	0.023	1.3617
78	敮	1	0.023	1.3617
78	敺	1	0.023	1.3617
78	是	1	0.023	1.3617
78	昼	1	0.023	1.3617
78	楳	1	0.023	1.3617
78	潣	1	0.023	1.3617
78	潬	1	0.023	1.3617
78	瑢	1	0.023	1.3617
78	瑩	1	0.023	1.3617
78	畳	1	0.023	1.3617
78	癴	1	0.023	1.3617
78	睷	1	0.023	1.3617
