Rank	Character	Frequency	Frequency per million	Zipf value
1	а	23018200	137372.369	8.1379
2	е	18026290	107580.704	8.0317
3	о	17200798	102654.1767	8.0114
4	и	12770301	76213.0184	7.882
5	т	10776396	64313.4149	7.8083
6	н	9580266	57174.924	7.7572
7	д	7715953	46048.7242	7.6632
8	с	7494275	44725.7522	7.6506
9	м	7270094	43387.8425	7.6374
10	р	7002346	41789.9253	7.6211
11	в	6760205	40344.8304	7.6058
12	к	5912710	35286.9894	7.5476
13	л	4678126	27919.0054	7.4459
14	п	3813212	22757.208	7.3571
15	у	3699667	22079.5727	7.344
16	ш	3361351	20060.5065	7.3023
17	г	3312222	19767.3051	7.2959
18	б	3154537	18826.2427	7.2748
19	ј	3058760	18254.6466	7.2614
20	з	2892179	17260.493	7.2371
21	ч	1342585	8012.5328	6.9038
22	ж	1193046	7120.0856	6.8525
23	ќ	928179	5539.3622	6.7435
24	ц	729664	4354.6269	6.639
25	ф	398188	2376.3817	6.3759
26	њ	276247	1648.6391	6.2171
27	х	235047	1402.758	6.147
28	ѓ	203339	1213.525	6.084
29	џ	150573	898.618	5.9536
30	a	71411	426.1801	5.6296
31	e	69145	412.6566	5.6156
32	o	61038	364.2741	5.5614
33	t	33129	197.7135	5.296
34	љ	31787	189.7045	5.2781
35	r	31116	185.7	5.2688
36	i	29205	174.2951	5.2413
37	n	27134	161.9354	5.2093
38	s	24155	144.1568	5.1588
39	m	21951	131.0033	5.1173
40	l	20869	124.546	5.0953
41	c	17832	106.4212	5.027
42	ѕ	17277	103.1089	5.0133
43	h	15955	95.2193	4.9787
44	k	15943	95.1477	4.9784
45	d	15822	94.4255	4.9751
46	u	13660	81.5227	4.9113
47	j	13578	81.0334	4.9087
48	p	11589	69.163	4.8399
49	y	10983	65.5464	4.8165
50	b	10606	63.2965	4.8014
51	g	9788	58.4147	4.7665
52	w	7632	45.5477	4.6585
53	f	6601	39.3947	4.5954
54	v	5577	33.2835	4.5222
55	z	2224	13.2728	4.123
56	x	2160	12.8909	4.1103
57	è	1174	7.0064	3.8455
58	ѐ	1172	6.9945	3.8448
59	ъ	931	5.5562	3.7448
60	q	740	4.4163	3.6451
61	ѝ	644	3.8434	3.5847
62	я	486	2.9004	3.4625
63	й	462	2.7572	3.4405
64	ћ	308	1.8381	3.2644
65	є	209	1.2473	3.096
66	щ	206	1.2294	3.0897
67	ђ	161	0.9608	2.9826
68	ю	148	0.8833	2.9461
69	ё	142	0.8475	2.9281
70	æ	113	0.6744	2.8289
71	ª	91	0.5431	2.7349
71	â	91	0.5431	2.7349
72	š	79	0.4715	2.6735
73	ь	77	0.4595	2.6623
74	é	57	0.3402	2.5317
75	э	53	0.3163	2.5001
76	ї	47	0.2805	2.4479
77	і	46	0.2745	2.4385
78	ž	41	0.2447	2.3886
79	č	31	0.185	2.2672
80	ґ	30	0.179	2.2529
81	ć	26	0.1552	2.1909
82	ў	23	0.1373	2.1377
83	ð	19	0.1134	2.0546
83	κ	19	0.1134	2.0546
84	µ	9	0.0537	1.73
85	ó	8	0.0477	1.6785
85	ń	8	0.0477	1.6785
85	ż	8	0.0477	1.6785
85	τ	8	0.0477	1.6785
86	đ	7	0.0418	1.6212
86	ł	7	0.0418	1.6212
87	í	6	0.0358	1.5539
88	ñ	5	0.0298	1.4742
89	á	2	0.0119	1.0755
89	ú	2	0.0119	1.0755
90	à	1	0.006	0.7782
90	ç	1	0.006	0.7782
90	ù	1	0.006	0.7782
90	ΰ	1	0.006	0.7782
90	η	1	0.006	0.7782
90	ы	1	0.006	0.7782
