Rank	Bigram	Frequency	Frequency per million	Zipf value
1	an	4286070	39777.9044	7.5996
2	a$	4190620	38892.0577	7.5899
3	ka	2418279	22443.4204	7.3511
4	n$	2416772	22429.4344	7.3508
5	ak	2177855	20212.1076	7.3056
6	^s	2132936	19795.226	7.2966
7	ng	2068323	19195.5695	7.2832
8	i$	2034145	18878.3724	7.276
9	^a	1841942	17094.5862	7.2329
10	u$	1832940	17011.0409	7.2307
11	ya	1755148	16289.0735	7.2119
12	^k	1754203	16280.3032	7.2117
13	^m	1666171	15463.3011	7.1893
14	er	1638845	15209.6956	7.1821
15	da	1632259	15148.5726	7.1804
16	^d	1594742	14800.387	7.1703
17	^b	1584418	14704.5727	7.1675
18	^t	1554910	14430.7166	7.1593
19	k$	1503666	13955.1343	7.1447
20	ta	1424778	13222.9952	7.1213
21	la	1318905	12240.4154	7.0878
22	sa	1309696	12154.949	7.0848
23	h$	1256166	11658.151	7.0666
24	ah	1232919	11442.4016	7.0585
25	en	1207160	11203.339	7.0493
26	pa	1088281	10100.0538	7.0043
27	g$	1065229	9886.1142	6.995
28	ma	1064549	9879.8033	6.9947
29	at	1045542	9703.4042	6.9869
30	ar	1005294	9329.873	6.9699
31	me	1001286	9292.6758	6.9681
32	^p	985376	9145.0192	6.9612
33	di	944587	8766.4671	6.9428
34	in	933052	8659.4137	6.9375
35	am	905215	8401.0657	6.9243
36	se	905165	8400.6017	6.9243
37	tu	887804	8239.4787	6.9159
38	ra	872284	8095.4417	6.9082
39	be	819471	7605.2979	6.8811
40	ga	802376	7446.6436	6.872
41	ay	798365	7409.4186	6.8698
42	ap	788349	7316.4627	6.8643
43	na	772568	7170.0033	6.8555
44	al	762362	7075.2841	6.8497
45	ba	734001	6812.073	6.8333
46	ia	723281	6712.5834	6.8269
47	ke	689667	6400.6206	6.8062
48	t$	684914	6356.5093	6.8032
49	^i	677244	6285.326	6.7983
50	pe	675642	6270.4582	6.7973
51	ti	669764	6215.906	6.7935
52	it	648789	6021.2425	6.7797
53	un	630722	5853.5674	6.7674
54	ku	625510	5805.1961	6.7638
55	ad	622318	5775.572	6.7616
56	em	617413	5730.05	6.7582
57	ri	592949	5503.0059	6.7406
58	ha	575468	5340.7693	6.7276
59	ny	570044	5290.4306	6.7235
60	te	563682	5231.3865	6.7186
61	el	551733	5120.4909	6.7093
62	uk	551061	5114.2543	6.7088
63	as	541749	5027.832	6.7014
64	^y	534380	4959.4422	6.6954
65	wa	523689	4860.2218	6.6867
66	mu	514700	4776.7973	6.6791
67	ik	503733	4675.0154	6.6698
68	ja	499636	4636.9922	6.6662
69	ua	497350	4615.7764	6.6642
70	ni	493791	4582.7462	6.6611
71	nt	469632	4358.5328	6.6393
72	r$	468791	4350.7277	6.6386
73	^l	457542	4246.3287	6.628
74	aw	437016	4055.8322	6.6081
75	si	436314	4049.3171	6.6074
76	ki	434934	4036.5097	6.606
77	au	405904	3767.0898	6.576
78	^h	399948	3711.8137	6.5696
79	^j	396022	3675.3775	6.5653
80	ai	391795	3636.1478	6.5606
81	bu	382548	3550.3288	6.5503
82	le	372807	3459.9251	6.5391
83	li	360135	3342.3196	6.524
84	s$	341039	3165.0945	6.5004
85	nd	339163	3147.6839	6.498
86	gi	336126	3119.4983	6.4941
87	ek	326444	3029.6421	6.4814
88	m$	306614	2845.605	6.4542
89	lu	300353	2787.4983	6.4452
90	id	291143	2702.0227	6.4317
91	^c	288802	2680.2965	6.4282
92	mb	282467	2621.503	6.4186
93	l$	281407	2611.6654	6.4169
94	su	267686	2484.3244	6.3952
95	de	264782	2457.3731	6.3905
96	ol	263581	2446.2269	6.3885
97	il	262095	2432.4357	6.386
98	hu	257016	2385.2989	6.3775
99	e$	251046	2329.8928	6.3673
100	^n	248151	2303.0251	6.3623
101	ag	244561	2269.7072	6.356
102	ca	242766	2253.0483	6.3528
103	re	242671	2252.1666	6.3526
104	or	241976	2245.7165	6.3514
105	ru	240526	2232.2594	6.3487
106	bi	237849	2207.4149	6.3439
107	mi	234352	2174.9602	6.3375
108	mp	233757	2169.4381	6.3363
109	^u	232431	2157.1319	6.3339
110	et	232092	2153.9857	6.3332
111	ih	227552	2111.8511	6.3247
112	es	226272	2099.9718	6.3222
113	eb	224880	2087.053	6.3195
114	ir	218206	2025.1133	6.3064
115	^o	216309	2007.5077	6.3027
116	^r	214865	1994.1064	6.2997
117	ul	214251	1988.408	6.2985
118	ep	209381	1943.2108	6.2885
119	is	199466	1851.1922	6.2675
120	bo	198654	1843.6563	6.2657
121	us	197565	1833.5495	6.2633
122	pu	196740	1825.8929	6.2615
123	du	196094	1819.8976	6.26
124	eh	192810	1789.4196	6.2527
125	pi	192357	1785.2154	6.2517
126	p$	184595	1713.1783	6.2338
127	on	184335	1710.7653	6.2332
128	ur	183545	1703.4336	6.2313
129	um	182911	1697.5496	6.2298
130	ut	176632	1639.2758	6.2147
131	uh	168978	1568.241	6.1954
132	gu	168606	1564.7886	6.1945
133	gg	164257	1524.4266	6.1831
134	im	162873	1511.5821	6.1794
135	rt	161706	1500.7515	6.1763
136	^g	155265	1440.9742	6.1587
137	ud	154543	1434.2735	6.1566
138	hi	153590	1425.429	6.1539
139	rl	149347	1386.0508	6.1418
140	ju	149246	1385.1134	6.1415
141	he	137915	1279.9534	6.1072
142	rg	133744	1241.2434	6.0939
143	y$	133191	1236.1111	6.0921
144	gk	129016	1197.364	6.0782
145	rk	126982	1178.487	6.0713
146	ge	122945	1141.0207	6.0573
147	nj	118934	1103.7956	6.0429
148	ed	115246	1069.5682	6.0292
149	ok	114713	1064.6216	6.0272
150	st	114578	1063.3687	6.0267
151	aa	112733	1046.2457	6.0196
152	ab	108683	1008.6587	6.0037
153	up	104778	972.4175	5.9879
154	aj	104535	970.1622	5.9868
155	nu	103433	959.9349	5.9822
156	^f	101682	943.6843	5.9748
157	nn	101636	943.2574	5.9746
158	nc	100771	935.2295	5.9709
159	to	99963	927.7307	5.9674
160	cu	96854	898.8769	5.9537
161	lo	96149	892.3339	5.9505
162	ne	95116	882.7469	5.9458
163	ji	93344	866.3015	5.9377
164	^w	92212	855.7957	5.9324
165	eg	89309	828.8537	5.9185
166	rs	86950	806.9604	5.9069
167	ro	86478	802.5799	5.9045
168	ci	85755	795.8699	5.9008
169	rj	85037	789.2064	5.8972
170	o$	84429	783.5637	5.8941
171	rn	80772	749.624	5.8748
172	^e	79781	740.4268	5.8695
173	ko	75722	702.7563	5.8468
174	ce	74657	692.8723	5.8407
175	oh	74062	687.3502	5.8372
176	d$	73964	686.4407	5.8366
177	ib	72137	669.4848	5.8257
178	ub	69773	647.5451	5.8113
179	ac	65466	607.573	5.7836
180	rb	64970	602.9697	5.7803
181	a-	64655	600.0463	5.7782
182	ip	61493	570.7006	5.7564
183	eo	61299	568.9001	5.755
184	ye	58365	541.6704	5.7337
185	tk	58289	540.9651	5.7332
186	ks	57168	530.5614	5.7247
187	ej	54907	509.5776	5.7072
188	kk	54575	506.4964	5.7046
189	hk	54242	503.4059	5.7019
190	om	54018	501.3271	5.7001
191	do	52124	483.7493	5.6846
192	rm	50731	470.8213	5.6729
193	ea	50376	467.5266	5.6698
194	sk	50315	466.9605	5.6693
195	rc	50018	464.2041	5.6667
196	ll	49920	463.2946	5.6659
197	nk	49321	457.7354	5.6606
198	ug	49022	454.9605	5.658
199	ot	48896	453.7911	5.6569
200	je	48437	449.5312	5.6528
201	kl	48271	447.9906	5.6513
202	po	48079	446.2087	5.6495
203	fi	47960	445.1043	5.6485
204	f$	47931	444.8352	5.6482
205	ey	47814	443.7493	5.6471
206	af	46992	436.1206	5.6396
207	rh	45801	425.0672	5.6285
208	ho	45613	423.3224	5.6267
209	go	45478	422.0695	5.6254
210	kh	45017	417.7911	5.621
211	ec	45011	417.7354	5.6209
212	ch	44857	416.3062	5.6194
213	so	43374	402.5428	5.6048
214	os	43341	402.2366	5.6045
215	no	42705	396.334	5.5981
216	rd	41564	385.7447	5.5863
217	gh	40696	377.689	5.5771
218	b$	40251	373.5591	5.5724
219	th	38077	353.3828	5.5482
220	mo	37783	350.6542	5.5449
221	co	37486	347.8978	5.5415
222	yu	37393	347.0347	5.5404
223	ic	36762	341.1786	5.533
224	fa	36188	335.8514	5.5261
225	ei	35266	327.2946	5.5149
226	ui	34346	318.7563	5.5035
227	ig	33534	311.2204	5.4931
228	-a	33031	306.5521	5.4865
229	sh	32719	303.6566	5.4824
230	uj	32484	301.4756	5.4793
231	kt	31772	294.8677	5.4696
232	od	31190	289.4663	5.4616
233	lk	30834	286.1624	5.4566
234	kn	30525	283.2946	5.4522
235	tr	30440	282.5057	5.451
236	ie	28296	262.6078	5.4193
237	ck	28174	261.4756	5.4174
238	rp	27632	256.4454	5.409
239	tn	27622	256.3526	5.4088
240	-b	27082	251.341	5.4003
241	fo	26968	250.283	5.3984
242	yi	26350	244.5475	5.3884
243	ew	26070	241.9489	5.3837
244	ee	25646	238.0139	5.3766
245	ns	25325	235.0348	5.3711
246	hn	25157	233.4756	5.3682
247	ve	25097	232.9188	5.3672
248	pr	24809	230.2459	5.3622
249	oo	24709	229.3178	5.3604
250	vi	24625	228.5382	5.359
251	^v	23353	216.7331	5.3359
252	yo	22153	205.5962	5.313
253	op	21925	203.4802	5.3085
254	ff	21883	203.0904	5.3077
255	uc	21374	198.3666	5.2975
256	ob	20819	193.2157	5.286
257	sy	20714	192.2413	5.2838
258	hl	20687	191.9907	5.2833
259	sn	20317	188.5568	5.2754
260	ou	20204	187.5081	5.273
