Rank	Character	Frequency	Frequency per million	Zipf value
1	a	20376139	225665.0414	8.3535
2	n	7835171	86774.2504	7.9384
3	i	6548927	72529.1422	7.8605
4	e	6278643	69535.7562	7.8422
5	k	6077455	67307.6059	7.8281
6	u	5131422	56830.3229	7.7546
7	t	4553893	50434.209	7.7027
8	m	3729933	41308.8802	7.616
9	r	3670247	40647.8598	7.609
10	s	3609135	39971.0465	7.6017
11	d	3222170	35685.4224	7.5525
12	g	2975169	32949.8948	7.5179
13	l	2888449	31989.4737	7.505
14	h	2584838	28626.9923	7.4568
15	p	2480589	27472.4382	7.4389
16	b	2477197	27434.8719	7.4383
17	y	2065238	22872.4401	7.3593
18	o	1329917	14728.7852	7.1682
19	j	822316	9107.1215	6.9594
20	c	645399	7147.7718	6.8542
21	w	603187	6680.2754	6.8248
22	f	237431	2629.5402	6.4199
23	v	75928	840.9	5.9247
24	z	45750	506.6797	5.7047
25	x	15711	173.9988	5.2405
26	q	8646	95.7542	4.9812
27	é	518	5.7368	3.7587
28	â	474	5.2495	3.7201
29	а	316	3.4997	3.544
30	о	249	2.7577	3.4405
31	á	231	2.5583	3.408
32	ó	226	2.5029	3.3984
33	і	202	2.2371	3.3497
34	í	195	2.1596	3.3344
35	е	190	2.1042	3.3231
36	с	141	1.5616	3.1936
37	ñ	140	1.5505	3.1905
38	ѕ	134	1.484	3.1714
39	ª	128	1.4176	3.1516
40	ј	107	1.185	3.0737
41	ú	99	1.0964	3.04
42	à	97	1.0743	3.0311
43	ã	91	1.0078	3.0034
44	è	85	0.9414	2.9738
45	þ	68	0.7531	2.8769
46	ü	65	0.7199	2.8573
46	ο	65	0.7199	2.8573
47	η	58	0.6423	2.8077
48	μ	54	0.598	2.7767
49	ö	52	0.5759	2.7603
50	ý	45	0.4984	2.6976
51	β	44	0.4873	2.6878
52	ô	42	0.4651	2.6675
53	ø	40	0.443	2.6464
54	û	39	0.4319	2.6354
55	ä	38	0.4208	2.6241
56	î	31	0.3433	2.5357
57	õ	28	0.3101	2.4915
57	ā	28	0.3101	2.4915
58	α	27	0.299	2.4757
58	ε	27	0.299	2.4757
59	æ	25	0.2769	2.4423
59	τ	25	0.2769	2.4423
60	ρ	24	0.2658	2.4246
61	ç	23	0.2547	2.406
61	р	23	0.2547	2.406
62	ū	21	0.2326	2.3666
62	ζ	21	0.2326	2.3666
63	ï	19	0.2104	2.323
64	å	17	0.1883	2.2749
65	ÿ	16	0.1772	2.2485
66	ë	13	0.144	2.1584
67	º	12	0.1329	2.1235
68	̶	11	0.1218	2.0856
69	č	10	0.1107	2.0441
69	ō	10	0.1107	2.0441
69	ν	10	0.1107	2.0441
70	š	9	0.0997	1.9987
70	ﬂ	9	0.0997	1.9987
71	ì	8	0.0886	1.9474
71	ð	8	0.0886	1.9474
72	ž	7	0.0775	1.8893
72	ι	7	0.0775	1.8893
73	ê	6	0.0664	1.8222
73	ù	6	0.0664	1.8222
74	ò	5	0.0554	1.7435
74	κ	5	0.0554	1.7435
74	χ	5	0.0554	1.7435
74	г	5	0.0554	1.7435
75	ی	4	0.0443	1.6464
75	ව	4	0.0443	1.6464
75	叔	4	0.0443	1.6464
76	ı	3	0.0332	1.5211
76	υ	3	0.0332	1.5211
76	ー	3	0.0332	1.5211
76	拜	3	0.0332	1.5211
77	µ	2	0.0221	1.3444
77	ř	2	0.0221	1.3444
77	گ	2	0.0221	1.3444
77	ँ	2	0.0221	1.3444
77	ः	2	0.0221	1.3444
77	ය	2	0.0221	1.3444
77	ා	2	0.0221	1.3444
77	ේ	2	0.0221	1.3444
77	の	2	0.0221	1.3444
77	ス	2	0.0221	1.3444
77	叶	2	0.0221	1.3444
78	ß	1	0.0111	1.0453
78	ă	1	0.0111	1.0453
78	ć	1	0.0111	1.0453
78	ş	1	0.0111	1.0453
78	ŧ	1	0.0111	1.0453
78	ű	1	0.0111	1.0453
78	ƒ	1	0.0111	1.0453
78	х	1	0.0111	1.0453
78	أ	1	0.0111	1.0453
78	ٌ	1	0.0111	1.0453
78	ආ	1	0.0111	1.0453
78	ජ	1	0.0111	1.0453
78	බ	1	0.0111	1.0453
78	ි	1	0.0111	1.0453
78	ෝ	1	0.0111	1.0453
78	ỳ	1	0.0111	1.0453
78	え	1	0.0111	1.0453
78	び	1	0.0111	1.0453
78	も	1	0.0111	1.0453
78	ん	1	0.0111	1.0453
78	ズ	1	0.0111	1.0453
78	ド	1	0.0111	1.0453
78	ヒ	1	0.0111	1.0453
78	ペ	1	0.0111	1.0453
78	ラ	1	0.0111	1.0453
78	ロ	1	0.0111	1.0453
78	中	1	0.0111	1.0453
78	冰	1	0.0111	1.0453
78	剪	1	0.0111	1.0453
78	加	1	0.0111	1.0453
78	右	1	0.0111	1.0453
78	喂	1	0.0111	1.0453
78	基	1	0.0111	1.0453
78	士	1	0.0111	1.0453
78	太	1	0.0111	1.0453
78	威	1	0.0111	1.0453
78	宇	1	0.0111	1.0453
78	宙	1	0.0111	1.0453
78	忌	1	0.0111	1.0453
78	想	1	0.0111	1.0453
78	慢	1	0.0111	1.0453
78	我	1	0.0111	1.0453
78	托	1	0.0111	1.0453
78	指	1	0.0111	1.0453
78	明	1	0.0111	1.0453
78	甲	1	0.0111	1.0453
78	自	1	0.0111	1.0453
78	英	1	0.0111	1.0453
78	著	1	0.0111	1.0453
78	記	1	0.0111	1.0453
78	陆	1	0.0111	1.0453
78	隊	1	0.0111	1.0453
78	雄	1	0.0111	1.0453
