Rank	Character	Frequency	Frequency per million	Zipf value
1	്	2333094	171342.5962	8.2339
2	ന	1028205	75511.4514	7.878
3	ി	902367	66269.8993	7.8213
4	ക	900758	66151.7342	7.8205
5	ു	662539	48656.9132	7.6871
6	ാ	598473	43951.9015	7.643
7	ത	567970	41711.7589	7.6203
8	ട	441396	32416.1549	7.5108
9	െ	420255	30863.5583	7.4894
10	ല	420234	30862.0161	7.4894
11	യ	419023	30773.0802	7.4882
12	ര	416856	30613.9355	7.4859
13	പ	350249	25722.3125	7.4103
14	വ	326315	23964.5978	7.3796
15	മ	285821	20990.7154	7.322
16	ം	272611	20020.572	7.3015
17	റ	262757	19296.8935	7.2855
18	ണ	253492	18616.4713	7.2699
19	ോ	224791	16508.6677	7.2177
20	ങ	209686	15399.3554	7.1875
21	ള	209109	15356.9804	7.1863
22	ച	194452	14280.5693	7.1547
23	അ	179018	13147.0952	7.1188
24	സ	169353	12437.2969	7.0947
25	േ	137943	10130.5441	7.0056
26	എ	136426	10019.1355	7.0008
27	ഞ	110784	8135.9852	6.9104
28	ഇ	83761	6151.414	6.789
29	ീ	77589	5698.1419	6.7557
30	ൊ	66602	4891.2558	6.6894
31	ൂ	63128	4636.125	6.6662
32	ദ	62909	4620.0416	6.6646
33	ഷ	59228	4349.7087	6.6385
34	ആ	57946	4255.5585	6.629
35	ശ	55720	4092.0809	6.6119
36	ഒ	53017	3893.5724	6.5903
37	ഹ	42352	3110.334	6.4928
38	ൻ	40134	2947.4439	6.4694
39	ഴ	39864	2927.6151	6.4665
40	ഗ	36809	2703.2557	6.4319
41	ൽ	33080	2429.3977	6.3855
42	ജ	32855	2412.8736	6.3825
43	ബ	32792	2408.2469	6.3817
44	ർ	31197	2291.11	6.36
45	ൾ	31089	2283.1785	6.3585
46	ഉ	28170	2068.8069	6.3157
47	ധ	26396	1938.5242	6.2875
48	ഡ	26074	1914.8765	6.2821
49	ഭ	24196	1776.956	6.2497
50	ൈ	18867	1385.5939	6.1416
51	ഫ	16156	1186.4978	6.0743
52	ഈ	13794	1013.0324	6.0056
53	ഓ	13002	954.8678	5.9799
54	ഥ	11317	831.1213	5.9197
55	a	7274	534.2031	5.7277
56	ഏ	7169	526.4919	5.7214
57	e	6939	509.6007	5.7072
58	ൃ	6918	508.0584	5.7059
59	ഖ	5630	413.4676	5.6164
60	i	4902	360.0032	5.5563
61	s	4875	358.0204	5.5539
62	r	4710	345.9027	5.539
63	t	4563	335.1071	5.5252
64	o	4182	307.1264	5.4873
65	n	3963	291.043	5.464
66	l	3833	281.4958	5.4495
67	ഛ	3235	237.5786	5.3758
68	m	2839	208.4964	5.3191
69	ൺ	2675	196.4522	5.2933
70	ഠ	2606	191.3848	5.2819
71	d	2283	167.6637	5.2244
72	y	2117	155.4726	5.1917
73	h	2102	154.371	5.1886
74	c	2055	150.9194	5.1787
75	u	1961	144.016	5.1584
76	ൗ	1910	140.2705	5.147
77	ഘ	1799	132.1187	5.121
78	ൌ	1669	122.5715	5.0884
79	p	1560	114.5665	5.0591
80	b	1458	107.0756	5.0297
81	g	1293	94.958	4.9775
82	ഐ	1127	82.767	4.9179
83	ഊ	1021	74.9823	4.875
84	k	1011	74.2479	4.8707
85	w	979	71.8978	4.8567
86	f	950	69.7681	4.8437
87	ഢ	860	63.1585	4.8004
88	v	820	60.2209	4.7797
89	ഔ	298	21.8851	4.3401
90	j	260	19.0944	4.2809
91	ഃ	218	16.0099	4.2044
92	x	178	13.0723	4.1164
93	z	156	11.4567	4.0591
94	q	46	3.3782	3.5287
95	ഋ	32	2.3501	3.3711
96	ൿ	7	0.5141	2.711
97	ö	6	0.4406	2.644
98	í	4	0.2938	2.4681
98	ü	4	0.2938	2.4681
99	ß	3	0.2203	2.343
99	à	3	0.2203	2.343
99	á	3	0.2203	2.343
99	é	3	0.2203	2.343
99	ഝ	3	0.2203	2.343
100	è	2	0.1469	2.167
100	ﬂ	2	0.1469	2.167
101	ä	1	0.0734	1.8657
101	ñ	1	0.0734	1.8657
101	ó	1	0.0734	1.8657
101	η	1	0.0734	1.8657
101	ൢ	1	0.0734	1.8657
101	간	1	0.0734	1.8657
101	시	1	0.0734	1.8657
