Rank	Character	Frequency	Frequency per million	Zipf value
1	e	45209372	166707.7075	8.222
2	r	22708832	83737.8878	7.9229
3	t	19890580	73345.699	7.8654
4	n	19795008	72993.2812	7.8633
5	a	16346994	60278.8708	7.7802
6	i	15234805	56177.7194	7.7496
7	d	14670237	54095.898	7.7332
8	s	13303249	49055.1858	7.6907
9	l	12390325	45688.8159	7.6598
10	k	12036983	44385.8818	7.6472
11	g	11508295	42436.3664	7.6277
12	o	10923009	40278.1483	7.6051
13	m	8869731	32706.7698	7.5146
14	v	7759605	28613.2256	7.4566
15	h	6923052	25528.4707	7.407
16	j	5496562	20268.3472	7.3068
17	u	5479730	20206.2799	7.3055
18	f	4573510	16864.6308	7.227
19	å	4526002	16689.447	7.2224
20	p	4257380	15698.9144	7.1959
21	b	3487525	12860.1056	7.1092
22	ø	2205920	8134.2396	6.9103
23	y	1882588	6941.9661	6.8415
24	æ	618231	2279.7015	6.3579
25	c	608723	2244.6411	6.3511
26	w	200805	740.4602	5.8695
27	z	84406	311.2437	5.4931
28	x	67362	248.3946	5.3951
29	é	55357	204.1267	5.3099
30	q	19562	72.1341	4.8581
31	ö	8034	29.625	4.4717
32	ä	7276	26.83	4.4286
33	ĺ	5288	19.4993	4.29
34	ã	4953	18.264	4.2616
35	ν	3316	12.2276	4.0873
36	á	3010	11.0993	4.0453
37	ř	2444	9.0121	3.9548
38	ñ	2411	8.8905	3.9489
39	è	2396	8.8352	3.9462
40	â	2094	7.7215	3.8877
41	ü	2045	7.5409	3.8774
42	е	1606	5.9221	3.7725
43	ó	1445	5.3284	3.7266
44	à	1443	5.321	3.726
45	í	1215	4.4803	3.6513
46	ò	1113	4.1041	3.6132
47	ш	852	3.1417	3.4972
48	ć	725	2.6734	3.4271
49	ô	621	2.2899	3.3598
50	î	411	1.5155	3.1806
51	ç	304	1.121	3.0496
52	ú	294	1.0841	3.0351
53	ê	257	0.9477	2.9767
54	ж	250	0.9219	2.9647
55	ë	169	0.6232	2.7946
56	ª	144	0.531	2.7251
57	ù	140	0.5162	2.7128
58	û	135	0.4978	2.6971
59	ì	133	0.4904	2.6906
60	ý	102	0.3761	2.5753
61	ï	90	0.3319	2.521
62	ﬂ	73	0.2692	2.4301
63	ð	53	0.1954	2.2909
63	õ	53	0.1954	2.2909
64	い	38	0.1401	2.1464
65	š	34	0.1254	2.0983
65	の	34	0.1254	2.0983
66	君	32	0.118	2.0719
67	な	30	0.1106	2.0438
68	て	28	0.1032	2.0137
69	й	25	0.0922	1.9647
70	º	24	0.0885	1.9469
71	た	22	0.0811	1.909
71	に	22	0.0811	1.909
72	ß	21	0.0774	1.8887
73	っ	20	0.0737	1.8675
73	よ	20	0.0737	1.8675
73	ﬁ	20	0.0737	1.8675
74	し	18	0.0664	1.8222
75	こ	16	0.059	1.7709
75	ら	16	0.059	1.7709
76	さ	14	0.0516	1.7126
76	と	14	0.0516	1.7126
76	を	14	0.0516	1.7126
77	ь	13	0.0479	1.6803
78	þ	12	0.0442	1.6454
78	œ	12	0.0442	1.6454
78	あ	12	0.0442	1.6454
78	く	12	0.0442	1.6454
79	そ	10	0.0369	1.567
80	ў	9	0.0332	1.5211
81	世	8	0.0295	1.4698
81	今	8	0.0295	1.4698
81	界	8	0.0295	1.4698
82	ව	7	0.0258	1.4116
83	ň	6	0.0221	1.3444
83	か	6	0.0221	1.3444
83	で	6	0.0221	1.3444
83	も	6	0.0221	1.3444
83	れ	6	0.0221	1.3444
84	č	5	0.0184	1.2648
84	ś	5	0.0184	1.2648
84	ž	5	0.0184	1.2648
85	ŕ	4	0.0147	1.1673
85	с	4	0.0147	1.1673
85	у	4	0.0147	1.1673
85	ц	4	0.0147	1.1673
85	ය	4	0.0147	1.1673
85	う	4	0.0147	1.1673
85	が	4	0.0147	1.1673
85	ず	4	0.0147	1.1673
85	だ	4	0.0147	1.1673
85	は	4	0.0147	1.1673
85	ば	4	0.0147	1.1673
85	る	4	0.0147	1.1673
85	ん	4	0.0147	1.1673
85	時	4	0.0147	1.1673
85	行	4	0.0147	1.1673
86	đ	3	0.0111	1.0453
86	ń	3	0.0111	1.0453
86	и	3	0.0111	1.0453
86	м	3	0.0111	1.0453
86	ා	3	0.0111	1.0453
86	ේ	3	0.0111	1.0453
87	ĳ	2	0.0074	0.8692
87	ų	2	0.0074	0.8692
87	б	2	0.0074	0.8692
87	н	2	0.0074	0.8692
87	о	2	0.0074	0.8692
87	ආ	2	0.0074	0.8692
87	ජ	2	0.0074	0.8692
87	බ	2	0.0074	0.8692
87	ෝ	2	0.0074	0.8692
87	え	2	0.0074	0.8692
87	き	2	0.0074	0.8692
87	け	2	0.0074	0.8692
87	ち	2	0.0074	0.8692
87	つ	2	0.0074	0.8692
87	ど	2	0.0074	0.8692
87	ま	2	0.0074	0.8692
87	や	2	0.0074	0.8692
87	一	2	0.0074	0.8692
87	伝	2	0.0074	0.8692
87	伸	2	0.0074	0.8692
87	側	2	0.0074	0.8692
87	全	2	0.0074	0.8692
87	壊	2	0.0074	0.8692
87	好	2	0.0074	0.8692
87	始	2	0.0074	0.8692
87	届	2	0.0074	0.8692
87	広	2	0.0074	0.8692
87	当	2	0.0074	0.8692
87	心	2	0.0074	0.8692
87	忘	2	0.0074	0.8692
87	思	2	0.0074	0.8692
87	手	2	0.0074	0.8692
87	持	2	0.0074	0.8692
87	探	2	0.0074	0.8692
87	旅	2	0.0074	0.8692
87	日	2	0.0074	0.8692
87	明	2	0.0074	0.8692
87	星	2	0.0074	0.8692
87	本	2	0.0074	0.8692
87	果	2	0.0074	0.8692
87	歩	2	0.0074	0.8692
87	気	2	0.0074	0.8692
87	無	2	0.0074	0.8692
87	番	2	0.0074	0.8692
87	知	2	0.0074	0.8692
87	空	2	0.0074	0.8692
87	笑	2	0.0074	0.8692
87	絶	2	0.0074	0.8692
87	誓	2	0.0074	0.8692
87	道	2	0.0074	0.8692
87	遠	2	0.0074	0.8692
87	顔	2	0.0074	0.8692
87	願	2	0.0074	0.8692
88	ā	1	0.0037	0.5682
88	ę	1	0.0037	0.5682
88	ī	1	0.0037	0.5682
88	ı	1	0.0037	0.5682
88	ĵ	1	0.0037	0.5682
88	ƒ	1	0.0037	0.5682
88	ǎ	1	0.0037	0.5682
88	ǐ	1	0.0037	0.5682
88	̆	1	0.0037	0.5682
88	д	1	0.0037	0.5682
88	п	1	0.0037	0.5682
88	т	1	0.0037	0.5682
88	න	1	0.0037	0.5682
88	්	1	0.0037	0.5682
88	ි	1	0.0037	0.5682
88	ු	1	0.0037	0.5682
