Rank	Bigram	Frequency	Frequency per million	Zipf value
1	ه$	12111071	39204.3784	7.5933
2	^ب	8697834	28155.4931	7.4496
3	^م	7649450	24761.8012	7.3938
4	ن$	7308712	23658.8086	7.374
5	^ا	7076865	22908.3038	7.36
6	ي$	7032039	22763.1989	7.3572
7	م$	6482805	20985.2903	7.3219
8	^ک	4720416	15280.3146	7.1841
9	و$	4531841	14669.8842	7.1664
10	ا$	4451665	14410.349	7.1587
11	^د	3925469	12707.0159	7.104
12	ون	3870860	12530.2428	7.098
13	ر$	3708651	12005.161	7.0794
14	مي	3430181	11103.7343	7.0455
15	ت$	3293761	10662.1332	7.0278
16	ار	3257092	10543.4331	7.023
17	اي	3216545	10412.1797	7.0175
18	د$	3182006	10300.3745	7.0129
19	^ن	3100243	10035.702	7.0015
20	^ت	2838578	9188.6742	6.9633
21	^ه	2670040	8643.105	6.9367
22	با	2643062	8555.7754	6.9323
23	رو	2578119	8345.5504	6.9215
24	^ر	2467196	7986.4849	6.9024
25	^خ	2418943	7830.2866	6.8938
26	ين	2407289	7792.5618	6.8917
27	دا	2319469	7508.2823	6.8755
28	ست	2250475	7284.944	6.8624
29	ی$	2240512	7252.693	6.8605
30	^و	2211015	7157.2092	6.8547
31	تو	2191680	7094.6205	6.8509
32	ان	2045546	6621.5745	6.821
33	نم	1946888	6302.2117	6.7995
34	ما	1920802	6217.7696	6.7936
35	کن	1906906	6172.7872	6.7905
36	من	1818089	5885.2804	6.7698
37	به	1806574	5848.0056	6.767
38	را	1806031	5846.2478	6.7669
39	خو	1776637	5751.0974	6.7598
40	ني	1718707	5563.574	6.7454
41	ش$	1711089	5538.914	6.7434
42	او	1684820	5453.8794	6.7367
43	^چ	1683249	5448.794	6.7363
44	نه	1651353	5345.5444	6.728
45	^ش	1631539	5281.4051	6.7227
46	که	1617806	5236.9504	6.7191
47	وا	1614924	5227.6212	6.7183
48	از	1608837	5207.9172	6.7167
49	يد	1565532	5067.7359	6.7048
50	رد	1560926	5052.8259	6.7035
51	ز$	1532345	4960.3072	6.6955
52	ام	1497603	4847.845	6.6855
53	بر	1451534	4698.7164	6.672
54	ري	1414930	4580.2267	6.6609
55	هم	1397984	4525.3714	6.6557
56	ها	1356027	4389.5536	6.6424
57	ده	1334434	4319.6556	6.6354
58	ال	1315746	4259.1612	6.6293
59	دي	1313099	4250.5927	6.6284
60	^پ	1308846	4236.8255	6.627
61	اش	1296826	4197.9159	6.623
62	اد	1292861	4185.0809	6.6217
63	^س	1275352	4128.403	6.6158
64	ور	1274441	4125.4541	6.6155
65	در	1267915	4104.329	6.6132
66	ند	1252369	4054.0055	6.6079
67	^ي	1242835	4023.1433	6.6046
68	ره	1221655	3954.5821	6.5971
69	ل$	1183101	3829.7802	6.5832
70	ود	1172783	3796.3801	6.5794
71	اس	1120463	3627.0166	6.5595
72	می	1109671	3592.0821	6.5553
73	^آ	1093909	3541.0594	6.5491
74	دو	1093032	3538.2205	6.5488
75	يه	1087321	3519.7336	6.5465
76	يا	1036998	3356.8346	6.5259
77	ای	1029075	3331.1873	6.5226
78	کر	1020046	3301.9598	6.5188
79	لا	1019540	3300.3218	6.5186
80	يم	1019279	3299.477	6.5184
81	دم	1009311	3267.2098	6.5142
82	جا	999811	3236.4577	6.5101
83	^ف	986245	3192.5436	6.5041
84	مو	939550	3041.3886	6.4831
85	لي	904854	2929.0753	6.4667
86	رم	904248	2927.1136	6.4664
87	يک	904166	2926.8482	6.4664
88	تا	898408	2908.2091	6.4636
