Rank	Character	Frequency	Frequency per million	Zipf value
1	ا	28605341	116650.1337	8.0669
2	ي	20538497	83754.2339	7.923
3	ن	19710810	80378.9971	7.9051
4	م	19584499	79863.9117	7.9024
5	و	17507530	71394.2098	7.8537
6	ه	17476423	71267.3581	7.8529
7	ر	17096701	69718.8842	7.8434
8	د	14016554	57158.3082	7.7571
9	ب	12224502	49850.4735	7.6977
10	ت	11356802	46312.0671	7.6657
11	ک	7998061	32615.4086	7.5134
12	ش	6823368	27825.111	7.4444
13	ی	6689230	27278.1077	7.4358
14	س	6086091	24818.5585	7.3948
15	ل	5262770	21461.1259	7.3317
16	ز	4097272	16708.3247	7.2229
17	خ	3963824	16164.1352	7.2086
18	گ	3208142	13082.5287	7.1167
19	ف	3023236	12328.4978	7.0909
20	ق	2701538	11016.6409	7.042
21	ج	2351664	9589.8846	6.9818
22	چ	2248713	9170.0593	6.9624
23	ع	1855276	7565.6568	6.8788
24	پ	1638328	6680.9614	6.8248
25	ح	1636901	6675.1423	6.8245
26	آ	1151936	4697.4965	6.6719
27	ط	1149929	4689.3121	6.6711
28	ص	718241	2928.9254	6.4667
29	ك	615742	2510.9432	6.3998
30	ظ	358150	1460.5051	6.1645
31	ذ	345315	1408.165	6.1487
32	ض	336344	1371.5821	6.1372
33	غ	315486	1286.5249	6.1094
34	ـ	268115	1093.35	6.0388
35	ث	257234	1048.9782	6.0208
36	ئ	219050	893.2672	5.951
37	ِ	206496	842.073	5.9253
38	ً	148401	605.1666	5.7819
39	e	114523	467.015	5.6693
40	ُ	108253	441.4465	5.6449
41	a	104658	426.7864	5.6302
42	o	86166	351.3776	5.5458
43	i	86130	351.2308	5.5456
44	t	78868	321.617	5.5073
45	ژ	72685	296.4032	5.4719
46	n	72598	296.0484	5.4714
47	r	70234	286.4082	5.457
48	s	63308	258.1646	5.4119
49	h	55682	227.0664	5.3562
50	l	55299	225.5046	5.3532
51	d	44343	180.827	5.2573
52	m	42889	174.8977	5.2428
53	َ	35974	146.6989	5.1664
54	u	34476	140.5902	5.148
55	c	30572	124.67	5.0958
56	أ	29933	122.0642	5.0866
57	y	27783	113.2967	5.0542
58	g	25370	103.4567	5.0148
59	f	24869	101.4137	5.0061
60	b	24529	100.0272	5.0001
61	w	21260	86.6965	4.938
62	ى	20946	85.416	4.9315
63	p	19685	80.2737	4.9046
64	k	16567	67.5588	4.8297
65	v	15344	62.5715	4.7964
66	ء	9630	39.2703	4.5941
67	ّ	9100	37.109	4.5695
68	ؤ	6883	28.0683	4.4482
69	z	4882	19.9084	4.299
70	j	4484	18.2854	4.2621
71	x	3329	13.5754	4.1328
72	ۀ	2413	9.84	3.993
73	q	1333	5.4359	3.7353
74	ٌ	1207	4.922	3.6921
75	â	860	3.507	3.5449
76	ھ	648	2.6425	3.422
77	ة	555	2.2632	3.3547
78	إ	251	1.0236	3.0101
79	ٔ	243	0.9909	2.996
80	ٍ	202	0.8237	2.9158
81	ç	188	0.7666	2.8846
82	ْ	184	0.7503	2.8752
83	é	154	0.628	2.798
84	ã	88	0.3589	2.555
85	è	82	0.3344	2.5243
86	ï	77	0.314	2.4969
87	ä	76	0.3099	2.4912
88	ñ	67	0.2732	2.4365
89	æ	60	0.2447	2.3886
90	ü	59	0.2406	2.3813
91	å	55	0.2243	2.3508
91	ê	55	0.2243	2.3508
92	ó	53	0.2161	2.3347
93	á	52	0.2121	2.3265
94	ۥ	50	0.2039	2.3094
95	ŋ	48	0.1957	2.2916
96	í	35	0.1427	2.1544
97	ô	34	0.1386	2.1418
98	î	29	0.1183	2.073
99	️	28	0.1142	2.0577
100	à	27	0.1101	2.0418
101	ý	17	0.0693	1.8407
102	ò	16	0.0652	1.8142
103	͡	14	0.0571	1.7566
104	þ	13	0.053	1.7243
104	м	13	0.053	1.7243
105	ہ	11	0.0449	1.6522
106	ð	10	0.0408	1.6107
106	ú	10	0.0408	1.6107
107	ì	8	0.0326	1.5132
107	ﺎ	8	0.0326	1.5132
108	ʖ	7	0.0285	1.4548
108	͜	7	0.0285	1.4548
108	ツ	7	0.0285	1.4548
108	ﻪ	7	0.0285	1.4548
109	ë	6	0.0245	1.3892
109	ö	6	0.0245	1.3892
109	ā	6	0.0245	1.3892
109	̘	6	0.0245	1.3892
109	τ	6	0.0245	1.3892
109	ٖ	6	0.0245	1.3892
109	ﺑ	6	0.0245	1.3892
109	ﺮ	6	0.0245	1.3892
110	ù	5	0.0204	1.3096
110	ٓ	5	0.0204	1.3096
110	ٰ	5	0.0204	1.3096
110	ﺘ	5	0.0204	1.3096
111	õ	4	0.0163	1.2122
111	ı	4	0.0163	1.2122
111	œ	4	0.0163	1.2122
111	ş	4	0.0163	1.2122
111	̵	4	0.0163	1.2122
111	ε	4	0.0163	1.2122
111	ۤ	4	0.0163	1.2122
111	ﯿ	4	0.0163	1.2122
111	ﺪ	4	0.0163	1.2122
111	ﺳ	4	0.0163	1.2122
111	ﻥ	4	0.0163	1.2122
111	ﻧ	4	0.0163	1.2122
111	ﻭ	4	0.0163	1.2122
111	ﻮ	4	0.0163	1.2122
111	ａ	4	0.0163	1.2122
111	ｓ	4	0.0163	1.2122
112	ø	3	0.0122	1.0864
112	λ	3	0.0122	1.0864
112	а	3	0.0122	1.0864
112	д	3	0.0122	1.0864
112	е	3	0.0122	1.0864
112	и	3	0.0122	1.0864
112	р	3	0.0122	1.0864
112	у	3	0.0122	1.0864
112	х	3	0.0122	1.0864
112	э	3	0.0122	1.0864
112	ﯽ	3	0.0122	1.0864
112	ﯾ	3	0.0122	1.0864
112	ﺷ	3	0.0122	1.0864
112	ﻓ	3	0.0122	1.0864
112	ﻣ	3	0.0122	1.0864
113	º	2	0.0082	0.9138
113	û	2	0.0082	0.9138
113	ƹ	2	0.0082	0.9138
113	ʒ	2	0.0082	0.9138
113	̄	2	0.0082	0.9138
113	̡	2	0.0082	0.9138
113	̨	2	0.0082	0.9138
113	β	2	0.0082	0.9138
113	ν	2	0.0082	0.9138
113	ω	2	0.0082	0.9138
113	я	2	0.0082	0.9138
113	ӝ	2	0.0082	0.9138
