Rank	Character	Frequency	Frequency per million	Zipf value
1	a	471714057	88256.7514	7.9457
2	e	467964945	87555.3001	7.9423
3	i	456951602	85494.7257	7.9319
4	o	393806174	73680.3432	7.8674
5	z	308508162	57721.2567	7.7613
6	n	265985480	49765.3484	7.6969
7	s	230868849	43195.0973	7.6354
8	t	227342582	42535.3399	7.6287
9	m	213980822	40035.3814	7.6024
10	c	206799062	38691.6886	7.5876
11	r	204074536	38181.9353	7.5819
12	y	194700234	36428.0222	7.5614
13	w	192703671	36054.4693	7.557
14	d	177687816	33245.033	7.5217
15	k	149871552	28040.666	7.4478
16	p	148364284	27758.6592	7.4434
17	j	145699832	27260.1455	7.4355
18	l	109628952	20511.3564	7.312
19	u	108580388	20315.1722	7.3078
20	b	100168898	18741.3994	7.2728
21	ł	93449733	17484.2571	7.2426
22	ę	90004001	16839.5676	7.2263
23	g	70375225	13167.0631	7.1195
24	ś	55502614	10384.4275	7.0164
25	h	53856496	10076.4421	7.0033
26	ż	53495234	10008.8507	7.0004
27	ą	45773568	8564.1425	6.9327
28	ć	39597715	7408.6528	6.8697
29	ó	36189287	6770.9428	6.8306
30	f	12519462	2342.3662	6.3697
31	ń	7028763	1315.0674	6.1189
32	ź	6847338	1281.1232	6.1076
33	v	2931747	548.524	5.7392
34	x	1075759	201.2723	5.3038
35	q	317622	59.4264	4.774
36	ê	67397	12.6098	4.1007
37	é	48629	9.0984	3.959
38	œ	39037	7.3037	3.8635
39	š	31770	5.9441	3.7741
40	æ	29212	5.4655	3.7376
41	ü	21636	4.0481	3.6073
42	ä	20277	3.7938	3.5791
43	ĺ	18808	3.5189	3.5464
44	á	12099	2.2637	3.3548
45	í	12075	2.2592	3.354
46	ö	11785	2.2049	3.3434
47	â	11611	2.1724	3.3369
48	ş	8808	1.648	3.217
49	ă	8620	1.6128	3.2076
50	ž	7902	1.4784	3.1698
51	ˇ	7574	1.4171	3.1514
52	ñ	6085	1.1385	3.0563
53	ľ	5864	1.0971	3.0402
54	č	5220	0.9767	2.9898
