Rank	Character	Frequency	Frequency per million	Zipf value
1	e	725418684	125224.6855	8.0977
2	a	664488093	114706.6023	8.0596
3	o	629711038	108703.2474	8.0362
4	s	440811509	76094.6524	7.8814
5	r	369874703	63849.2561	7.8052
6	i	328211492	56657.1854	7.7533
7	m	292882140	50558.4908	7.7038
8	n	286491642	49455.3374	7.6942
9	u	279094618	48178.4334	7.6829
10	t	256380872	44257.4954	7.646
11	d	236532550	40831.1984	7.611
12	c	202075476	34883.0799	7.5426
13	l	156328452	26986.045	7.4311
14	p	143938418	24847.2276	7.3953
15	v	113130166	19528.9834	7.2907
16	q	87650981	15130.6642	7.1799
17	h	76437856	13195.0096	7.1204
18	g	70956387	12248.7764	7.0881
19	ã	65272277	11267.5625	7.0518
20	b	63464005	10955.4113	7.0396
21	f	60539934	10450.6465	7.0191
22	é	39099843	6749.5719	6.8293
23	á	38492868	6644.7934	6.8225
24	ê	33309270	5749.9799	6.7597
25	z	25703619	4437.0619	6.6471
26	j	19904089	3435.9238	6.536
27	ç	18077066	3120.5357	6.4942
28	ó	13440953	2320.2313	6.3655
29	x	12375750	2136.3516	6.3297
30	í	10304233	1778.7581	6.2501
31	y	8836150	1525.3317	6.1834
32	k	8078215	1394.4939	6.1444
33	w	3872480	668.483	5.8251
34	ú	3519346	607.5236	5.7836
35	à	2512279	433.6797	5.6372
36	õ	2305314	397.9526	5.5998
37	ô	1491913	257.54	5.4108
38	â	1242248	214.4418	5.3313
39	ü	178124	30.7485	4.4878
40	ª	171868	29.6685	4.4723
41	º	139096	24.0113	4.3804
42	è	28757	4.9641	3.6958
43	ä	28194	4.867	3.6873
44	ñ	25507	4.4031	3.6438
45	ö	18453	3.1854	3.5032
46	ø	13155	2.2709	3.3562
47	þ	6880	1.1877	3.0747
48	ë	4998	0.8628	2.9359
49	ă	4653	0.8032	2.9048
50	å	4395	0.7587	2.8801
51	æ	4074	0.7033	2.8471
52	µ	3719	0.642	2.8075
53	û	3417	0.5899	2.7708
54	î	3143	0.5426	2.7345
55	ò	3067	0.5294	2.7238
56	ð	2726	0.4706	2.6727
57	ï	2427	0.419	2.6222
58	ν	2341	0.4041	2.6065
59	š	2217	0.3827	2.5829
60	ý	1954	0.3373	2.528
61	ì	1900	0.328	2.5159
62	ę	1675	0.2891	2.461
63	ß	1602	0.2765	2.4417
64	œ	959	0.1655	2.2188
65	ù	954	0.1647	2.2167
66	ž	563	0.0972	1.9877
67	ć	462	0.0798	1.902
68	い	438	0.0756	1.8785
69	茫	398	0.0687	1.837
70	て	358	0.0618	1.791
71	な	323	0.0558	1.7466
72	の	311	0.0537	1.73
73	ÿ	287	0.0495	1.6946
74	谩	259	0.0447	1.6503
75	с	245	0.0423	1.6263
76	о	213	0.0368	1.5658
77	р	207	0.0357	1.5527
78	α	205	0.0354	1.549
79	č	204	0.0352	1.5465
80	ő	200	0.0345	1.5378
81	し	194	0.0335	1.525
81	た	194	0.0335	1.525
82	る	183	0.0316	1.4997
83	ж	182	0.0314	1.4969
83	に	182	0.0314	1.4969
83	を	182	0.0314	1.4969
84	茅	181	0.0312	1.4942
84	锚	181	0.0312	1.4942
85	γ	174	0.03	1.4771
85	е	174	0.03	1.4771
86	η	168	0.029	1.4624
87	も	164	0.0283	1.4518
88	っ	159	0.0274	1.4378
89	う	148	0.0255	1.4065
90	莽	144	0.0249	1.3962
91	љ	138	0.0238	1.3766
91	れ	138	0.0238	1.3766
92	ο	134	0.0231	1.3636
93	で	133	0.023	1.3617
93	は	133	0.023	1.3617
94	よ	131	0.0226	1.3541
95	ō	130	0.0224	1.3502
95	ι	130	0.0224	1.3502
96	а	129	0.0223	1.3483
97	т	126	0.0218	1.3385
98	н	123	0.0212	1.3263
99	か	122	0.0211	1.3243
100	ќ	117	0.0202	1.3054
101	が	116	0.02	1.301
101	ら	116	0.02	1.301
102	贸	113	0.0195	1.29
103	ı	109	0.0188	1.2742
104	κ	108	0.0186	1.2695
105	く	107	0.0185	1.2672
106	ŕ	105	0.0181	1.2577
107	そ	100	0.0173	1.238
108	ź	99	0.0171	1.233
108	瀍	99	0.0171	1.233
109	э	96	0.0166	1.2201
109	と	96	0.0166	1.2201
110	į	92	0.0159	1.2014
110	こ	92	0.0159	1.2014
110	脡	92	0.0159	1.2014
111	и	91	0.0157	1.1959
112	у	87	0.015	1.1761
113	铆	85	0.0147	1.1673
114	歵	84	0.0145	1.1614
115	り	83	0.0143	1.1553
116	з	82	0.0142	1.1523
117	鎒	81	0.014	1.1461
118	ь	80	0.0138	1.1399
119	ا	79	0.0136	1.1335
120	め	76	0.0131	1.1173
121	え	75	0.0129	1.1106
122	ћ	74	0.0128	1.1072
122	さ	74	0.0128	1.1072
123	ū	73	0.0126	1.1004
124	せ	72	0.0124	1.0934
125	ي	70	0.0121	1.0828
125	き	70	0.0121	1.0828
125	け	70	0.0121	1.0828
126	だ	69	0.0119	1.0755
126	ま	69	0.0119	1.0755
127	ー	68	0.0117	1.0682
128	あ	67	0.0116	1.0645
129	ğ	64	0.011	1.0414
129	ł	64	0.011	1.0414
130	ƒ	62	0.0107	1.0294
131	ű	60	0.0104	1.017
131	д	60	0.0104	1.017
131	鎖	60	0.0104	1.017
132	ﬂ	58	0.01	1.0
133	ό	57	0.0098	0.9912
133	ت	57	0.0098	0.9912
133	ن	57	0.0098	0.9912
134	ん	56	0.0097	0.9868
135	ど	55	0.0095	0.9777
136	ř	54	0.0093	0.9685
136	г	54	0.0093	0.9685
137	ş	51	0.0088	0.9445
138	σ	50	0.0086	0.9345
138	τ	50	0.0086	0.9345
138	鑕	50	0.0086	0.9345
139	я	47	0.0081	0.9085
139	じ	47	0.0081	0.9085
140	в	45	0.0078	0.8921
140	見	45	0.0078	0.8921
141	つ	44	0.0076	0.8808
142	ˆ	43	0.0074	0.8692
143	ē	42	0.0073	0.8633
143	β	42	0.0073	0.8633
143	妕	42	0.0073	0.8633
144	س	41	0.0071	0.8513
145	م	40	0.0069	0.8388
145	思	40	0.0069	0.8388
145	ﬁ	40	0.0069	0.8388
146	わ	38	0.0066	0.8195
147	м	37	0.0064	0.8062
147	ẽ	37	0.0064	0.8062
147	す	37	0.0064	0.8062
147	歟	37	0.0064	0.8062
148	ā	36	0.0062	0.7924
148	イ	36	0.0062	0.7924
149	ر	35	0.006	0.7782
149	瀒	35	0.006	0.7782
150	ѕ	34	0.0059	0.7709
150	鑑	34	0.0059	0.7709
151	ǻ	33	0.0057	0.7559
151	ч	33	0.0057	0.7559
152	み	32	0.0055	0.7404
152	僕	32	0.0055	0.7404
152	分	32	0.0055	0.7404
152	鎢	32	0.0055	0.7404
153	л	31	0.0054	0.7324
153	ك	31	0.0054	0.7324
153	ラ	31	0.0054	0.7324
153	何	31	0.0054	0.7324
154	世	30	0.0052	0.716
154	鑙	30	0.0052	0.716
155	ί	29	0.005	0.699
155	ب	29	0.005	0.699
155	歛	29	0.005	0.699
156	б	28	0.0048	0.6812
156	п	28	0.0048	0.6812
156	و	28	0.0048	0.6812
156	ゃ	28	0.0048	0.6812
156	ト	28	0.0048	0.6812
156	ン	28	0.0048	0.6812
156	愛	28	0.0048	0.6812
