Rank	Character	Frequency	Frequency per million	Zipf value
1	e	342746416	124863.5469	8.0964
2	a	330064791	120243.5928	8.0801
3	o	286417228	104342.6548	8.0185
4	s	223768586	81519.5667	7.9113
5	r	177925433	64818.7686	7.8117
6	i	156417460	56983.3496	7.7557
7	m	139966850	50990.3431	7.7075
8	t	133834264	48756.2236	7.688
9	n	131344820	47849.3117	7.6799
10	u	128071989	46657.0095	7.6689
11	d	110113465	40114.6654	7.6033
12	c	85478659	31140.1317	7.4933
13	l	72511475	26416.1477	7.4219
14	p	70624911	25728.8668	7.4104
15	v	44614493	16253.1935	7.2109
16	q	42510343	15486.6454	7.19
17	h	36131200	13162.7045	7.1193
18	g	31984290	11651.9727	7.0664
19	ã	30736968	11197.5696	7.0491
20	b	30353215	11057.7672	7.0437
21	f	28832538	10503.78	7.0213
22	á	20772470	7567.4731	6.879
23	é	19165314	6981.9813	6.844
24	z	13607253	4957.1631	6.6952
25	j	9644521	3513.5279	6.5457
26	ç	8529464	3107.3093	6.4924
27	ó	6246435	2275.595	6.3571
28	x	5998736	2185.3575	6.3395
29	ê	5748124	2094.0588	6.321
30	í	5068983	1846.6457	6.2664
31	y	3866968	1408.748	6.1488
32	k	3527073	1284.9233	6.1089
33	à	2166473	789.2526	5.8972
34	ú	1979035	720.9684	5.8579
35	w	1664527	606.3922	5.7828
36	õ	1297008	472.5039	5.6744
37	â	567507	206.7445	5.3154
38	ô	371122	135.2009	5.131
39	ä	88543	32.2565	4.5086
40	º	59790	21.7817	4.3381
41	ª	58276	21.2301	4.327
42	ü	20894	7.6117	3.8815
43	è	16755	6.1039	3.7856
44	ñ	12652	4.6092	3.6636
45	ö	10152	3.6984	3.568
46	ÿ	4123	1.502	3.1767
47	ò	3117	1.1355	3.0552
48	ă	2504	0.9122	2.9601
49	ø	1982	0.722	2.8585
50	ë	1933	0.7042	2.8477
51	ì	1691	0.616	2.7896
52	ï	1406	0.5122	2.7094
53	î	1276	0.4649	2.6674
54	å	1147	0.4179	2.6211
55	û	1121	0.4084	2.6111
56	г	847	0.3086	2.4894
57	þ	651	0.2372	2.3751
58	ę	584	0.2128	2.328
59	ù	538	0.196	2.2923
60	й	475	0.173	2.238
61	š	464	0.169	2.2279
62	б	451	0.1643	2.2156
63	с	401	0.1461	2.1647
64	ν	394	0.1435	2.1569
65	ð	353	0.1286	2.1092
66	ο	339	0.1235	2.0917
66	ж	339	0.1235	2.0917
67	æ	314	0.1144	2.0584
68	ß	311	0.1133	2.0542
68	з	311	0.1133	2.0542
69	µ	271	0.0987	1.9943
70	у	265	0.0965	1.9845
71	р	251	0.0914	1.9609
72	к	232	0.0845	1.9269
73	ý	208	0.0758	1.8797
74	ŕ	186	0.0678	1.8312
75	ό	176	0.0641	1.8069
76	е	168	0.0612	1.7868
77	ő	163	0.0594	1.7738
78	ž	118	0.043	1.6335
79	н	110	0.0401	1.6031
80	а	92	0.0335	1.525
81	ί	85	0.031	1.4914
82	т	76	0.0277	1.4425
83	х	60	0.0219	1.3404
84	ь	58	0.0211	1.3243
85	в	54	0.0197	1.2945
86	ъ	43	0.0157	1.1959
87	ł	39	0.0142	1.1523
87	ǻ	39	0.0142	1.1523
87	м	39	0.0142	1.1523
88	ā	35	0.0128	1.1072
89	œ	27	0.0098	0.9912
90	̇	25	0.0091	0.959
90	κ	25	0.0091	0.959
91	ﬂ	22	0.008	0.9031
92	η	21	0.0077	0.8865
93	ƒ	17	0.0062	0.7924
93	τ	17	0.0062	0.7924
93	я	17	0.0062	0.7924
94	č	16	0.0058	0.7634
94	β	16	0.0058	0.7634
94	щ	16	0.0058	0.7634
95	ф	11	0.004	0.6021
95	ව	11	0.004	0.6021
96	ş	9	0.0033	0.5185
96	ρ	9	0.0033	0.5185
97	о	8	0.0029	0.4624
97	ﬁ	8	0.0029	0.4624
98	ć	7	0.0026	0.415
98	α	7	0.0026	0.415
98	μ	7	0.0026	0.415
98	ו	7	0.0026	0.415
99	ε	6	0.0022	0.3424
99	ш	6	0.0022	0.3424
99	ת	6	0.0022	0.3424
99	ය	6	0.0022	0.3424
100	ב	5	0.0018	0.2553
100	ל	5	0.0018	0.2553
100	ר	5	0.0018	0.2553
100	ා	5	0.0018	0.2553
100	ේ	5	0.0018	0.2553
101	ė	4	0.0015	0.1761
101	ı	4	0.0015	0.1761
101	ř	4	0.0015	0.1761
101	ŷ	4	0.0015	0.1761
101	̂	4	0.0015	0.1761
101	є	4	0.0015	0.1761
101	א	4	0.0015	0.1761
101	י	4	0.0015	0.1761
101	מ	4	0.0015	0.1761
101	נ	4	0.0015	0.1761
101	ש	4	0.0015	0.1761
101	叔	4	0.0015	0.1761
102	ī	3	0.0011	0.0414
102	ά	3	0.0011	0.0414
102	ι	3	0.0011	0.0414
102	ג	3	0.0011	0.0414
102	ה	3	0.0011	0.0414
102	ח	3	0.0011	0.0414
102	ס	3	0.0011	0.0414
102	ආ	3	0.0011	0.0414
102	ජ	3	0.0011	0.0414
102	බ	3	0.0011	0.0414
102	ෝ	3	0.0011	0.0414
103	ě	2	0.0007	-0.1549
103	ğ	2	0.0007	-0.1549
103	ń	2	0.0007	-0.1549
103	ű	2	0.0007	-0.1549
103	λ	2	0.0007	-0.1549
103	π	2	0.0007	-0.1549
103	υ	2	0.0007	-0.1549
103	и	2	0.0007	-0.1549
103	ע	2	0.0007	-0.1549
103	ק	2	0.0007	-0.1549
103	ු	2	0.0007	-0.1549
103	ク	2	0.0007	-0.1549
103	ゴ	2	0.0007	-0.1549
103	シ	2	0.0007	-0.1549
103	ッ	2	0.0007	-0.1549
103	叶	2	0.0007	-0.1549
103	塚	2	0.0007	-0.1549
103	小	2	0.0007	-0.1549
104	đ	1	0.0004	-0.3979
104	ň	1	0.0004	-0.3979
104	ō	1	0.0004	-0.3979
104	ţ	1	0.0004	-0.3979
104	ˆ	1	0.0004	-0.3979
104	ˢ	1	0.0004	-0.3979
104	̃	1	0.0004	-0.3979
104	γ	1	0.0004	-0.3979
104	φ	1	0.0004	-0.3979
104	χ	1	0.0004	-0.3979
104	ω	1	0.0004	-0.3979
104	д	1	0.0004	-0.3979
104	п	1	0.0004	-0.3979
104	ы	1	0.0004	-0.3979
104	ґ	1	0.0004	-0.3979
104	ӕ	1	0.0004	-0.3979
104	ד	1	0.0004	-0.3979
104	ט	1	0.0004	-0.3979
104	ם	1	0.0004	-0.3979
104	פ	1	0.0004	-0.3979
104	צ	1	0.0004	-0.3979
104	න	1	0.0004	-0.3979
104	්	1	0.0004	-0.3979
104	ි	1	0.0004	-0.3979
104	ᵃ	1	0.0004	-0.3979
104	ẽ	1	0.0004	-0.3979
